family_name_reconciled,family_name_analysis,n_languages,sample_languages,raw_family_names,mapping_action,mapping_reason,review_status,reviewer_notes
Abkhaz-Adyge,Abkhaz-Adyge,4,abq (Abaza); ab (Abkhazian); ady (Adyghe); kbd (Kabardian),Caucasian languages: 4,preserve_reconciled,Preserves reconciled family label for analysis.,accepted,
Afro-Asiatic languages,Afro-Asiatic languages,51,aa (Afar); akk (Akkadian); arq (Algerian Arabic); am (Amharic); egy (Ancient Egyptian); xna (Ancient North Arabian); ar (Arabic); arc (Aramaic),Afro-Asiatic languages: 51,preserve_reconciled,Preserves reconciled family label for analysis.,accepted,
Afro-Asiatic,Afro-Asiatic languages,1,smp (Samaritan),Artificial languages: 1,normalize_variant,Normalizes variant spelling to existing label: Afro-Asiatic languages.,pending,
Albanian languages,Albanian languages,2,sq (Albanian); aln (Gheg Albanian),Albanian languages: 2,preserve_reconciled,Preserves reconciled family label for analysis.,accepted,
Algic,Algic,20,arp (Arapaho); atj (Atikamekw); ojc (Central Ojibwa); chy (Cheyenne); ojg (Eastern Ojibwa); moe (Innu-aimun); pqm (Maliseet-Passamaquoddy); mic (Mi'kmaw),North American Indian languages: 20,preserve_reconciled,Preserves reconciled family label for analysis.,accepted,
Altaic languages,Altaic languages,7,"az (Azerbaijani); bua (Buriat); mn (Mongolian); otk (Old Turkish); ota (Turkish, Ottoman (1500-1928)); uz (Uzbek); uz_AF (Uzbeki Afghanistan)",Altaic languages: 7,row_level_reconciliation,Contested macrofamily; assign affected languages to more specific families in the reconciliation review.,reference_only,
Araucanian,Araucanian,1,arn (Mapuche),South American Indian languages: 1,preserve_reconciled,Preserves reconciled family label for analysis.,accepted,
Arawakan,Arawakan,3,arw (Arawak); ter (Tereno); guc (Wayuu),South American Indian languages: 3,preserve_reconciled,Preserves reconciled family label for analysis.,accepted,
Armenian languages,Armenian languages,1,hy (Armenian),Armenian languages: 1,preserve_reconciled,Preserves reconciled family label for analysis.,accepted,
Artificial languages,Artificial languages,14,afh (Afrihili); zbl (Blissymbols); eo (Esperanto); io (Ido); ia (Interlingua); ie (Interlingue); tlh (Klingon); avk (Kotava),Artificial languages: 14,retain_special_category,Special comparison category retained as its own visible analysis label.,accepted,
Athabaskan-Eyak-Tlingit,Athabaskan-Eyak-Tlingit,12,clc (Chilcotin); chp (Chipewyan); dgr (Dogrib); gwi (Gwichʼin); hup (Hupa); nv (Navajo); scs (North Slavey); ttm (Northern Tutchone),North American Indian languages: 12,preserve_reconciled,Preserves reconciled family label for analysis.,accepted,
Atlantic-Congo,Atlantic-Congo,137,abr (Abron); ada (Adangme); agq (Aghem); ak (Akan); bss (Akoose); amo (Amo); blo (Anii); asa (Asu),Niger-Kordofanian languages: 134; Nilo-Saharan languages: 3,preserve_reconciled,Preserves reconciled family label for analysis.,accepted,
