review_kind,case_id,review_tier,reviewer_decision,reviewer_family_name,reviewer_iso639_5,reviewer_notes,language_code,language_name,sources,iso639_2_t,n_languages,sample_languages,family_name_iso,family_name_glottolog,choice,category,chosen_family_name,rationale,json_iso639_5,json_family_name,raw_family_name,family_name_reconciled,glottolog_family,glottolog_validation_status,glottolog_changed_family,has_cldr_iso6395_hierarchy,coherence_issue,suggested_iso639_5,suggested_family_name,suggestion_confidence,suggestion_reason,json_rationale,analysis_family_name,analysis_mapping_action,analysis_review_status,analysis_mapping_reason,analysis_policy_source
json_fallback_language,json:bua,REVIEW_HIGH,revise,Mongolic-Khitan,xgn,,bua,Buriat,cldr|iso639_2,bua,,,,,,,,,xgn,Altaic languages,Altaic languages,Altaic languages,,No Glottolog match,False,True,contested-macrofamily,xgn,Mongolic-Khitan,medium,Altaic is rejected elsewhere in the reconciliation policy; rationale points to Mongolic.,Mongolic language of Siberia and Mongolia. ISO 639-5: xgn.,Altaic languages,row_level_reconciliation,reference_only,Contested macrofamily; assign affected languages to more specific families in the reconciliation review.,family_analysis_mapping_reviewed.csv
json_fallback_language,json:otk,REVIEW_HIGH,revise,Turkic,trk,,otk,Old Turkish,cldr,,,,,,,,,,trk,Altaic languages,Altaic languages,Altaic languages,Bookkeeping,Glottolog disagreed; reconciliation kept ISO/JSON family,False,True,contested-macrofamily,trk,Turkic,high,Altaic is rejected elsewhere in the reconciliation policy; rationale points to Turkic.,Earliest attested Turkic language (Orkhon inscriptions). ISO 639-5: trk.,Altaic languages,row_level_reconciliation,reference_only,Contested macrofamily; assign affected languages to more specific families in the reconciliation review.,family_analysis_mapping_reviewed.csv
json_fallback_language,json:ota,REVIEW_HIGH,revise,Turkic,trk,,ota,"Turkish, Ottoman (1500-1928)",loc_only,ota,,,,,,,,,trk,Altaic languages,Altaic languages,Altaic languages,,No Glottolog match,False,True,contested-macrofamily,trk,Turkic,high,Altaic is rejected elsewhere in the reconciliation policy; rationale points to Turkic.,Historical form of Turkish used in the Ottoman Empire. ISO 639-5: trk.,Altaic languages,row_level_reconciliation,reference_only,Contested macrofamily; assign affected languages to more specific families in the reconciliation review.,family_analysis_mapping_reviewed.csv
json_fallback_language,json:zap,REVIEW_HIGH,revise,Otomanguean,omq,,zap,Zapotec,cldr|iso639_2,zap,,,,,,,,,cai,Central American Indian languages,Central American Indian languages,Central American Indian languages,,No Glottolog match,False,True,geographic-grouping,omq,Otomanguean,medium,Central American Indian is geographic; rationale points to Zapotec/Oto-Manguean.,Oto-Manguean language family of Oaxaca. ISO 639-5: cai.,Central American Indian languages,row_level_reconciliation,reference_only,ISO 639-5 geographic cover label; assign affected languages to genealogical families in the reconciliation review.,family_analysis_mapping_reviewed.csv
json_fallback_language,json:frm,REVIEW_HIGH,revise,Indo-European languages,roa,,frm,Middle French,cldr|iso639_2,frm,,,,,,,,,gem,Indo-European languages,Indo-European languages,Indo-European languages,,No Glottolog match,False,True,incorrect-json-direct-family,roa,Indo-European languages,high,Middle French is Romance; JSON stores gem even though its rationale says to reassign to roa.,Historical stage of French (c.1340–1610). Reassigned below to roa.,Indo-European languages,preserve_reconciled,accepted,Preserves reconciled family label for analysis.,family_analysis_mapping_reviewed.csv
json_fallback_language,json:dnj,REVIEW_HIGH,revise,Mande,dmn,,dnj,Dan,cldr,,,,,,,,,,nic,Niger-Kordofanian languages,Niger-Kordofanian languages,Niger-Kordofanian languages,,No Glottolog match,False,True,abandoned-macrofamily,dmn,Mande,medium,Niger-Kordofanian is abandoned elsewhere; rationale points to Mande.,Mande Niger-Congo language of Côte d'Ivoire/Guinea. ISO 639-5: nic.,Niger-Kordofanian languages,row_level_reconciliation,reference_only,Legacy macrofamily label; assign affected languages to more specific Glottolog/SIL-informed families in the reconciliation review.,family_analysis_mapping_reviewed.csv
json_fallback_language,json:fat,REVIEW_HIGH,revise,Atlantic-Congo,alv,,fat,Fanti,loc_only,fat,,,,,,,,,nic,Niger-Kordofanian languages,Niger-Kordofanian languages,Niger-Kordofanian languages,,No Glottolog match,False,True,abandoned-macrofamily,alv,Atlantic-Congo,medium,Niger-Kordofanian is abandoned elsewhere; rationale points toward Atlantic-Congo/Niger-Congo branches.,Akan Kwa language of Ghana. ISO 639-5: nic.,Niger-Kordofanian languages,row_level_reconciliation,reference_only,Legacy macrofamily label; assign affected languages to more specific Glottolog/SIL-informed families in the reconciliation review.,family_analysis_mapping_reviewed.csv
json_fallback_language,json:gba,REVIEW_HIGH,revise,Atlantic-Congo,alv,,gba,Gbaya,cldr|iso639_2,gba,,,,,,,,,nic,Niger-Kordofanian languages,Niger-Kordofanian languages,Niger-Kordofanian languages,,No Glottolog match,False,True,abandoned-macrofamily,alv,Atlantic-Congo,medium,Niger-Kordofanian is abandoned elsewhere; rationale points toward Atlantic-Congo/Niger-Congo branches.,Ubangian Niger-Congo language of Central Africa. ISO 639-5: nic.,Niger-Kordofanian languages,row_level_reconciliation,reference_only,Legacy macrofamily label; assign affected languages to more specific Glottolog/SIL-informed families in the reconciliation review.,family_analysis_mapping_reviewed.csv
json_fallback_language,json:grb,REVIEW_HIGH,revise,Kru,kro,,grb,Grebo,cldr|iso639_2,grb,,,,,,,,,nic,Niger-Kordofanian languages,Niger-Kordofanian languages,Niger-Kordofanian languages,,No Glottolog match,False,True,abandoned-macrofamily,kro,Kru,medium,Niger-Kordofanian is abandoned elsewhere; rationale points to Kru.,Kru Niger-Congo language of Liberia/Côte d'Ivoire. ISO 639-5: nic.,Niger-Kordofanian languages,row_level_reconciliation,reference_only,Legacy macrofamily label; assign affected languages to more specific Glottolog/SIL-informed families in the reconciliation review.,family_analysis_mapping_reviewed.csv
json_fallback_language,json:kpe,REVIEW_HIGH,revise,Mande,dmn,,kpe,Kpelle,cldr|iso639_2,kpe,,,,,,,,,nic,Niger-Kordofanian languages,Niger-Kordofanian languages,Niger-Kordofanian languages,,No Glottolog match,False,True,abandoned-macrofamily,dmn,Mande,medium,Niger-Kordofanian is abandoned elsewhere; rationale points to Mande.,Mande Niger-Congo language of Guinea/Liberia. ISO 639-5: nic.,Niger-Kordofanian languages,row_level_reconciliation,reference_only,Legacy macrofamily label; assign affected languages to more specific Glottolog/SIL-informed families in the reconciliation review.,family_analysis_mapping_reviewed.csv
