iso639_5,parent_code,family_name,depth
aav,mul,Austro-Asiatic languages,0
afa,mul,Afro-Asiatic languages,0
art,mul,Artificial languages,0
aus,mul,Australian languages,0
cai,mul,Central American Indian languages,0
cau,mul,Caucasian languages,0
cpe,mul,"Creoles and pidgins, English-based",0
dra,mul,Dravidian languages,0
esx,mul,Eskimo-Aleut languages,0
euq,mul,Basque languages,0
hmx,mul,Hmong-Mien languages,0
ine,mul,Indo-European languages,0
jpx,mul,Japonic languages,0
khi,mul,Khoisan languages,0
map,mul,Austronesian languages,0
nai,mul,North American Indian languages,0
nic,mul,Niger-Kordofanian languages,0
paa,mul,Papuan languages,0
sai,mul,South American Indian languages,0
sgn,mul,Sign languages,0
sit,mul,Sino-Tibetan languages,0
ssa,mul,Nilo-Saharan languages,0
tai,mul,Tai-Kadai languages,0
tup,mul,Tupian languages,0
tut,mul,Altaic languages,0
urj,mul,Uralic languages,0
ypk,mul,Yupik languages,0
alv,nic,Atlantic-Volta languages,1
aqa,sai,Alacalufan languages,1
aql,nai,Algonquian-Mosan languages,1
awd,sai,Arawakan languages,1
azc,nai,Uto-Aztecan languages,1
bat,ine,Baltic languages,1
ber,afa,Berber languages,1
cba,sai,Chibchan languages,1
ccn,cau,North Caucasian languages,1
ccs,cau,South Caucasian languages,1
cdc,afa,Chadic languages,1
cdd,nai,Caddoan languages,1
cel,ine,Celtic languages,1
csu,ssa,Central Sudanic languages,1
cus,afa,Cushitic languages,1
dmn,nic,Mande languages,1
egx,afa,Egyptian languages,1
fiu,urj,Finno-Ugrian languages,1
fox,map,Formosan languages,1
gem,ine,Germanic languages,1
grk,ine,Greek languages,1
hok,nai,Hokan languages,1
iir,ine,Indo-Iranian languages,1
iro,nai,Iroquoian languages,1
itc,ine,Italic languages,1
kar,sit,Karen languages,1
kdo,nic,Kordofanian languages,1
mkh,aav,Mon-Khmer languages,1
mun,aav,Munda languages,1
myn,cai,Mayan languages,1
ngf,paa,Trans-New Guinea languages,1
omq,cai,Oto-Manguean languages,1
omv,afa,Omotic languages,1
poz,map,Malayo-Polynesian languages,1
qwe,sai,Quechuan languages,1
sal,nai,Salishan languages,1
sdv,ssa,Eastern Sudanic languages,1
sem,afa,Semitic languages,1
sio,nai,Siouan languages,1
sla,ine,Slavic languages,1
son,ssa,Songhai languages,1
syd,urj,Samoyedic languages,1
tbq,sit,Tibeto-Burman languages,1
trk,tut,Turkic languages,1
tuw,tut,Tungus languages,1
wak,nai,Wakashan languages,1
xgn,tut,Mongolian languages,1
xnd,nai,Na-Dene languages,1
zhx,sit,Chinese languages,1
alg,aql,Algonquian languages,2
ath,xnd,Athapascan languages,2
auf,awd,Arauan languages,2
bad,alv,Banda languages,2
bai,alv,Bamileke languages,2
bnt,alv,Bantu languages,2
btk,poz,Batak languages,2
day,poz,Land Dayak languages,2
gme,gem,East Germanic languages,2
gmq,gem,North Germanic languages,2
gmw,gem,West Germanic languages,2
ijo,alv,Ijo languages,2
inc,iir,Indo-Aryan languages,2
ira,iir,Iranian languages,2
kro,alv,Kru languages,2
nah,azc,Nahuatl languages,2
ngb,alv,Gbaya languages,2
nub,sdv,Nubian languages,2
oto,omq,Otomian languages,2
phi,poz,Philippine languages,2
plf,poz,Central Malayo-Polynesian languages,2
pqe,poz,Eastern Malayo-Polynesian languages,2
pqw,poz,Western Malayo-Polynesian languages,2
roa,itc,Romance languages,2
smi,fiu,Sami languages,2
zle,sla,East Slavic languages,2
zls,sla,South Slavic languages,2
zlw,sla,West Slavic languages,2
znd,alv,Zande languages,2
apa,ath,Apache languages,3
cmc,pqw,Chamic languages,3
cpf,roa,"Creoles and pidgins, French-based",3
cpp,roa,"Creoles and pidgins, Portuguese-based",3
cr,alg,Cree,3
mno,phi,Manobo languages,3
sw,bnt,Swahili,3
wen,zlw,Sorbian languages,3
