language_name,language_code,modern_language,is_official,script_name,script_code,script_modern,is_rtl
Abaza,abq,True,False,Cyrillic,Cyrl,True,False
Abkhazian,ab,True,False,Cyrillic,Cyrl,True,False
Abron,abr,True,False,Latin,Latn,True,False
Acehnese,ace,True,False,Latin,Latn,True,False
Acoli,ach,True,False,Latin,Latn,True,False
Adangme,ada,True,False,Latin,Latn,True,False
Adyghe,ady,True,False,Cyrillic,Cyrl,True,False
Afar,aa,True,False,Latin,Latn,True,False
Afrikaans,af,True,False,Latin,Latn,True,False
Aghem,agq,True,False,Latin,Latn,True,False
Ainu,ain,True,False,Katakana,Kana,True,False
Ainu,ain,True,False,Latin,Latn,True,False
Akan,ak,True,False,Latin,Latn,True,False
Akkadian,akk,False,False,Sumero-Akkadian Cuneiform,Xsux,False,False
Akoose,bss,True,False,Latin,Latn,True,False
Alabama,akz,True,False,Latin,Latn,True,False
Albanian,sq,True,True,Latin,Latn,True,False
Albanian,sq,True,True,Elbasan,Elba,False,False
Aleut,ale,True,False,Latin,Latn,True,False
Algerian Arabic,arq,True,False,Arabic,Arab,True,True
American Sign Language,ase,True,True,Unknown Script,Zzzz,True,False
Amharic,am,True,True,Ethiopic,Ethi,True,False
Amo,amo,True,False,Latin,Latn,True,False
Ancient Egyptian,egy,False,False,Egyptian hieroglyphs,Egyp,False,False
Ancient Greek,grc,False,False,Greek,Grek,True,False
Ancient Greek,grc,False,False,Cypriot,Cprt,False,True
Ancient Greek,grc,False,False,Linear B,Linb,True,True
Ancient North Arabian,xna,False,False,Old North Arabian,Narb,False,True
Angika,anp,True,False,Devanagari,Deva,True,False
Anii,blo,True,False,Latin,Latn,True,False
Ao Naga,njo,True,False,Latin,Latn,True,False
Arabic,ar,True,True,Arabic,Arab,True,True
Arabic,ar,True,True,Syriac,Syrc,True,True
Aragonese,an,True,False,Latin,Latn,True,False
Aramaic,arc,False,False,Imperial Aramaic,Armi,False,True
Aramaic,arc,False,False,Nabataean,Nbat,True,True
Aramaic,arc,False,False,Palmyrene,Palm,True,True
Araona,aro,True,False,Latin,Latn,True,False
Arapaho,arp,True,False,Latin,Latn,True,False
Arawak,arw,True,False,Latin,Latn,True,False
Armenian,hy,True,True,Armenian,Armn,True,False
Aromanian,rup,True,False,Latin,Latn,True,False
Arpitan,frp,True,False,Latin,Latn,True,False
Assamese,as,True,False,Bangla,Beng,True,False
Assyrian Neo-Aramaic,aii,True,False,Cyrillic,Cyrl,True,False
Assyrian Neo-Aramaic,aii,True,False,Syriac,Syrc,True,True
Asturian,ast,True,False,Latin,Latn,True,False
Asu,asa,True,False,Latin,Latn,True,False
Atikamekw,atj,True,False,Latin,Latn,True,False
Atsam,cch,True,False,Latin,Latn,True,False
Avaric,av,True,False,Cyrillic,Cyrl,True,False
Avestan,ae,False,False,Avestan,Avst,False,True
Awadhi,awa,True,False,Devanagari,Deva,True,False
Aymara,ay,True,True,Latin,Latn,True,False
Azerbaijani,az,True,True,Arabic,Arab,True,True
Azerbaijani,az,True,True,Cyrillic,Cyrl,True,False
Azerbaijani,az,True,True,Latin,Latn,True,False
Badaga,bfq,True,False,Tamil,Taml,True,False
Bafia,ksf,True,False,Latin,Latn,True,False
Bafut,bfd,True,False,Latin,Latn,True,False
Bagheli,bfy,True,False,Devanagari,Deva,True,False
Bakhtiari,bqi,True,False,Arabic,Arab,True,True
Balinese,ban,True,False,Balinese,Bali,True,False
Balinese,ban,True,False,Latin,Latn,True,False
Balkan Gagauz Turkish,bgx,True,False,Greek,Grek,True,False
Balti,bft,True,False,Arabic,Arab,True,True
Balti,bft,True,False,Tibetan,Tibt,True,False
Baluchi,bal,True,False,Arabic,Arab,True,True
Baluchi,bal,True,False,Latin,Latn,True,False
Bambara,bm,True,False,Latin,Latn,True,False
Bambara,bm,True,False,N’Ko,Nkoo,True,True
Bamun,bax,True,False,Bamum,Bamu,True,False
Bangla,bn,True,True,Bangla,Beng,True,False
Banjar,bjn,True,False,Latin,Latn,True,False
Bantawa,bap,True,False,Devanagari,Deva,True,False
Baoulé,bci,True,False,Latin,Latn,True,False
Basaa,bas,True,False,Latin,Latn,True,False
Bashkir,ba,True,False,Cyrillic,Cyrl,True,False
Basque,eu,True,False,Latin,Latn,True,False
Batak Toba,bbc,True,False,Batak,Batk,True,False
Batak Toba,bbc,True,False,Latin,Latn,True,False
Bateri,btv,True,False,Devanagari,Deva,True,False
Bavarian,bar,True,False,Latin,Latn,True,False
Beja,bej,True,False,Arabic,Arab,True,True
Belarusian,be,True,True,Cyrillic,Cyrl,True,False
Bemba,bem,True,False,Latin,Latn,True,False
Bena,bez,True,False,Latin,Latn,True,False
Betawi,bew,True,False,Latin,Latn,True,False
Bhilali,bhi,True,False,Devanagari,Deva,True,False
Bhili,bhb,True,False,Devanagari,Deva,True,False
Bhojpuri,bho,True,False,Devanagari,Deva,True,False
Bikol,bik,True,False,Latin,Latn,True,False
Bini,bin,True,False,Latin,Latn,True,False
Bishnupriya,bpy,True,False,Bangla,Beng,True,False
Bislama,bi,True,True,Latin,Latn,True,False
Blin,byn,True,False,Ethiopic,Ethi,True,False
Bodo,brx,True,False,Devanagari,Deva,True,False
Bomu,bmq,True,False,Latin,Latn,True,False
Bosnian,bs,True,True,Cyrillic,Cyrl,True,False
Bosnian,bs,True,True,Latin,Latn,True,False
Brahui,brh,True,False,Arabic,Arab,True,True
Brahui,brh,True,False,Latin,Latn,True,False
Braj,bra,True,False,Devanagari,Deva,True,False
Breton,br,True,False,Latin,Latn,True,False
Bube,bvb,True,False,Latin,Latn,True,False
Buginese,bug,True,False,Latin,Latn,True,False
Buginese,bug,True,False,Buginese,Bugi,False,False
Buhid,bku,True,False,Latin,Latn,True,False
Buhid,bku,True,False,Buhid,Buhd,False,False
Bulgarian,bg,True,True,Cyrillic,Cyrl,True,False
Bulu,bum,True,False,Latin,Latn,True,False
Buriat,bua,True,False,Cyrillic,Cyrl,True,False
Burmese,my,True,True,Myanmar,Mymr,True,False
Bushi,buc,True,False,Latin,Latn,True,False
Caddo,cad,True,False,Latin,Latn,True,False
Cajun French,frc,True,False,Latin,Latn,True,False
Cantonese,yue,True,False,Simplified,Hans,True,False
Cantonese,yue,True,False,Traditional,Hant,True,False
Capiznon,cps,True,False,Latin,Latn,True,False
Carian,xcr,False,False,Carian,Cari,False,False
Carib,car,True,False,Latin,Latn,True,False
Catalan,ca,True,True,Latin,Latn,True,False
Cayuga,cay,True,False,Latin,Latn,True,False
Cebaara Senoufo,sef,True,False,Latin,Latn,True,False
Cebuano,ceb,True,False,Latin,Latn,True,False
Central Atlas Tamazight,tzm,True,True,Latin,Latn,True,False
Central Atlas Tamazight,tzm,True,True,Tifinagh,Tfng,True,True
Central Dusun,dtp,True,False,Latin,Latn,True,False
Central Huasteca Nahuatl,nch,True,False,Latin,Latn,True,False
Central Kurdish,ckb,True,False,Arabic,Arab,True,True
Central Mazahua,maz,True,False,Latin,Latn,True,False
Central Ojibwa,ojc,True,True,Unknown Script,Zzzz,True,False
Central Okinawan,ryu,True,False,Katakana,Kana,True,False
Central Yupik,esu,True,False,Latin,Latn,True,False
Central-Eastern Niger Fulfulde,fuq,True,False,Latin,Latn,True,False
Chadian Arabic,shu,True,True,Unknown Script,Zzzz,True,False
Chakma,ccp,True,False,Bangla,Beng,True,False
Chakma,ccp,True,False,Chakma,Cakm,True,False
Chamorro,ch,True,True,Latin,Latn,True,False
Chechen,ce,True,False,Cyrillic,Cyrl,True,False
Cherokee,chr,True,False,Cherokee,Cher,True,False
Cheyenne,chy,True,False,Latin,Latn,True,False
Chhattisgarhi,hne,True,False,Devanagari,Deva,True,False
Chickasaw,cic,True,False,Latin,Latn,True,False
Chiga,cgg,True,False,Latin,Latn,True,False
Chilcotin,clc,True,False,Latin,Latn,True,False
Chimborazo Highland Quichua,qug,True,False,Latin,Latn,True,False
Chinese,zh,True,True,Bopomofo,Bopo,True,False
Chinese,zh,True,True,Simplified,Hans,True,False
Chinese,zh,True,True,Traditional,Hant,True,False
Chinese,zh,True,True,Phags-pa,Phag,False,False
Chinook Jargon,chn,True,False,Latin,Latn,True,False
Chipewyan,chp,True,False,Latin,Latn,True,False
Chipewyan,chp,True,False,Unified Canadian Aboriginal Syllabics,Cans,True,False
Choctaw,cho,True,False,Latin,Latn,True,False
Chukot,ckt,True,False,Cyrillic,Cyrl,True,False
Church Slavic,cu,False,False,Cyrillic,Cyrl,True,False
Chuukese,chk,True,False,Latin,Latn,True,False
Chuvash,cv,True,False,Cyrillic,Cyrl,True,False
Classical Mandaic,myz,False,False,Mandaean,Mand,True,False
Colognian,ksh,True,False,Latin,Latn,True,False
Comorian,swb,True,False,Arabic,Arab,True,True
Comorian,swb,True,False,Latin,Latn,True,False
Coptic,cop,False,False,Arabic,Arab,True,True
Coptic,cop,False,False,Greek,Grek,True,False
Coptic,cop,False,False,Coptic,Copt,False,False
Cornish,kw,True,False,Latin,Latn,True,False
Corsican,co,True,False,Latin,Latn,True,False
Cree,cr,True,False,Latin,Latn,True,False
Cree,cr,True,False,Unified Canadian Aboriginal Syllabics,Cans,True,False
Crimean Tatar,crh,True,False,Cyrillic,Cyrl,True,False
Croatian,hr,True,True,Latin,Latn,True,False
Czech,cs,True,True,Latin,Latn,True,False
Dakota,dak,True,False,Latin,Latn,True,False
Dan,dnj,True,False,Latin,Latn,True,False
Dangaura Tharu,thl,True,False,Devanagari,Deva,True,False
Danish,da,True,True,Latin,Latn,True,False
Dargwa,dar,True,False,Cyrillic,Cyrl,True,False
Dazaga,dzg,True,True,Unknown Script,Zzzz,True,False
Deccan,dcc,True,False,Arabic,Arab,True,True
Delaware,del,True,False,Latin,Latn,True,False
Dinka,din,True,False,Latin,Latn,True,False
Divehi,dv,True,True,Thaana,Thaa,True,True
Dogri,doi,True,False,Arabic,Arab,True,True
Dogri,doi,True,False,Devanagari,Deva,True,False
Dogri,doi,True,False,Takri,Takr,False,False
Dogrib,dgr,True,False,Latin,Latn,True,False
Domari,rmt,True,False,Arabic,Arab,True,True
Dotyali,dty,True,False,Devanagari,Deva,True,False
Duala,dua,True,False,Latin,Latn,True,False
Dungan,dng,True,False,Cyrillic,Cyrl,True,False
Dutch,nl,True,True,Latin,Latn,True,False
Dyula,dyu,True,False,Latin,Latn,True,False
Dzongkha,dz,True,True,Tibetan,Tibt,True,False
East Futuna,fud,True,False,Latin,Latn,True,False
Eastern Canadian Inuktitut,ike,True,True,Unknown Script,Zzzz,True,False
Eastern Cham,cjm,True,False,Arabic,Arab,True,True
Eastern Cham,cjm,True,False,Cham,Cham,True,False
Eastern Frisian,frs,True,False,Latin,Latn,True,False
Eastern Huasteca Nahuatl,nhe,True,False,Latin,Latn,True,False
Eastern Kayah,eky,True,False,Kayah Li,Kali,True,False
Eastern Lawa,lwl,True,False,Thai,Thai,True,False
Eastern Magar,mgp,True,False,Devanagari,Deva,True,False
Eastern Ojibwa,ojg,True,True,Unknown Script,Zzzz,True,False
Eastern Tamang,taj,True,False,Devanagari,Deva,True,False
Eastern Tamang,taj,True,False,Tibetan,Tibt,True,False
Efik,efi,True,False,Latin,Latn,True,False
Egyptian Arabic,arz,True,False,Arabic,Arab,True,True
Ekajuk,eka,True,False,Latin,Latn,True,False
Embu,ebu,True,False,Latin,Latn,True,False
Emilian,egl,True,False,Latin,Latn,True,False
English,en,True,True,Latin,Latn,True,False
English,en,True,True,Deseret,Dsrt,False,False
English,en,True,True,Shavian,Shaw,True,False
