error_date,error_url,status_code,term_source,language_code,claude_translated_term
2026-03-16,claude.messages.create - APIError,500,Computational Humanities,hz,
2026-04-19,claude.messages.create - General Exception,500,Digital Humanities,gvr,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,ada,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,ady,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,ain,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,akk,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,aln,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,amo,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,ann,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,arn,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,aro,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,arq,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,ccp,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,ars,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,asa,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,atj,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,avk,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bal,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,ban,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bap,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bbc,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bbj,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bej,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bem,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bew,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,ary,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,ach,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bfd,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bfq,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bft,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bgc,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bhb,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bho,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bik,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bjn,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bkm,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bku,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bla,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,blo,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,blt,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bmq,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bqi,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bqv,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bra,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,brh,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bto,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,btv,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bum,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bvb,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,byn,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bze,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bzx,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,car,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,cay,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,bfy,
2026-04-20,claude.messages.create - APIError,529,Digital Humanities,cgg,
2026-04-21,claude.messages.create - General Exception,500,Digital Humanities,sat,
2026-04-22,claude.messages.create - APIError,529,Digital Humanities,yrl,
