error_date,error_url,status_code,term_source,language_code,ollama_translated_term
2025-05-15,ollama.chat - KeyError or ValueError,400,Computational Social Science,id,
2025-05-15,ollama.chat - KeyError or ValueError,400,Computational Humanities,kr,
2025-05-15,ollama.chat - KeyError or ValueError,400,Public History,io,
2025-05-15,ollama.chat - KeyError or ValueError,400,Computational Humanities,rm,
2025-05-15,ollama.chat - KeyError or ValueError,400,Computational Humanities,cr,
2025-05-15,ollama.chat - KeyError or ValueError,400,Public History,es,
2025-05-15,ollama.chat - KeyError or ValueError,400,Computational Social Science,sh,
2025-05-15,ollama.chat - KeyError or ValueError,400,Computational Social Science,bh,
2025-05-15,ollama.chat - KeyError or ValueError,400,Digital Cultural Heritage,rm,
2025-05-15,ollama.chat - KeyError or ValueError,400,Public History,rm,
2025-05-15,ollama.chat - KeyError or ValueError,400,Humanities Data Science,qu,
2025-05-15,ollama.chat - KeyError or ValueError,400,Computational Humanities,nn,
2025-05-15,ollama.chat - KeyError or ValueError,400,Humanities Data Science,bm,
2025-05-15,ollama.chat - KeyError or ValueError,400,Computational Social Science,fy,
2025-05-15,ollama.chat - KeyError or ValueError,400,Computational Social Science,bs,
2025-05-15,ollama.chat - KeyError or ValueError,400,Humanities Data Science,ii,
2025-05-15,ollama.chat - KeyError or ValueError,400,Computational Humanities,os,
2025-05-15,ollama.chat - KeyError or ValueError,400,Computational Humanities,tg,
2025-05-15,ollama.chat - KeyError or ValueError,400,Humanities Data Science,pl,
2025-05-15,ollama.chat - KeyError or ValueError,400,Computational Social Science,iu,
2025-05-15,ollama.chat - KeyError or ValueError,400,Digital Cultural Heritage,nd,
2025-05-15,ollama.chat - KeyError or ValueError,400,Humanities Data Science,rm,
2025-05-15,ollama.chat - KeyError or ValueError,400,Computational Humanities,na,
2025-05-15,ollama.chat - KeyError or ValueError,400,Computational Humanities,eo,
2025-05-15,ollama.chat - KeyError or ValueError,400,Digital Cultural Heritage,bn,
2025-05-15,ollama.chat - KeyError or ValueError,400,Computational Humanities,ig,
2025-05-15,ollama.chat - KeyError or ValueError,400,Digital Cultural Heritage,si,
2025-05-15,ollama.chat - KeyError or ValueError,400,Public History,ka,
2025-05-15,ollama.chat - KeyError or ValueError,400,Public History,no,
2025-05-15,ollama.chat - KeyError or ValueError,400,Computational Humanities,io,
2025-05-15,ollama.chat - KeyError or ValueError,400,Computational Humanities,ae,
2025-05-15,ollama.chat - KeyError or ValueError,400,Computational Humanities,km,
2025-05-15,ollama.chat - KeyError or ValueError,400,Humanities Data Science,kr,
2025-05-15,ollama.chat - KeyError or ValueError,400,Digital Cultural Heritage,sc,
2025-05-15,ollama.chat - KeyError or ValueError,400,Digital Cultural Heritage,lv,
2025-05-15,ollama.chat - KeyError or ValueError,400,Public History,la,
2025-05-15,ollama.chat - KeyError or ValueError,400,Public History,ik,
2025-05-15,ollama.chat - KeyError or ValueError,400,Public History,dv,
2025-05-15,ollama.chat - KeyError or ValueError,400,Digital Cultural Heritage,ne,
2025-05-15,ollama.chat - KeyError or ValueError,400,Humanities Data Science,kl,
2025-05-15,ollama.chat - KeyError or ValueError,400,Public History,av,
2025-05-15,ollama.chat - KeyError or ValueError,400,Public History,hz,
2025-06-01,ollama.chat - KeyError or ValueError,400,Public History,af,
2025-06-01,ollama.chat - KeyError or ValueError,400,Public History,oc,
2025-06-01,ollama.chat - KeyError or ValueError,400,Public History,lb,
2025-06-01,ollama.chat - KeyError or ValueError,400,Public History,ku,
2025-06-01,ollama.chat - KeyError or ValueError,400,Public History,ln,
2025-06-01,ollama.chat - KeyError or ValueError,400,Computational Social Science,ik,
2025-06-01,ollama.chat - KeyError or ValueError,400,Public History,se,
2025-06-01,ollama.chat - KeyError or ValueError,400,Public History,su,
2025-06-01,ollama.chat - KeyError or ValueError,400,Humanities Data Science,se,
2025-06-01,ollama.chat - KeyError or ValueError,400,Humanities Data Science,cs,
2025-06-01,ollama.chat - KeyError or ValueError,400,Public History,sq,
2025-06-01,ollama.chat - KeyError or ValueError,400,Humanities Data Science,su,
2025-06-01,ollama.chat - KeyError or ValueError,400,Computational Social Science,ab,
2025-06-01,ollama.chat - KeyError or ValueError,400,Humanities Data Science,uk,
2025-06-01,ollama.chat - KeyError or ValueError,400,Humanities Data Science,bi,
2025-06-01,ollama.chat - KeyError or ValueError,400,Computational Social Science,zh,
2025-06-01,ollama.chat - KeyError or ValueError,400,Computational Social Science,my,
2025-06-01,ollama.chat - KeyError or ValueError,400,Computational Social Science,bi,
2025-06-01,ollama.chat - KeyError or ValueError,400,Computational Social Science,eu,
2025-06-01,ollama.chat - KeyError or ValueError,400,Computational Social Science,cv,
2025-06-01,ollama.chat - KeyError or ValueError,400,Computational Social Science,as,
2025-06-01,ollama.chat - KeyError or ValueError,400,Computational Social Science,hy,
2025-06-01,ollama.chat - KeyError or ValueError,400,Computational Social Science,hr,
2025-06-01,ollama.chat - KeyError or ValueError,400,Humanities Data Science,nb,
