error_date,error_url,status_code,term_source,language_code,gemini_translated_term
2026-04-03,gemini.models.generate_content - ServerError,500,Digital Humanities,cr,
2026-04-19,gemini.models.generate_content - ValueError,500,Digital Humanities,kcg,
2026-04-19,gemini.models.generate_content - ServerError,500,Digital Humanities,man,
2026-04-19,gemini.models.generate_content - ServerError,500,Digital Humanities,tdd,
2026-04-19,gemini.models.generate_content - ValueError,500,Digital Humanities,grb,
2026-04-19,gemini.models.generate_content - ValueError,500,Digital Humanities,egy,
2026-04-19,gemini.models.generate_content - AttributeError,500,Digital Humanities,kao,
2026-04-19,gemini.models.generate_content - ValueError,500,Digital Humanities,sba,
2026-04-20,gemini.models.generate_content - ValueError,500,Digital Humanities,hop,
2026-04-20,gemini.models.generate_content - ValueError,500,Digital Humanities,del,
2026-04-20,gemini.models.generate_content - ServerError,500,Digital Humanities,gcr,
2026-04-20,gemini.models.generate_content - ValueError,500,Digital Humanities,fvr,
2026-04-20,gemini.models.generate_content - ValueError,500,Digital Humanities,eka,
2026-04-20,gemini.models.generate_content - ServerError,500,Digital Humanities,lis,
2026-04-20,gemini.models.generate_content - ValueError,500,Digital Humanities,pko,
2026-04-20,gemini.models.generate_content - ServerError,500,Digital Humanities,zbl,
2026-04-20,gemini.models.generate_content - ValueError,500,Digital Humanities,mos,
2026-04-20,gemini.models.generate_content - ValueError,500,Digital Humanities,xsa,
2026-04-20,gemini.models.generate_content - ValueError,500,Digital Humanities,nus,
2026-04-20,gemini.models.generate_content - ServerError,500,Digital Humanities,xmr,
2026-04-20,gemini.models.generate_content - ValueError,500,Digital Humanities,lil,
2026-04-20,gemini.models.generate_content - ServerError,500,Digital Humanities,rjs,
2026-04-20,gemini.models.generate_content - ValueError,500,Digital Humanities,yav,
2026-04-20,gemini.models.generate_content - ValueError,500,Digital Humanities,saf,
2026-04-20,gemini.models.generate_content - ValueError,500,Digital Humanities,den,
2026-04-20,gemini.models.generate_content - ValueError,500,Digital Humanities,mua,
2026-04-20,gemini.models.generate_content - ValueError,500,Digital Humanities,arw,
2026-04-20,gemini.models.generate_content - ValueError,500,Digital Humanities,byv,
2026-04-20,gemini.models.generate_content - ServerError,500,Digital Humanities,ojs,
2026-04-20,gemini.models.generate_content - ValueError,500,Digital Humanities,mye,
2026-04-20,gemini.models.generate_content - ValueError,500,Digital Humanities,nnh,
2026-04-20,gemini.models.generate_content - ValueError,500,Digital Humanities,kfo,
2026-04-20,gemini.models.generate_content - ValueError,500,Digital Humanities,rob,
2026-04-20,gemini.models.generate_content - ValueError,500,Digital Humanities,nmg,
2026-04-20,gemini.models.generate_content - ServerError,500,Digital Humanities,mnc,
2026-04-20,gemini.models.generate_content - ValueError,500,Digital Humanities,kwk,
2026-04-21,gemini.models.generate_content - ServerError,500,Digital Humanities,cop,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,clc,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,cch,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,bvb,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,bum,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,bqv,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,akz,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,lab,
2026-04-21,gemini.models.generate_content - ServerError,500,Digital Humanities,crl,
2026-04-21,gemini.models.generate_content - ServerError,500,Digital Humanities,xcr,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,kaj,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,maf,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,tem,
2026-04-21,gemini.models.generate_content - ServerError,500,Digital Humanities,uga,
2026-04-21,gemini.models.generate_content - ServerError,500,Digital Humanities,vai,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,wbq,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,xcr,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,xlc,
2026-04-21,gemini.models.generate_content - ServerError,500,Digital Humanities,xld,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,mnc,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,hur,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,agq,
2026-04-21,gemini.models.generate_content - ServerError,500,Digital Humanities,sog,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,bax,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,bmq,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,eky,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,zbl,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,ann,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,bbj,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,blo,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,chk,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,sg,
2026-04-21,gemini.models.generate_content - ServerError,500,Digital Humanities,egy,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,kkj,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,kpe,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,lis,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,xmr,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,sus,
2026-04-21,gemini.models.generate_content - ServerError,500,Digital Humanities,cwd,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,xld,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,dnj,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,ee,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,elx,
2026-04-21,gemini.models.generate_content - ServerError,500,Digital Humanities,osa,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,jut,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,ttm,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,amo,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,tgx,
2026-04-21,gemini.models.generate_content - ServerError,500,Digital Humanities,nqo,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,maz,
2026-04-21,gemini.models.generate_content - ServerError,500,Digital Humanities,lep,
2026-04-21,gemini.models.generate_content - ServerError,500,Digital Humanities,lab,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,kao,
2026-04-21,gemini.models.generate_content - ServerError,500,Digital Humanities,ii,
2026-04-21,gemini.models.generate_content - ValueError,500,Digital Humanities,see,
2026-04-21,gemini.models.generate_content - ServerError,500,Digital Humanities,xsa,
2026-04-22,gemini.models.generate_content - ValueError,500,Digital Humanities,hz,
2026-04-22,gemini.models.generate_content - ServerError,500,Digital Humanities,mnc,
2026-04-22,gemini.models.generate_content - ServerError,500,Digital Humanities,ojs,
