error_date,error_url,status_code,term_source,language_code,ollama_translated_term
2025-05-15,ollama.chat - KeyError or ValueError,400,Public History,tt,
2025-05-15,ollama.chat - KeyError or ValueError,400,Computational Humanities,ae,
2025-05-15,ollama.chat - KeyError or ValueError,400,Public History,la,
2025-05-15,ollama.chat - KeyError or ValueError,400,Public History,ka,
2025-05-15,ollama.chat - KeyError or ValueError,400,Public History,sa,
2025-05-15,ollama.chat - KeyError or ValueError,400,Computational Social Science,bh,
2025-05-15,ollama.chat - KeyError or ValueError,400,Computational Humanities,nn,
2025-05-15,ollama.chat - KeyError or ValueError,400,Digital Cultural Heritage,rm,
2025-05-15,ollama.chat - KeyError or ValueError,400,Public History,io,
2025-05-15,ollama.chat - KeyError or ValueError,400,Digital Cultural Heritage,si,
2025-05-15,ollama.chat - KeyError or ValueError,400,Digital Cultural Heritage,bn,
2025-05-15,ollama.chat - KeyError or ValueError,400,Computational Social Science,fy,
2025-05-15,ollama.chat - KeyError or ValueError,400,Humanities Data Science,kl,
2025-05-15,ollama.chat - KeyError or ValueError,400,Computational Social Science,bs,
2025-06-01,ollama.chat - KeyError or ValueError,400,Computational Social Science,an,
2025-06-01,ollama.chat - KeyError or ValueError,400,Computational Social Science,sq,
2025-06-01,ollama.chat - KeyError or ValueError,400,Public History,kw,
2025-06-01,ollama.chat - KeyError or ValueError,400,Computational Social Science,gl,
2025-06-01,ollama.chat - KeyError or ValueError,400,Computational Social Science,ka,
2025-06-01,ollama.chat - KeyError or ValueError,400,Computational Social Science,dz,
2025-06-01,ollama.chat - KeyError or ValueError,400,Computational Social Science,ca,
2025-06-01,ollama.chat - KeyError or ValueError,400,Computational Social Science,de,
2025-06-01,ollama.chat - KeyError or ValueError,400,Public History,ss,
2025-06-01,ollama.chat - KeyError or ValueError,400,Public History,az,
2025-06-01,ollama.chat - KeyError or ValueError,400,Computational Social Science,lo,
2025-06-01,ollama.chat - KeyError or ValueError,400,Computational Social Science,kk,
2025-06-01,ollama.chat - KeyError or ValueError,400,Computational Social Science,ms,
2025-06-01,ollama.chat - KeyError or ValueError,400,Humanities Data Science,te,
2025-06-01,ollama.chat - KeyError or ValueError,400,Computational Social Science,eu,
2025-06-01,ollama.chat - KeyError or ValueError,400,Computational Social Science,da,
2025-06-01,ollama.chat - KeyError or ValueError,400,Public History,vi,
2025-06-01,ollama.chat - KeyError or ValueError,400,Humanities Data Science,sv,
2025-06-01,ollama.chat - KeyError or ValueError,400,Humanities Data Science,lg,
2025-06-01,ollama.chat - KeyError or ValueError,400,Humanities Data Science,he,
2025-06-01,ollama.chat - KeyError or ValueError,400,Humanities Data Science,it,
2025-06-01,ollama.chat - KeyError or ValueError,400,Humanities Data Science,ga,
2025-06-01,ollama.chat - KeyError or ValueError,400,Humanities Data Science,pt,
2025-06-01,ollama.chat - KeyError or ValueError,400,Humanities Data Science,vo,
2025-06-01,ollama.chat - KeyError or ValueError,400,Public History,ms,
