error_date,error_url,status_code,term_source,language_code,openai_translated_term
2025-05-15,openai.chat.completions.create - General Exception,500,Computational Humanities,ae,
2025-06-01,openai.chat.completions.create - General Exception,500,Public History,it,
2025-06-01,openai.chat.completions.create - General Exception,500,Computational Social Science,gu,
2025-06-01,openai.chat.completions.create - General Exception,500,Computational Social Science,ng,
2025-06-01,openai.chat.completions.create - General Exception,500,Humanities Data Science,hi,
2025-06-01,openai.chat.completions.create - General Exception,500,Humanities Data Science,ru,
2025-06-02,openai.chat.completions.create - General Exception,500,Public History,ba,
2025-06-02,openai.chat.completions.create - General Exception,500,Humanities Data Science,ha,
2025-06-02,openai.chat.completions.create - General Exception,500,Computational Social Science,sk,
2025-06-02,openai.chat.completions.create - General Exception,500,Digital Cultural Heritage,de,
2025-06-02,openai.chat.completions.create - General Exception,500,Public History,sg,
2025-06-02,openai.chat.completions.create - General Exception,500,Public History,bi,
2025-06-02,openai.chat.completions.create - General Exception,500,Public History,lt,
2025-06-02,openai.chat.completions.create - General Exception,500,Computational Humanities,zh,
2025-06-02,openai.chat.completions.create - General Exception,500,Humanities Data Science,cy,
2025-06-02,openai.chat.completions.create - General Exception,500,Digital Cultural Heritage,ja,
2025-06-02,openai.chat.completions.create - General Exception,500,Humanities Data Science,sw,
2026-03-15,openai.chat.completions.create - General Exception,500,Computational Humanities,af,
2026-03-15,openai.chat.completions.create - General Exception,500,Computational Humanities,ab,
2026-03-15,openai.chat.completions.create - OpenAIError,500,Computational Humanities,aa,
2026-04-03,openai.chat.completions.create - General Exception,500,Digital Humanities,hi,
2026-04-03,openai.chat.completions.create - General Exception,500,Digital Humanities,xh,
2026-04-03,openai.chat.completions.create - General Exception,500,Digital Humanities,ts,
2026-04-03,openai.chat.completions.create - General Exception,500,Digital Humanities,hz,
2026-04-03,openai.chat.completions.create - General Exception,500,Digital Humanities,bn,
2026-04-03,openai.chat.completions.create - General Exception,500,Digital Humanities,cs,
2026-04-03,openai.chat.completions.create - General Exception,500,Digital Humanities,ki,
2026-04-03,openai.chat.completions.create - General Exception,500,Digital Humanities,pa,
2026-04-03,openai.chat.completions.create - General Exception,500,Digital Humanities,mt,
2026-04-03,openai.chat.completions.create - General Exception,500,Digital Humanities,ty,
2026-04-03,openai.chat.completions.create - General Exception,500,Digital Humanities,rn,
2026-04-03,openai.chat.completions.create - General Exception,500,Digital Humanities,bh,
2026-04-03,openai.chat.completions.create - General Exception,500,Digital Humanities,be,
2026-04-03,openai.chat.completions.create - General Exception,500,Digital Humanities,cv,
2026-04-03,openai.chat.completions.create - General Exception,500,Digital Humanities,rw,
2026-04-03,openai.chat.completions.create - General Exception,500,Digital Humanities,lg,
2026-04-03,openai.chat.completions.create - General Exception,500,Digital Humanities,qu,
2026-04-07,openai.chat.completions.create - General Exception,500,Digital Humanities,csb,
2026-04-07,openai.chat.completions.create - General Exception,500,Digital Humanities,rmy,
2026-04-07,openai.chat.completions.create - General Exception,500,Digital Humanities,bxr,
2026-04-07,openai.chat.completions.create - General Exception,500,Digital Humanities,nap,
2026-04-07,openai.chat.completions.create - General Exception,500,Digital Humanities,udm,
2026-04-07,openai.chat.completions.create - General Exception,500,Digital Humanities,sco,
2026-04-07,openai.chat.completions.create - General Exception,500,Digital Humanities,pdc,
2026-04-07,openai.chat.completions.create - General Exception,500,Digital Humanities,nds,
2026-04-07,openai.chat.completions.create - General Exception,500,Digital Humanities,inh,
2026-04-07,openai.chat.completions.create - General Exception,500,Digital Humanities,pag,
2026-04-07,openai.chat.completions.create - General Exception,500,Digital Humanities,ilo,
2026-04-07,openai.chat.completions.create - General Exception,500,Digital Humanities,got,
2026-04-07,openai.chat.completions.create - General Exception,500,Digital Humanities,tlh,
2026-04-07,openai.chat.completions.create - General Exception,500,Digital Humanities,zh-classical,
2026-04-18,openai.chat.completions.create - General Exception,500,Digital Humanities,mo,
2026-04-19,openai.chat.completions.create - General Exception,500,Digital Humanities,new,
2026-04-19,openai.chat.completions.create - General Exception,500,Digital Humanities,gez,
2026-04-19,openai.chat.completions.create - General Exception,500,Digital Humanities,mn,
2026-04-19,openai.chat.completions.create - General Exception,500,Digital Humanities,kfo,
2026-04-19,openai.chat.completions.create - General Exception,500,Digital Humanities,mic,
2026-04-19,openai.chat.completions.create - General Exception,500,Digital Humanities,ttj,
2026-04-19,openai.chat.completions.create - General Exception,500,Digital Humanities,cop,
2026-04-19,openai.chat.completions.create - General Exception,500,Digital Humanities,rhg,
2026-04-19,openai.chat.completions.create - General Exception,500,Digital Humanities,hsb,
2026-04-19,openai.chat.completions.create - General Exception,500,Digital Humanities,gub,
2026-04-19,openai.chat.completions.create - General Exception,500,Digital Humanities,gba,
2026-04-19,openai.chat.completions.create - General Exception,500,Digital Humanities,es,
2026-04-19,openai.chat.completions.create - General Exception,500,Digital Humanities,kge,
2026-04-19,openai.chat.completions.create - General Exception,500,Digital Humanities,kru,
2026-04-19,openai.chat.completions.create - General Exception,500,Digital Humanities,sv,
2026-04-19,openai.chat.completions.create - General Exception,500,Digital Humanities,kac,
2026-04-19,openai.chat.completions.create - General Exception,500,Digital Humanities,zh,
2026-04-19,openai.chat.completions.create - General Exception,500,Digital Humanities,gjk,
2026-04-19,openai.chat.completions.create - General Exception,500,Digital Humanities,ii,
2026-04-19,openai.chat.completions.create - General Exception,500,Digital Humanities,kfr,
2026-04-19,openai.chat.completions.create - General Exception,500,Digital Humanities,he,
2026-04-19,openai.chat.completions.create - General Exception,500,Digital Humanities,nod,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,sam,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,ng,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,li,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,xal,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,na,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,rom,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,rar,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,sdh,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,cjs,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,sel,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,hnd,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,tsg,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,chr,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,pon,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,ojb,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,tdg,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,saz,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,nqo,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,lui,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,crl,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,ase,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,gor,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,thq,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,kgp,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,kr,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,os,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,bm,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,kj,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,cwd,
2026-04-20,openai.chat.completions.create - QuotaExceeded,429,Digital Humanities,saf,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,arp,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,luo,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,hne,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,sah,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,mro,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,smj,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,gu,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,dar,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,aii,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,uga,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,maz,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,sog,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,ho,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,kw,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,kaw,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,jbo,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,frp,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,gmh,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,tdd,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,yo,
2026-04-20,OpenAI translation failed: OpenAI quota exceeded — aborting OpenAI translation pass,500,OpenAI,,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,mus,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,nyo,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,sck,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,ybb,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,dgr,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,bal,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,efi,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,peo,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,pi,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,av,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,nyn,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,del,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,thr,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,ojg,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,wbr,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,aoz,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,xsa,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,ady,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,sli,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,ig,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,swv,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,goh,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,fud,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,bla,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,cgg,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,ca,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,puu,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,cho,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,alt,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,kos,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,bqv,
2026-04-20,openai.chat.completions.create - General Exception,500,Digital Humanities,bkm,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,njo,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,nmg,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,nsk,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,nxq,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,oka,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,phn,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,pal,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,pqm,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,ria,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,nhe,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,rtm,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,rmt,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,rob,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,osa,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,myz,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,lis,
2026-04-21,openai.chat.completions.create - General Exception,500,Digital Humanities,mls,
