language_code,language_name,term_source,enmt_translated_term,wikipedia_translated_term,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,coding_dh_date
aa,Afar,Computational Social Science,,,,,,2025-05-31 21:15:56
ab,Abkhaz,Computational Social Science,,,,,,2025-05-31 21:15:56
ae,Avestan,Computational Social Science,,,,,,2025-05-31 21:15:56
af,Afrikaans,Computational Social Science,Kompsionele sosiale wetenskap,,,,,2025-05-31 21:15:56
ak,Akan,Computational Social Science,,,,,,2025-05-31 21:15:56
am,Amharic,Computational Social Science,,,,,,2025-05-31 21:15:56
an,Aragonese,Computational Social Science,,,,,,2025-05-31 21:15:56
ar,Arabic,Computational Social Science,العلوم الاجتماعية,,,,,2025-05-31 21:15:56
as,Assamese,Computational Social Science,,,,,,2025-05-31 21:15:56
av,Avaric,Computational Social Science,,,,,,2025-05-31 21:15:56
ay,Aymara,Computational Social Science,,,,,,2025-05-31 21:15:56
az,Azerbaijani,Computational Social Science,Simmetrik Referens,,,,,2025-05-31 21:15:56
ba,Bashkir,Computational Social Science,,,,,,2025-05-31 21:15:56
be,Belarusian,Computational Social Science,,,,,,2025-05-31 21:15:56
bg,Bulgarian,Computational Social Science,(Социалисти),,,,,2025-05-31 21:15:56
bh,Bihari,Computational Social Science,,,,,,2025-05-31 21:15:56
bi,Bislama,Computational Social Science,Ol Rao Long Saed Blong Sayens We i Joen Wetem Laef Blong Ol Man,,,,,2025-05-31 21:15:56
bm,Bambara,Computational Social Science,,,,,,2025-05-31 21:15:56
bn,Bengali,Computational Social Science,,,,,,2025-05-31 21:15:56
bo,Tibetan,Computational Social Science,,,,,,2025-05-31 21:15:56
br,Breton,Computational Social Science,,,,,,2025-05-31 21:15:56
bs,Bosnian,Computational Social Science,,,,,,2025-05-31 21:15:56
ca,Catalan; Valencian,Computational Social Science,Ciència social Compteal,,,,,2025-05-31 21:15:56
ce,Chechen,Computational Social Science,,,,,,2025-05-31 21:15:56
ch,Chamorro,Computational Social Science,,,,,,2025-05-31 21:15:56
co,Corsican,Computational Social Science,,,,,,2025-05-31 21:15:56
cr,Cree,Computational Social Science,,,,,,2025-05-31 21:15:56
cs,Czech,Computational Social Science,Výpočetní sociální věda,,,,,2025-05-31 21:15:56
cu,Old Church Slavonic,Computational Social Science,,,,,,2025-05-31 21:15:56
cv,Chuvash,Computational Social Science,,,,,,2025-05-31 21:15:56
cy,Welsh,Computational Social Science,"Cyrisqs Llinell Mecameroon_ departments. kgmCity name (optional, probably does not need a translation)City name (optional, probably does not need a translation)City name (optional, probably does not need a translation)",,,,,2025-05-31 21:15:56
da,Danish,Computational Social Science,Computational Social Science (Computational Social Science),,,,,2025-05-31 21:15:56
de,German,Computational Social Science,Computational Social Science,,,,,2025-05-31 21:15:56
dv,Divehi; Maldivian;,Computational Social Science,,,,,,2025-05-31 21:15:56
dz,Dzongkha,Computational Social Science,,,,,,2025-05-31 21:15:56
ee,Ewe,Computational Social Science,Hadome Dzɔdzɔmeŋutinunya me Nyaʋiʋliwo,,,,,2025-05-31 21:15:56
el,"Greek, Modern",Computational Social Science,Υπολογιστική Κοινωνική Επιστήμη,,,,,2025-05-31 21:15:56
en,English,Computational Social Science,,,,,,2025-05-31 21:15:56
eo,Esperanto,Computational Social Science,Comment,,,,,2025-05-31 21:15:56
es,Spanish; Castilian,Computational Social Science,Ciencias Sociales Computacionales,,,,,2025-05-31 21:15:56
et,Estonian,Computational Social Science,Arvutuslik sotsiaalteadus,,,,,2025-05-31 21:15:56
eu,Basque,Computational Social Science,Zientzia sozialeko lehiakidea,,,,,2025-05-31 21:15:56
fa,Persian,Computational Social Science,,,,,,2025-05-31 21:15:56
ff,Fula,Computational Social Science,,,,,,2025-05-31 21:15:56
fi,Finnish,Computational Social Science,Laskennallinen yhteiskuntatiede,,,,,2025-05-31 21:15:56
fj,Fijian,Computational Social Science,Vakaotia na Social Science,,,,,2025-05-31 21:15:56
fo,Faroese,Computational Social Science,,,,,,2025-05-31 21:15:56
fr,French,Computational Social Science,Sciences sociales computationnelles,,,,,2025-05-31 21:15:56
fy,Western Frisian,Computational Social Science,,,,,,2025-05-31 21:15:56
ga,Irish,Computational Social Science,Eolaíocht Shóisialta san áireamh,,,,,2025-05-31 21:15:56
gd,Scottish Gaelic,Computational Social Science,,,,,,2025-05-31 21:15:56
gl,Galician,Computational Social Science,Ciencia social cibernacionalKCharselect unicode block name,,,,,2025-05-31 21:15:56
gn,Guaraní,Computational Social Science,,,,,,2025-05-31 21:15:56
gu,Gujarati,Computational Social Science,,,,,,2025-05-31 21:15:56
gv,Manx,Computational Social Science,Protocol kiedyn tobbyr vashteeyn,,,,,2025-05-31 21:15:56
ha,Hausa,Computational Social Science,KCharselect unicode block name,,,,,2025-05-31 21:15:56
he,Hebrew (modern),Computational Social Science,מדעי החברה המחוברים,,,,,2025-05-31 21:15:56
hi,Hindi,Computational Social Science,समाज - विज्ञान की गिनती तेज़ी से बढ़ती जा रही है,,,,,2025-05-31 21:15:56
ho,Hiri Motu,Computational Social Science,Saiens Taudia,,,,,2025-05-31 21:15:56
hr,Croatian,Computational Social Science,,,,,,2025-05-31 21:15:56
ht,Haitian,Computational Social Science,Bagay ki gen rapò ak movèzespri,,,,,2025-05-31 21:15:56
hu,Hungarian,Computational Social Science,Számítástechnikai társadalomtudomány,,,,,2025-05-31 21:15:56
hy,Armenian,Computational Social Science,Համագործակցություն հասարակության մեջ,,,,,2025-05-31 21:15:56
hz,Herero,Computational Social Science,,,,,,2025-05-31 21:15:56
ia,Interlingua,Computational Social Science,,,,,,2025-05-31 21:15:56
id,Indonesian,Computational Social Science,Computatisional Social Science,,,,,2025-05-31 21:15:56
ie,Interlingue,Computational Social Science,,,,,,2025-05-31 21:15:56
ig,Igbo,Computational Social Science,Nkà Mmụta Sayensị Ndị Na - emetụta Ọha na Eze,,,,,2025-05-31 21:15:56
ii,Nuosu,Computational Social Science,,,,,,2025-05-31 21:15:56
ik,Inupiaq,Computational Social Science,,,,,,2025-05-31 21:15:56
io,Ido,Computational Social Science,,,,,,2025-05-31 21:15:56
is,Icelandic,Computational Social Science,Félagsvísindi samkvæmt útreikningum,,,,,2025-05-31 21:15:56
it,Italian,Computational Social Science,Scienze sociali computazionali,,,,,2025-05-31 21:15:56
iu,Inuktitut,Computational Social Science,,,,,,2025-05-31 21:15:56
ja,Japanese,Computational Social Science,,,,,,2025-05-31 21:15:56
jv,Javanese,Computational Social Science,,,,,,2025-05-31 21:15:56
ka,Georgian,Computational Social Science,,,,,,2025-05-31 21:15:56
kg,Kongo,Computational Social Science,Dibanza ya Mayele ya Bantu Yonso,,,,,2025-05-31 21:15:56
ki,"Kikuyu, Gikuyu",Computational Social Science,,,,,,2025-05-31 21:15:56
kj,"Kwanyama, Kuanyama",Computational Social Science,Okuyandja omayambidido a tya ngaho okwa ningifa ovanhu va kale va wanenwa,,,,,2025-05-31 21:15:56
kk,Kazakh,Computational Social Science,,,,,,2025-05-31 21:15:56
kl,Kalaallisut,Computational Social Science,,,,,,2025-05-31 21:15:56
km,Khmer,Computational Social Science,,,,,,2025-05-31 21:15:56
kn,Kannada,Computational Social Science,,,,,,2025-05-31 21:15:56
ko,Korean,Computational Social Science,,,,,,2025-05-31 21:15:56
kr,Kanuri,Computational Social Science,,,,,,2025-05-31 21:15:56
ks,Kashmiri,Computational Social Science,,,,,,2025-05-31 21:15:56
ku,Kurdish,Computational Social Science,,,,,,2025-05-31 21:15:56
kv,Komi,Computational Social Science,,,,,,2025-05-31 21:15:56
kw,Cornish,Computational Social Science,,,,,,2025-05-31 21:15:56
ky,"Kirghiz, Kyrgyz",Computational Social Science,,,,,,2025-05-31 21:15:56
la,Latin,Computational Social Science,,,,,,2025-05-31 21:15:56
lb,Luxembourgish,Computational Social Science,,,,,,2025-05-31 21:15:56
lg,Luganda,Computational Social Science,Enkyukakyuka Ezibaawo mu Ngeri Ematiza mu by'Omwoyo,,,,,2025-05-31 21:15:56
li,Limburgish,Computational Social Science,,,,,,2025-05-31 21:15:56
ln,Lingala,Computational Social Science,Makambo ya siansi oyo ezali kobebisa bomoi ya bato,,,,,2025-05-31 21:15:56
lo,Lao,Computational Social Science,,,,,,2025-05-31 21:15:56
lt,Lithuanian,Computational Social Science,,,,,,2025-05-31 21:15:56
lu,Luba-Katanga,Computational Social Science,MADINGI a bwifundi bwa Sianse,,,,,2025-05-31 21:15:56
lv,Latvian,Computational Social Science,,,,,,2025-05-31 21:15:56
mg,Malagasy,Computational Social Science,Siansa momba ny fiaraha - monina,,,,,2025-05-31 21:15:56
mh,Marshallese,Computational Social Science,Katak ko an jaintiij Ro,,,,,2025-05-31 21:15:56
mi,Māori,Computational Social Science,,,,,,2025-05-31 21:15:56
mk,Macedonian,Computational Social Science,Компутативни социјални науки,,,,,2025-05-31 21:15:56
ml,Malayalam,Computational Social Science,കംപ്യൂട്ടർ സോഷ്യൽ സയൻസ്,,,,,2025-05-31 21:15:56
mn,Mongolian,Computational Social Science,,,,,,2025-05-31 21:15:56
mr,Marathi (Marāṭhī),Computational Social Science,विज्ञान,,,,,2025-05-31 21:15:56
ms,Malay,Computational Social Science,,,,,,2025-05-31 21:15:56
mt,Maltese,Computational Social Science,Xjenza Soċjali tal-Komputazzjoni,,,,,2025-05-31 21:15:56
my,Burmese,Computational Social Science,,,,,,2025-05-31 21:15:56
na,Nauru,Computational Social Science,,,,,,2025-05-31 21:15:56
nb,Norwegian Bokmål,Computational Social Science,,,,,,2025-05-31 21:15:56
nd,North Ndebele,Computational Social Science,,,,,,2025-05-31 21:15:56
ne,Nepali,Computational Social Science,,,,,,2025-05-31 21:15:56
ng,Ndonga,Computational Social Science,O - IUD ndjoka hayi ithanwa The Origin of Life,,,,,2025-05-31 21:15:56
nl,Dutch,Computational Social Science,Computational Social Science,,,,,2025-05-31 21:15:56
nn,Norwegian Nynorsk,Computational Social Science,,,,,,2025-05-31 21:15:56
no,Norwegian,Computational Social Science,,,,,,2025-05-31 21:15:56
nr,South Ndebele,Computational Social Science,,,,,,2025-05-31 21:15:56
nv,"Navajo, Navaho",Computational Social Science,,,,,,2025-05-31 21:15:56
ny,Chichewa; Chewa; Nyanja,Computational Social Science,Sayansi ya Chikhalidwe cha Anthu,,,,,2025-05-31 21:15:56
oc,Occitan,Computational Social Science,,,,,,2025-05-31 21:15:56
oj,"Ojibwe, Ojibwa",Computational Social Science,,,,,,2025-05-31 21:15:56
om,Oromo,Computational Social Science,Saayinsii Wajjin Haala Wal Simuun Gurmaaʼuu,,,,,2025-05-31 21:15:56
or,Oriya,Computational Social Science,,,,,,2025-05-31 21:15:56
os,"Ossetian, Ossetic",Computational Social Science,,,,,,2025-05-31 21:15:56
pa,"Panjabi, Punjabi",Computational Social Science,,,,,,2025-05-31 21:15:56
pi,Pāli,Computational Social Science,,,,,,2025-05-31 21:15:56
pl,Polish,Computational Social Science,,,,,,2025-05-31 21:15:56
ps,"Pashto, Pushto",Computational Social Science,,,,,,2025-05-31 21:15:56
pt,Portuguese,Computational Social Science,,,,,,2025-05-31 21:15:56
qu,Quechua,Computational Social Science,,,,,,2025-05-31 21:15:56
rm,Romansh,Computational Social Science,,,,,,2025-05-31 21:15:56
rn,Kirundi,Computational Social Science,Abahinga mu vy’imibano,,,,,2025-05-31 21:15:56
ro,"Romanian, Moldavan",Computational Social Science,Stiinta sociala computerizata,,,,,2025-05-31 21:15:56
ru,Russian,Computational Social Science,Расчетные социальные науки,,,,,2025-05-31 21:15:56
rw,Kinyarwanda,Computational Social Science,Uko abahanga mu bya siyansi bemeza ko ibintu byose biba bitunganye,,,,,2025-05-31 21:15:56
sa,Sanskrit (Saṁskṛta),Computational Social Science,,,,,,2025-05-31 21:15:56
sc,Sardinian,Computational Social Science,,,,,,2025-05-31 21:15:56
sd,Sindhi,Computational Social Science,,,,,,2025-05-31 21:15:56
se,Northern Sami,Computational Social Science,,,,,,2025-05-31 21:15:56
sg,Sango,Computational Social Science,[ Kete tënë na gbe ni],,,,,2025-05-31 21:15:56
sh,Serbo-Crotian,Computational Social Science,,,,,,2025-05-31 21:15:56
si,"Sinhala, Sinhalese",Computational Social Science,,,,,,2025-05-31 21:15:56
sk,Slovak,Computational Social Science,Výpočtová sociálna veda,,,,,2025-05-31 21:15:56
sl,Slovene,Computational Social Science,,,,,,2025-05-31 21:15:56
sm,Samoan,Computational Social Science,Feteenaʻiga i le va o Tagata ma le Atua,,,,,2025-05-31 21:15:56
sn,Shona,Computational Social Science,Kuparadzira Sayenzi Yenzanga,,,,,2025-05-31 21:15:56
so,Somali,Computational Social Science,,,,,,2025-05-31 21:15:56
sq,Albanian,Computational Social Science,Shkenca sociale kompituese,,,,,2025-05-31 21:15:56
sr,Serbian,Computational Social Science,,,,,,2025-05-31 21:15:56
ss,Swati,Computational Social Science,Incociswano Namakhelwane,,,,,2025-05-31 21:15:56
st,Southern Sotho,Computational Social Science,Saense ea Sechaba e Khahlanong le Maemo,,,,,2025-05-31 21:15:56
su,Sundanese,Computational Social Science,,,,,,2025-05-31 21:15:56
sv,Swedish,Computational Social Science,Beräknings samhällsvetenskap,,,,,2025-05-31 21:15:56
sw,Swahili,Computational Social Science,Sayansi ya Kijamii Yenye Kutegemea Mambo Mbalimbali,,,,,2025-05-31 21:15:56
ta,Tamil,Computational Social Science,,,,,,2025-05-31 21:15:56
te,Telugu,Computational Social Science,,,,,,2025-05-31 21:15:56
tg,Tajik,Computational Social Science,,,,,,2025-05-31 21:15:56
th,Thai,Computational Social Science,,,,,,2025-05-31 21:15:56
ti,Tigrinya,Computational Social Science,ማሕበራዊ ስነ - ፍልጠት,,,,,2025-05-31 21:15:56
tk,Turkmen,Computational Social Science,,,,,,2025-05-31 21:15:56
tl,Tagalog,Computational Social Science,Komputasyonal na Siyensiyang Panlipunan,,,,,2025-05-31 21:15:56
tn,Tswana,Computational Social Science,Dilo Tse di Dirang Gore Batho ba Nne le Seabe mo Saenseng ya Setšhaba,,,,,2025-05-31 21:15:56
to,Tonga,Computational Social Science,"Ngāue'aki "" e he Kau Faka'ali'alí "" a e Fakakaukau Fakaefakataha'angá",,,,,2025-05-31 21:15:56
tr,Turkish,Computational Social Science,,,,,,2025-05-31 21:15:56
ts,Tsonga,Computational Social Science,Sayense Ya Vutshunguri,,,,,2025-05-31 21:15:56
tt,Tatar,Computational Social Science,,,,,,2025-05-31 21:15:56
tw,Twi,Computational Social Science,Asetra Mu Nyansahu a Wɔbɛma Ayɛ Nea Mfaso Wɔ So,,,,,2025-05-31 21:15:56
ty,Tahitian,Computational Social Science,Te haereraa i mua o te ite aivanaa i te pae totiale,,,,,2025-05-31 21:15:56
ug,"Uighur, Uyghur",Computational Social Science,,,,,,2025-05-31 21:15:56
uk,Ukrainian,Computational Social Science,Доповнення соціальної науки,,,,,2025-05-31 21:15:56
ur,Urdu,Computational Social Science,معاشرتی سائنس,,,,,2025-05-31 21:15:56
