language_code,term_source,gt_translated_term,language_name,coding_dh_date,wikipedia_translated_term,exclude_google_cloud_translate
aa,Computational Social Science,Cisab Ayyuntiinô Misso,Afar,2025-05-31 21:15:56,,
pa,Computational Social Science,ਕੰਪਿਊਟੇਸ਼ਨਲ ਸੋਸ਼ਲ ਸਾਇੰਸ,"Panjabi, Punjabi",2025-05-31 21:15:56,,
sa,Computational Social Science,कम्प्यूटेशनल सामाजिक विज्ञान,Sanskrit (Saṁskṛta),2025-05-31 21:15:56,,
nr,Computational Social Science,Isayensi yezenhlalakahle yekhomphyutha,South Ndebele,2025-05-31 21:15:56,,
nv,Computational Social Science,,"Navajo, Navaho",2025-05-31 21:15:56,,
ny,Computational Social Science,Computational Social Science,Chichewa; Chewa; Nyanja,2025-05-31 21:15:56,,
oc,Computational Social Science,Sciéncias socialas computacionalas,Occitan,2025-05-31 21:15:56,,
oj,Computational Social Science,,"Ojibwe, Ojibwa",2025-05-31 21:15:56,,
om,Computational Social Science,Saayinsii Hawaasummaa Shallaggii,Oromo,2025-05-31 21:15:56,,
or,Computational Social Science,ଗଣନାମୂଳକ ସାମାଜିକ ବିଜ୍ଞାନ,Oriya,2025-05-31 21:15:56,,
os,Computational Social Science,Компьютерон æхсæнадон наукæ,"Ossetian, Ossetic",2025-05-31 21:15:56,,
pl,Computational Social Science,Obliczeniowa nauka społeczna,Polish,2025-05-31 21:15:56,,
pi,Computational Social Science,,Pāli,2025-05-31 21:15:56,,
lg,Computational Social Science,Sayansi w’Ensi z’Ensi ez’Okubalirira,Luganda,2025-05-31 21:15:56,,
ps,Computational Social Science,د محاسبې ټولنیز ساینس,"Pashto, Pushto",2025-05-31 21:15:56,,
pt,Computational Social Science,Ciência Social Computacional,Portuguese,2025-05-31 21:15:56,,
qu,Computational Social Science,Ciencia Social Computacional nisqamanta,Quechua,2025-05-31 21:15:56,,
rm,Computational Social Science,,Romansh,2025-05-31 21:15:56,,
rn,Computational Social Science,Ubuhinga bwo mu mibano,Kirundi,2025-05-31 21:15:56,,
ro,Computational Social Science,Științe Sociale Computaționale,"Romanian, Moldavan",2025-05-31 21:15:56,,
ru,Computational Social Science,Вычислительная социальная наука,Russian,2025-05-31 21:15:56,,
rw,Computational Social Science,Ubumenyi mbonezamubano,Kinyarwanda,2025-05-31 21:15:56,,
no,Computational Social Science,Beregningsmessig samfunnsvitenskap,Norwegian,2025-05-31 21:15:56,,
nn,Computational Social Science,,Norwegian Nynorsk,2025-05-31 21:15:56,,
nl,Computational Social Science,Computationele sociale wetenschap,Dutch,2025-05-31 21:15:56,,
ne,Computational Social Science,कम्प्युटेसनल सामाजिक विज्ञान,Nepali,2025-05-31 21:15:56,,
ng,Computational Social Science,,Ndonga,2025-05-31 21:15:56,,
ln,Computational Social Science,Sciences Sociales ya Computational,Lingala,2025-05-31 21:15:56,,
lo,Computational Social Science,ວິທະຍາສາດສັງຄົມຄອມພີວເຕີ,Lao,2025-05-31 21:15:56,,
lt,Computational Social Science,Skaičiavimo socialiniai mokslai,Lithuanian,2025-05-31 21:15:56,,
lu,Computational Social Science,,Luba-Katanga,2025-05-31 21:15:56,,
lv,Computational Social Science,Skaitļošanas sociālā zinātne,Latvian,2025-05-31 21:15:56,,
mg,Computational Social Science,Computational Social Science,Malagasy,2025-05-31 21:15:56,,
mh,Computational Social Science,Computational Social Science,Marshallese,2025-05-31 21:15:56,,
mi,Computational Social Science,Computational Social Science,Māori,2025-05-31 21:15:56,,
ml,Computational Social Science,കമ്പ്യൂട്ടേഷണൽ സോഷ്യൽ സയൻസ്,Malayalam,2025-05-31 21:15:56,,
li,Computational Social Science,Computasjonele sociaal wetensjap,Limburgish,2025-05-31 21:15:56,,
mn,Computational Social Science,Тооцооллын нийгмийн шинжлэх ухаан,Mongolian,2025-05-31 21:15:56,,
mr,Computational Social Science,संगणकीय सामाजिक विज्ञान,Marathi (Marāṭhī),2025-05-31 21:15:56,,
ms,Computational Social Science,Sains Sosial Pengiraan,Malay,2025-05-31 21:15:56,,
mt,Computational Social Science,Xjenza Soċjali tal-Kompjutazzjoni,Maltese,2025-05-31 21:15:56,,
my,Computational Social Science,ကွန်ပြူတာလူမှုရေးသိပ္ပံ,Burmese,2025-05-31 21:15:56,,
na,Computational Social Science,,Nauru,2025-05-31 21:15:56,,
nb,Computational Social Science,Beregningsmessig samfunnsvitenskap,Norwegian Bokmål,2025-05-31 21:15:56,,
nd,Computational Social Science,,North Ndebele,2025-05-31 21:15:56,,
sc,Computational Social Science,,Sardinian,2025-05-31 21:15:56,,
sd,Computational Social Science,ڪمپيوٽيشنل سوشل سائنس,Sindhi,2025-05-31 21:15:56,,
se,Computational Social Science,Rehkenastinservodatdieđa,Northern Sami,2025-05-31 21:15:56,,
tn,Computational Social Science,Saense ya Loago ya Dikhomphiutha,Tswana,2025-05-31 21:15:56,,
tr,Computational Social Science,Hesaplamalı Sosyal Bilimler,Turkish,2025-05-31 21:15:56,,
ts,Computational Social Science,Sayense ya Ntshamisano ya Xibalo,Tsonga,2025-05-31 21:15:56,,
tt,Computational Social Science,Хисаплау социаль фән,Tatar,2025-05-31 21:15:56,,
tw,Computational Social Science,Mfiridwuma mu Asetra mu Nyansahu,Twi,2025-05-31 21:15:56,,
ty,Computational Social Science,Te ihi sotiare o te roro uira,Tahitian,2025-05-31 21:15:56,,
ug,Computational Social Science,ھېسابلاش ئىجتىمائىي پەن,"Uighur, Uyghur",2025-05-31 21:15:56,,
uk,Computational Social Science,Обчислювальна соціальна наука,Ukrainian,2025-05-31 21:15:56,,
ur,Computational Social Science,کمپیوٹیشنل سوشل سائنس,Urdu,2025-05-31 21:15:56,,
