language_code,wikipedia_translated_term,term_source,coding_dh_date
ar,حوسبة العلوم الاجتماعية,Computational Social Science,2025-05-31 21:15:56
de,Computational Social Science,Computational Social Science,2025-05-31 21:15:56
fa,علوم اجتماعی محاسباتی,Computational Social Science,2025-05-31 21:15:56
hu,Számítógépes társadalomtudomány,Computational Social Science,2025-05-31 21:15:56
ja,計算社会科学,Computational Social Science,2025-05-31 21:15:56
pt,Ciência social computacional,Computational Social Science,2025-05-31 21:15:56
tr,Hesaplamalı sosyal bilimler,Computational Social Science,2025-05-31 21:15:56
zh,計算社會科學,Computational Social Science,2025-05-31 21:15:56
zh-yue,運算社會科學,Computational Social Science,2025-05-31 21:15:56
en,computational social science,Computational Social Science,2025-05-31 21:15:56
