language_code,language_name,term_source,enmt_translated_term,wikipedia_translated_term,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,coding_dh_date
aa,Afar,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ab,Abkhaz,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ae,Avestan,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
af,Afrikaans,Digital Cultural Heritage,Digitale Kulturele erfenis,,,,,2025-05-31 21:15:56
ak,Akan,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
am,Amharic,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
an,Aragonese,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ar,Arabic,Digital Cultural Heritage,التراث الثقافي الرقمي,,,,,2025-05-31 21:15:56
as,Assamese,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
av,Avaric,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ay,Aymara,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
az,Azerbaijani,Digital Cultural Heritage,Səxavətli qısqanclıq,,,,,2025-05-31 21:15:56
ba,Bashkir,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
be,Belarusian,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
bg,Bulgarian,Digital Cultural Heritage,ДЪРЖАВНА ДЪРЖАВНА ДЕКЛАРАЦИЯ,,,,,2025-05-31 21:15:56
bh,Bihari,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
bi,Bislama,Digital Cultural Heritage,Wan Kastom We i Hae Moa Long Ol Narafala Kastom,,,,,2025-05-31 21:15:56
bm,Bambara,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
bn,Bengali,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
bo,Tibetan,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
br,Breton,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
bs,Bosnian,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ca,Catalan; Valencian,Digital Cultural Heritage,El patrimoni cultural digital,,,,,2025-05-31 21:15:56
ce,Chechen,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ch,Chamorro,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
co,Corsican,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
cr,Cree,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
cs,Czech,Digital Cultural Heritage,Digitální kulturní dědictví,,,,,2025-05-31 21:15:56
cu,Old Church Slavonic,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
cv,Chuvash,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
cy,Welsh,Digital Cultural Heritage,"Culsching HertagesCity name (optional, probably does not need a translation)",,,,,2025-05-31 21:15:56
da,Danish,Digital Cultural Heritage,Digital kulturarv,,,,,2025-05-31 21:15:56
de,German,Digital Cultural Heritage,Digitales Kulturerbe,,,,,2025-05-31 21:15:56
dv,Divehi; Maldivian;,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
dz,Dzongkha,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ee,Ewe,Digital Cultural Heritage,Digital Dekɔnuwo ƒe Domenyinu,,,,,2025-05-31 21:15:56
el,"Greek, Modern",Digital Cultural Heritage,Ψηφιακή Πολιτιστική Κληρονομιά,,,,,2025-05-31 21:15:56
en,English,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
eo,Esperanto,Digital Cultural Heritage,Cifereca Kultura Li heredaĵo,,,,,2025-05-31 21:15:56
es,Spanish; Castilian,Digital Cultural Heritage,Patrimonio cultural digital,,,,,2025-05-31 21:15:56
et,Estonian,Digital Cultural Heritage,Digitaalne kultuuripärand,,,,,2025-05-31 21:15:56
eu,Basque,Digital Cultural Heritage,Cultural Heritage digitala,,,,,2025-05-31 21:15:56
fa,Persian,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ff,Fula,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
fi,Finnish,Digital Cultural Heritage,Digitaalinen kulttuuriperintö,,,,,2025-05-31 21:15:56
fj,Fijian,Digital Cultural Heritage,iDusidusi ni iTovo Vakavanua,,,,,2025-05-31 21:15:56
fo,Faroese,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
fr,French,Digital Cultural Heritage,Patrimoine culturel numérique,,,,,2025-05-31 21:15:56
fy,Western Frisian,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ga,Irish,Digital Cultural Heritage,Oidhreacht Chultúrtha Dhigiteach,,,,,2025-05-31 21:15:56
gd,Scottish Gaelic,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
gl,Galician,Digital Cultural Heritage,Drone dixital@ label: listbox KDE distribution method,,,,,2025-05-31 21:15:56
gn,Guaraní,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
gu,Gujarati,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
gv,Manx,Digital Cultural Heritage,Infrajiarg stuirrey foaddey,,,,,2025-05-31 21:15:56
ha,Hausa,Digital Cultural Heritage,KCharselect unicode block name,,,,,2025-05-31 21:15:56
he,Hebrew (modern),Digital Cultural Heritage,מורשת תרבותית דיגיטלית,,,,,2025-05-31 21:15:56
hi,Hindi,Digital Cultural Heritage,डिजिटल सांस्कृतिक विरासत,,,,,2025-05-31 21:15:56
ho,Hiri Motu,Digital Cultural Heritage,Haroro Gaukara ai Ahuna Namona Oi Abia,,,,,2025-05-31 21:15:56
hr,Croatian,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ht,Haitian,Digital Cultural Heritage,YON eritaj ki pa gen okenn valè,,,,,2025-05-31 21:15:56
hu,Hungarian,Digital Cultural Heritage,Digitális kulturális örökség,,,,,2025-05-31 21:15:56
hy,Armenian,Digital Cultural Heritage,Տեղեկություն փաստաթղթի մասին,,,,,2025-05-31 21:15:56
hz,Herero,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ia,Interlingua,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
id,Indonesian,Digital Cultural Heritage,Warisan Budaya Digital,,,,,2025-05-31 21:15:56
ie,Interlingue,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ig,Igbo,Digital Cultural Heritage,Ihe Nketa nke Ọdịbendị,,,,,2025-05-31 21:15:56
ii,Nuosu,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ik,Inupiaq,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
io,Ido,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
is,Icelandic,Digital Cultural Heritage,Digital menningararfleifð,,,,,2025-05-31 21:15:56
it,Italian,Digital Cultural Heritage,Patrimonio culturale digitale,,,,,2025-05-31 21:15:56
iu,Inuktitut,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ja,Japanese,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
jv,Javanese,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ka,Georgian,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
kg,Kongo,Digital Cultural Heritage,Kimvwama Mosi ya Mfunu Mingi,,,,,2025-05-31 21:15:56
ki,"Kikuyu, Gikuyu",Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
kj,"Kwanyama, Kuanyama",Digital Cultural Heritage,Osho otashi ulike kutya opa li pa ningwa okuhaudafana pokati ketu navamwe,,,,,2025-05-31 21:15:56
kk,Kazakh,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
kl,Kalaallisut,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
km,Khmer,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
kn,Kannada,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ko,Korean,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
kr,Kanuri,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ks,Kashmiri,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ku,Kurdish,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
kv,Komi,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
kw,Cornish,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ky,"Kirghiz, Kyrgyz",Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
la,Latin,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
lb,Luxembourgish,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
lg,Luganda,Digital Cultural Heritage,OKUWEEREZA NGA PAYONIYA,,,,,2025-05-31 21:15:56
li,Limburgish,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ln,Lingala,Digital Cultural Heritage,Libula ya biloko ya kala,,,,,2025-05-31 21:15:56
lo,Lao,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
lt,Lithuanian,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
lu,Luba-Katanga,Digital Cultural Heritage,[ Kunshi kwa dyani],,,,,2025-05-31 21:15:56
lv,Latvian,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
mg,Malagasy,Digital Cultural Heritage,Lova ara-kolontsaina nomerika,,,,,2025-05-31 21:15:56
mh,Marshallese,Digital Cultural Heritage,(Jabõn Kennan Ko 18: 1) Ri kijirãt ro an Jehovah Rej Aikwij Kwalok Nan ilo Jikin Jerbal ko Air,,,,,2025-05-31 21:15:56
mi,Māori,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
mk,Macedonian,Digital Cultural Heritage,Дигитално културно наследство,,,,,2025-05-31 21:15:56
ml,Malayalam,Digital Cultural Heritage,ഡിജിറ്റൽ സാംസ്കാരിക പൈതൃകം,,,,,2025-05-31 21:15:56
mn,Mongolian,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
mr,Marathi (Marāṭhī),Digital Cultural Heritage,नवी भाषा शिकण्याचा तुमचा निर्धार आणखी पक्का झाला आहे का?,,,,,2025-05-31 21:15:56
ms,Malay,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
mt,Maltese,Digital Cultural Heritage,Il-Wirt Kulturali Diġitali,,,,,2025-05-31 21:15:56
my,Burmese,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
na,Nauru,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
nb,Norwegian Bokmål,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
nd,North Ndebele,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ne,Nepali,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
ng,Ndonga,Digital Cultural Heritage,OMAPULO NGOKA HAGA PULWA OLUNDJI,,,,,2025-05-31 21:15:56
nl,Dutch,Digital Cultural Heritage,Digital Cultureel Erfgoed,,,,,2025-05-31 21:15:56
nn,Norwegian Nynorsk,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
no,Norwegian,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
nr,South Ndebele,Digital Cultural Heritage,,,,,,2025-05-31 21:15:56
