language_code,term_source,gt_translated_term,language_name,coding_dh_date,wikipedia_translated_term,exclude_google_cloud_translate
aa,Digital Cultural Heritage,Xiyitaal qaadah daaran,Afar,2025-05-31 21:15:56,,
pa,Digital Cultural Heritage,ਡਿਜੀਟਲ ਸੱਭਿਆਚਾਰਕ ਵਿਰਾਸਤ,"Panjabi, Punjabi",2025-05-31 21:15:56,,
sa,Digital Cultural Heritage,डिजिटल सांस्कृतिक धरोहर,Sanskrit (Saṁskṛta),2025-05-31 21:15:56,,
nr,Digital Cultural Heritage,Igugu lamasiko ledijithali,South Ndebele,2025-05-31 21:15:56,,
nv,Digital Cultural Heritage,,"Navajo, Navaho",2025-05-31 21:15:56,,
ny,Digital Cultural Heritage,Digital Cultural Heritage,Chichewa; Chewa; Nyanja,2025-05-31 21:15:56,,
oc,Digital Cultural Heritage,Patrimòni Cultural Numeric,Occitan,2025-05-31 21:15:56,,
oj,Digital Cultural Heritage,,"Ojibwe, Ojibwa",2025-05-31 21:15:56,,
om,Digital Cultural Heritage,Hambaa Aadaa Dijitaalaa,Oromo,2025-05-31 21:15:56,,
or,Digital Cultural Heritage,ଡିଜିଟାଲ୍ ସାଂସ୍କୃତିକ ଐତିହ୍ୟ,Oriya,2025-05-31 21:15:56,,
os,Digital Cultural Heritage,Нымæцон культурон бынтæ,"Ossetian, Ossetic",2025-05-31 21:15:56,,
pl,Digital Cultural Heritage,Cyfrowe Dziedzictwo Kulturowe,Polish,2025-05-31 21:15:56,,
pi,Digital Cultural Heritage,,Pāli,2025-05-31 21:15:56,,
lg,Digital Cultural Heritage,Obusika bw&#39;obuwangwa obwa digito,Luganda,2025-05-31 21:15:56,,
ps,Digital Cultural Heritage,ډیجیټل کلتوري میراث,"Pashto, Pushto",2025-05-31 21:15:56,,
pt,Digital Cultural Heritage,Patrimônio Cultural Digital,Portuguese,2025-05-31 21:15:56,,
qu,Digital Cultural Heritage,Patrimonio Cultural Digital nisqa,Quechua,2025-05-31 21:15:56,,
rm,Digital Cultural Heritage,,Romansh,2025-05-31 21:15:56,,
