language_code,term_source,ollama_translated_term,language_name,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_extracted_dictionaries,ollama_translation,coding_dh_date
ab,Digital Cultural Heritage,,Abkhaz,"{'translated_term': 'ადიჯიტალ კულთური', 'translation_rationale': 
'The term ""Digital Cultural Heritage"" can be translated to Abkhaz as ""ადიჯიტალ კულთური"". The word ""ადიჯიტალ"" is derived from the words ""ადიჟი"" meaning ""digital"" and ""ტალ"" which is a suffix indicating something that refers to or belongs to something. This translation maintains the core concept of digital preservation and transmission of cultural heritage, while incorporating Abkhaz linguistic elements.}'",llama3.2,2025-02-27T22:09:02.615045Z,3404296125.0,23439834.0,166.0,191000000.0,181.0,3188000000.0,stop,[],,2025-05-31 21:15:56
ng,Digital Cultural Heritage,Oshikopo Ondonga Omuntu,Ndonga,"{'translated_term': 'Oshikopo Ondonga Omuntu', 'translation_rationale': 'This term combines Ndonga words to convey the concept of digital cultural heritage, where ""oshikopo"" means ""digital"", ""ondonga"" refers to the cultural aspect of Namibia, and ""omuntu"" means ""people"" or ""nation"". The term aims to acknowledge the importance of digital preservation for Namibian culture.', 'alternative_terms': ['Ondonga Oshikopo', 'Omuntu Omushongo Oshikopo']}",llama3.2,2025-05-15T20:03:03.714098Z,1172518166.0,30093583.0,122.0,85429542.0,114.0,1055766541.0,stop,"[{'translated_term': 'Oshikopo Ondonga Omuntu', 'translation_rationale': 'This term combines Ndonga words to convey the concept of digital cultural heritage, where ""oshikopo"" means ""digital"", ""ondonga"" refers to the cultural aspect of Namibia, and ""omuntu"" means ""people"" or ""nation"". The term aims to acknowledge the importance of digital preservation for Namibian culture.', 'alternative_terms': ['Ondonga Oshikopo', 'Omuntu Omushongo Oshikopo']}]",Oshikopo Ondonga Omuntu,2025-05-31 21:15:56
mi,Digital Cultural Heritage,Kapa Haka Digitali,Māori,"{'translated_term': 'Kapa Haka Digitali', 'translation_rationale': 'Kapa Haka is a traditional Māori performing art form that showcases cultural heritage, and by adding ""Digitali"" it acknowledges the digital aspect of this concept. However, an alternative translation could be \'Whakapapa Tīnauenga\', which combines the Māori words for ""ancestry"" (whakapapa) and ""digital"" (tīnauenga).'}",llama3.2,2025-05-15T20:02:24.546646Z,966255250.0,27806666.0,122.0,73086167.0,101.0,864585291.0,stop,"[{'translated_term': 'Kapa Haka Digitali', 'translation_rationale': 'Kapa Haka is a traditional Māori performing art form that showcases cultural heritage, and by adding ""Digitali"" it acknowledges the digital aspect of this concept. However, an alternative translation could be \'Whakapapa Tīnauenga\', which combines the Māori words for ""ancestry"" (whakapapa) and ""digital"" (tīnauenga).'}]",Kapa Haka Digitali,2025-05-31 21:15:56
mk,Digital Cultural Heritage,Макящнско \.uniслузтиренско \.uniи \u00bcтамелсяти Аци,Macedonian,"{'translated_term': '\u041c\u0430\u043a\u044f\u0449\u043d\u0441\u043a\u043e \.uni\u0441\u043b\u0443\u0437\u0442\u0438\u0440\u0435\u043d\u0441\u043a\u043e \.uni\u0438 \\u00bcт\u0430\u043c\u0435\u043b\u0441\u044f\u0442\u0438 \u0410\u0446\u0438', 
'translation_rationale': 'The term ""Digital Cultural Heritage"" is translated to Macedonian as ""Наканско културно наследство"", which emphasizes the digital aspect. However, considering the suggestions from Google Translate API and Wikipedia page, I chose a more literal translation of ""Средствата за дигитална култура"" or ""Медии за дигитална култура"". This translation highlights the means or tools used for cultural heritage in the digital realm. Alternatively, using a more formal tone, \u041d\u0430\u0441\u043b\u0435\u0439 \u0412\u0430\u0440\u0438\u0442\u043a\u043e \.uni\u0441\u043b\u0448\u044a \.uni\u0438 \\u00bcт\u0430м\u043e\u043d\u0431\u0435 \.uni\u0441\u043b\u0443\u0442\u0440\u044f \.uni\u0441\u043b\u0446\u0430 \.uni\u043e \.uni\u0441\u043b\u0448\u044a \.uni\u0430 \.uni\u0441\u043b\u0448\u044c\u0435, which means ""The tools of cultural heritage in the digital field"".', 
'alternatives': ['\u041f\u0457\u043d\u0430\u0449\u043e \.uni\u0441\u043b\u0443\u0447\u044e \.uni\u0441\u043b\u0448\u044c \.uni\u0438 \\u00bcт\u0430м\u043e\u043d\u0431\u0435 \.uni\u0441\u043b\u0446\u0430', 'Средствата за кулtura на ниво дигитално']}",llama3.2,2025-02-27T22:23:37.818326Z,5797584167.0,27809500.0,174.0,131000000.0,523.0,5636000000.0,stop,[],,2025-05-31 21:15:56
ml,Digital Cultural Heritage,ൊගම ஢ிு௕ க௧,Malayalam,"{'translated_term': '\u0d4a\u0d9c\u0db8 \u0ba2\u0bbf\u0bc1\u0bd5 \u0b95\u0be7', 'translation_rationale': 'Digital Cultural Heritage in Malayalam is a combination of \u0d4a (Digital), \u0db8 (Cultural), \u0ba2 (Heritage) and \u0bbf\u0bc1\u0bd5 (Heritage). Using \u0b95 (Dhanyathinam) instead of \u0ba2 for heritage is more idiomatic in Malayalam.', 'alternatives': ['\u0d4a \u0db8 \u0ba3\u0b9f \u0bc1\u0bd5', '\u0d4a \u0db8 \u0ba2 \u0be7']}",llama3.2,2025-05-15T20:02:22.550753Z,1816998583.0,28398250.0,120.0,76707167.0,197.0,1710706667.0,stop,"[{'translated_term': 'ൊගම \u0ba2ிு\u0bd5 க௧', 'translation_rationale': 'Digital Cultural Heritage in Malayalam is a combination of ൊ (Digital), ම (Cultural), \u0ba2 (Heritage) and ிு\u0bd5 (Heritage). Using க (Dhanyathinam) instead of \u0ba2 for heritage is more idiomatic in Malayalam.', 'alternatives': ['ൊ ම ணட ு\u0bd5', 'ൊ ම \u0ba2 ௧']}]",ൊගම ஢ிு௕ க௧,2025-05-31 21:15:56
mn,Digital Cultural Heritage,кфавялсул \sвирийя вахю,Mongolian,"{'translated_term': '\u043a\u0444\u0430\u0432\u044f\u043b\u0441\u0443\u043b \s\u0432\u0438\u0440\u0438\u0439\u044f \u0432\u0430\u0445\u044e', 'translation_rationale': 'The term ""Дижитал соёолын өв"" by Google Translate suggests a literal translation of ""Digital Cultural Heritage"", but in Mongolian culture, """" (kharav) refers to knowledge and wisdom. To make it more accurate, I used \u043a\u0444\u0430\u0432\u044f\u043b\u0441\u0443\u043b \s\u0432\u0438\u0441\u0438\u0439\u044a (khavarasulyin ov), which means ""cultural heritage"" or ""knowledge-based culture"".', 'alternatives': ['\u043a\u0444\u0430\u0432\u044f\u043b\u0441\u0443\u043b \s\u0445\u044f\u043d \u0440\u044e\u0436\u044f\u043d', '\u043a\u0444\u0430\u0432\u044a\u0449 \u0437\u0443\u044f\u043b', 'khavarasulyin ov']}

Note: 

- \u043a\u0444\u0430\u0432\u044f\u043b\u0441\u0443\u043b (khavarasul) is a Mongolian loanword derived from Arabic ""khabar"", meaning knowledge or information.
- \s\u0432\u0438\u0441\u0438\u0439\u044a (visiliin) means cultural, and \u043e\u0432 (ov) means heritage or property.

This translation aims to convey the concept of digital cultural heritage in a way that is culturally sensitive to Mongolian traditions.",llama3.2,2025-02-27T22:24:20.951769Z,4693334750.0,27332542.0,156.0,21000000.0,427.0,4642000000.0,stop,"[{'translated_term': 'кфавялсул \\sвирийя вахю', 'translation_rationale': 'The term ""Дижитал соёолын өв"" by Google Translate suggests a literal translation of ""Digital Cultural Heritage"", but in Mongolian culture, """" (kharav) refers to knowledge and wisdom. To make it more accurate, I used кфавялсул \\sвисийъ (khavarasulyin ov), which means ""cultural heritage"" or ""knowledge-based culture"".', 'alternatives': ['кфавялсул \\sхян рюжян', 'кфавъщ зуял', 'khavarasulyin ov']}]",кфавялсул \sвирийя вахю,2025-05-31 21:15:56
ms,Digital Cultural Heritage,Warisan Budaya Digital,Malay,"{'translated_term': 'Warisan Budaya Digital', 'translation_rationale': 'The translation ""Warisan Budaya Digital"" is a direct equivalent of the term ""Digital Cultural Heritage"". It combines the Malay words for ""heritage"" (warisan) and ""culture"" (budaya), with the prefix ""digital"" to indicate its digital nature. Alternative translations could be ""Cultural Asset Digital"", but this one sounds less natural in Malay.', 'alternative_translations': ['Aset Budaya Digital', 'Majlis Warisan Budaya Digital']}",llama3.2,2025-05-15T20:02:19.711188Z,1168200292.0,30749375.0,118.0,79649000.0,114.0,1056929625.0,stop,"[{'translated_term': 'Warisan Budaya Digital', 'translation_rationale': 'The translation ""Warisan Budaya Digital"" is a direct equivalent of the term ""Digital Cultural Heritage"". It combines the Malay words for ""heritage"" (warisan) and ""culture"" (budaya), with the prefix ""digital"" to indicate its digital nature. Alternative translations could be ""Cultural Asset Digital"", but this one sounds less natural in Malay.', 'alternative_translations': ['Aset Budaya Digital', 'Majlis Warisan Budaya Digital']}]",Warisan Budaya Digital,2025-05-31 21:15:56
mt,Digital Cultural Heritage,Wirt Kulturali Digitali,Maltese,"{'translated_term': 'Wirt Kulturali Digitali', 
 'translation_rationale': 'I used ""Wirt Kulturali"" which is a compound word of ""wirt"" meaning ""cultural"" and ""kulturali"" meaning ""cultural"", to maintain the core concept of cultural heritage. I replaced ""-li"" with ""-Digitali"" to clearly indicate the digital aspect, making it clear that this refers to digital cultural heritage. The term is more straightforward and modern in Maltese, conveying a precise meaning.'}",llama3.2,2025-02-27T22:23:56.397582Z,1308205333.0,27321875.0,156.0,100000000.0,111.0,1178000000.0,stop,[],,2025-05-31 21:15:56
na,Digital Cultural Heritage,Naoero Naoa Te Eri,Nauru,"{'translated_term': 'Naoero Naoa Te Eri', 'translation_rationale': 'Digital Cultural Heritage can be literally translated to ""Digital Culture of our people"". In Nauru, we use ""naoero"" (meaning ""culture"") and ""naoa"" (meaning ""our""), which are common prefixes used in Nauruan language. The suffix ""-te"" is a possessive marker indicating ownership or belonging. Adding ""Eri"" at the end emphasizes the digital aspect, making it a more accurate representation of the concept.', 'alternative_translation': 'Naoero Tekereketi (digital culture) + Te Eri (of our people)'}

Note: Nauru language has a complex grammar system and limited vocabulary, which makes translations nuanced. The suggested translation ""Naoero Naoa Te Eri"" aims to convey the idea of digital cultural heritage in a way that is both accurate and idiomatic in the Nauruan language.",llama3.2,2025-02-27T22:24:23.842376Z,1872325708.0,23995583.0,122.0,87000000.0,198.0,1759000000.0,stop,"[{'translated_term': 'Naoero Naoa Te Eri', 'translation_rationale': 'Digital Cultural Heritage can be literally translated to ""Digital Culture of our people"". In Nauru, we use ""naoero"" (meaning ""culture"") and ""naoa"" (meaning ""our""), which are common prefixes used in Nauruan language. The suffix ""-te"" is a possessive marker indicating ownership or belonging. Adding ""Eri"" at the end emphasizes the digital aspect, making it a more accurate representation of the concept.', 'alternative_translation': 'Naoero Tekereketi (digital culture) + Te Eri (of our people)'}]",Naoero Naoa Te Eri,2025-05-31 21:15:56
nb,Digital Cultural Heritage,Digital kulturarv,Norwegian Bokmål,"{'translated_term': 'Digital kulturarv', 'translation_rationale': 'I used ""Digital kulturarv"" directly from Google Translate, but a more nuanced translation could be ""Digital kulturminne"" or ""Digital arvsverket"", which better convey the idea of cultural heritage as a preserved and managed entity. However, ""Digital kulturarv"" is widely recognized and understood in Norwegian, making it a suitable choice.'}",llama3.2,2025-02-27T22:24:59.913397Z,813597583.0,27303708.0,155.0,21000000.0,92.0,763000000.0,stop,"[{'translated_term': 'Digital kulturarv', 'translation_rationale': 'I used ""Digital kulturarv"" directly from Google Translate, but a more nuanced translation could be ""Digital kulturminne"" or ""Digital arvsverket"", which better convey the idea of cultural heritage as a preserved and managed entity. However, ""Digital kulturarv"" is widely recognized and understood in Norwegian, making it a suitable choice.'}]",Digital kulturarv,2025-05-31 21:15:56
