language_code,wikipedia_translated_term,term_source,coding_dh_date
ar,التاريخ الرقمي,Digital History,2025-05-15 17:23:38
de,Historische Fachinformatik,Digital History,2025-05-15 17:23:38
es,Historia digital,Digital History,2025-05-15 17:23:38
fa,تاریخ دیجیتال,Digital History,2025-05-15 17:23:38
fr,Histoire numérique,Digital History,2025-05-15 17:23:38
it,Storia digitale,Digital History,2025-05-15 17:23:38
pl,Historia cyfrowa,Digital History,2025-05-15 17:23:38
ps,برېښنایي تاریخ,Digital History,2025-05-15 17:23:38
pt,História digital,Digital History,2025-05-15 17:23:38
ru,Цифровая история,Digital History,2025-05-15 17:23:38
zh,數位史學,Digital History,2025-05-15 17:23:38
en,Digital history,Digital History,2025-05-15 17:23:38
