"language_code","language_name","term_source","enmt_translated_term","term","wikipedia_translated_term","coding_dh_date","exclude_google_cloud_translate","gt_translated_term","exclude_easynmt","family_name"
"pnb","Punjabi (Western)","Digital Humanities","","","","2026-06-15 11:47:15","","","",""
"tnr","tnr","Digital Humanities","","","","2026-05-11 08:47:43","","","",""
"mhn","mhn","Digital Humanities","","","","2026-05-11 08:47:43","","","",""
"knf","knf","Digital Humanities","","","","2026-05-11 08:47:43","","","",""
"grr","grr","Digital Humanities","","","","2026-05-11 08:47:43","","","",""
"ccr","ccr","Digital Humanities","","","","2026-05-11 08:47:43","","","",""
"bjt","bjt","Digital Humanities","","","","2026-05-11 08:47:43","","","",""
"bsc","bsc","Digital Humanities","","","","2026-05-11 08:47:43","","","",""
"kro","kro","Digital Humanities","","","","2026-05-11 08:47:43","","","",""
"knn","knn","Digital Humanities","","","","2026-05-11 08:47:43","","","",""
"bsq","bsq","Digital Humanities","","","","2026-05-11 08:47:43","","","",""
"lld","lld","Digital Humanities","","","","2026-05-11 08:47:43","","","",""
"stu","stu","Digital Humanities","","","","2026-05-11 08:47:43","","","",""
"apd","apd","Digital Humanities","","","","2026-05-11 08:47:43","","","",""
"mey","mey","Digital Humanities","","","","2026-05-11 08:47:43","","","",""
"len","len","Digital Humanities","","","","2026-05-11 08:47:43","","","",""
"mfv","mfv","Digital Humanities","","","","2026-05-11 08:47:43","","","",""
"mww","mww","Digital Humanities","","","","2026-05-11 08:47:43","","","",""
"suz","suz","Digital Humanities","","","","2026-05-11 08:47:43","","","",""
"snf","snf","Digital Humanities","","","","2026-05-11 08:47:43","","","",""
"ppl","ppl","Digital Humanities","","","","2026-05-11 08:47:43","","","",""
"mzb","mzb","Digital Humanities","","","","2026-05-11 08:47:43","","","",""
"nah","Nahuatl","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","North American Indian languages"
"ang","Anglo-Saxon / Old English","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Indo-European languages"
"hu","Hungarian","Digital Humanities","Digitális bölcsészettudományok","","","2026-04-19 16:24:26","","","","Uralic languages"
"sel","Selkup","Digital Humanities","","","","2026-04-19 16:24:26","","","","Uralic languages"
"cic","Chickasaw","Digital Humanities","","","","2026-04-19 16:24:26","","","","North American Indian languages"
"gsw","Swiss German","Digital Humanities","","","","2026-04-19 16:24:26","","","","Indo-European languages"
"sg","Sango","Digital Humanities","Gi ti duti na aye mingi ape na yâ ti fini ti mo","","","2026-04-19 16:24:26","","","","Nilo-Saharan languages"
"crg","Michif","Digital Humanities","","","","2026-04-19 16:24:26","","","","North American Indian languages"
"mt","Maltese","Digital Humanities","L-istudji umanistiċi diġitali","","","2026-04-19 16:24:26","","","","Afro-Asiatic languages"
"cja","Western Cham","Digital Humanities","","","","2026-04-19 16:24:26","","","","Austronesian languages"
"bss","Akoose","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"ab","Abkhaz","Digital Humanities","","","","2026-04-19 16:24:26","False","Ацифратә гуманитартә ҵарақәа","True","Caucasian languages"
"jbo","Lojban","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Artificial languages"
"bto","Rinconada Bikol","Digital Humanities","","","","2026-04-19 16:24:26","","","","Austronesian languages"
"ht","Haitian","Digital Humanities","Reflechi sou fason lèzòm pral viv","","","2026-04-19 16:24:26","","","","Indo-European languages"
"bra","Braj","Digital Humanities","","","","2026-04-19 16:24:26","","","","Indo-European languages"
"tsj","Tshangla","Digital Humanities","","","","2026-04-19 16:24:26","","","","Sino-Tibetan languages"
"kbl","Kanembu","Digital Humanities","","","","2026-04-19 16:24:26","","","","Nilo-Saharan languages"
"gv","Manx","Digital Humanities","Aghtyn mair-chlaa","","","2026-04-19 16:24:26","","","","Indo-European languages"
"ig","Igbo","Digital Humanities","Ihe Ùgwù Ụmụ Mmadụ","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"ckt","Chukot","Digital Humanities","","","","2026-04-19 16:24:26","","","","Chukotko-Kamchatkan languages"
"bla","Siksiká","Digital Humanities","","","","2026-04-19 16:24:26","","","","North American Indian languages"
"to","Tonga","Digital Humanities","Ngaahi Anga'itangata "" o e Fa'ahinga "" o e Tangatá","","","2026-04-19 16:24:26","","","","Austronesian languages"
"or","Oriya","Digital Humanities","","","","2026-04-19 16:24:26","False","ଡିଜିଟାଲ୍ ମାନବିକତା","True","Indo-European languages"
"bar","Bavarian","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Indo-European languages"
"ae","Avestan","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Indo-European languages"
"bua","Buriat","Digital Humanities","","","","2026-04-19 16:24:26","","","","Altaic languages"
"kcg","Tyap","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"rw","Kinyarwanda","Digital Humanities","Ubwoko bw'Abantu","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"ce","Chechen","Digital Humanities","","","","2026-04-19 16:24:26","False","Терахьийн гуманитаран Ӏилманаш","True","Caucasian languages"
"bat-smg","Samogitian","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Indo-European languages"
"gan","Gan Chinese","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Sino-Tibetan languages"
"gu","Gujarati","Digital Humanities","","","","2026-04-19 16:24:26","False","ડિજિટલ હ્યુમેનિટીઝ","True","Indo-European languages"
"am","Amharic","Digital Humanities","","","","2026-04-19 16:24:26","False","ዲጂታል ሂውማኒቲስ","True","Afro-Asiatic languages"
"fon","Fon","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"ny","Chichewa; Chewa; Nyanja","Digital Humanities","Digital Humans","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"sv","Swedish","Digital Humanities","Digital humaniora","","","2026-04-19 16:24:26","","","","Indo-European languages"
"an","Aragonese","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Indo-European languages"
"ur","Urdu","Digital Humanities","انسانی کمزوریوں کی وجہ سے","","","2026-04-19 16:24:26","","","","Indo-European languages"
"csb","Kashubian","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Indo-European languages"
"hno","Northern Hindko","Digital Humanities","","","","2026-04-19 16:24:26","","","","Indo-European languages"
"chb","Chibcha","Digital Humanities","","","","2026-04-19 16:24:26","","","","Central American Indian languages"
"sw","Swahili","Digital Humanities","Viasili vya Kielektroni","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"zh","Chinese","Digital Humanities","数字人文","","","2026-04-19 16:24:26","","","","Sino-Tibetan languages"
"chg","Chagatai","Digital Humanities","","","","2026-04-19 16:24:26","","","","Altaic languages"
"arz","Egyptian Arabic","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Afro-Asiatic languages"
"lzh","Literary Chinese","Digital Humanities","","","","2026-04-19 16:24:26","","","","Sino-Tibetan languages"
"ak","Akan","Digital Humanities","","","","2026-04-19 16:24:26","False","Digitals Nnipa Ho Adesua","True","Niger-Kordofanian languages"
"ljp","Lampung Api","Digital Humanities","","","","2026-04-19 16:24:26","","","","Austronesian languages"
"bze","Jenaama Bozo","Digital Humanities","","","","2026-04-19 16:24:26","","","","Nilo-Saharan languages"
"clc","Chilcotin","Digital Humanities","","","","2026-04-19 16:24:26","","","","North American Indian languages"
"cop","Coptic","Digital Humanities","","","","2026-04-19 16:24:26","","","","Afro-Asiatic languages"
"ng","Ndonga","Digital Humanities","Omithikampango dhaantu odha li hadhi ningitha aantu ya kale ye na ekwatathano ewanawa","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"diq","Dimli","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Indo-European languages"
"bci","Baoulé","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"ar","Arabic","Digital Humanities","العلوم البشرية","","","2026-04-19 16:24:26","","","","Afro-Asiatic languages"
"so","Somali","Digital Humanities","","","","2026-04-19 16:24:26","False","Bani&#39;aadamnimada Dijital ah","True","Afro-Asiatic languages"
"dyo","Jola-Fonyi","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"tokipona","tokipona","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Artificial languages"
"vec","Venetian","Digital Humanities","","","","2026-04-19 16:24:26","False","Siense umane digitałi","True","Indo-European languages"
"ada","Adangme","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"hz","Herero","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Niger-Kordofanian languages"
"xal","Kalmyk","Digital Humanities","","","","2026-04-19 16:24:26","True","","True","Altaic languages"
"zh-yue","Cantonese","Digital Humanities","","","","2026-04-19 16:24:26","False","數碼人文","True","Sino-Tibetan languages"
"cgg","Chiga","Digital Humanities","","","","2026-04-19 16:24:26","","","","Niger-Kordofanian languages"
"frs","Eastern Frisian","Digital Humanities","","","","2026-04-19 16:24:26","","","","Indo-European languages"
"chm","Mari","Digital Humanities","","","","2026-04-19 16:24:26","","","","Uralic languages"
