language_code,language_name,term_source,lingvanex_translated_term,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,family_name
len,len,Digital Humanities,,,,2026-05-11 08:48:09,,,,,,
lld,lld,Digital Humanities,,,,2026-05-11 08:48:09,,,,,,
as,Assamese,Digital Humanities,,,,2026-05-11 08:48:09,,,,,,
knn,knn,Digital Humanities,,,,2026-05-11 08:48:09,,,,,,
bjt,bjt,Digital Humanities,,,,2026-05-11 08:48:09,,,,,,
bsc,bsc,Digital Humanities,,,,2026-05-11 08:48:09,,,,,,
bsq,bsq,Digital Humanities,,,,2026-05-11 08:48:09,,,,,,
ccr,ccr,Digital Humanities,,,,2026-05-11 08:48:09,,,,,,
grr,grr,Digital Humanities,,,,2026-05-11 08:48:09,,,,,,
knf,knf,Digital Humanities,,,,2026-05-11 08:48:09,,,,,,
tnr,tnr,Digital Humanities,,,,2026-05-11 08:48:09,,,,,,
mzb,mzb,Digital Humanities,,,,2026-05-11 08:48:09,,,,,,
snf,snf,Digital Humanities,,,,2026-05-11 08:48:09,,,,,,
mey,mey,Digital Humanities,,,,2026-05-11 08:48:09,,,,,,
kro,kro,Digital Humanities,,,,2026-05-11 08:48:09,,,,,,
apd,apd,Digital Humanities,,,,2026-05-11 08:48:09,,,,,,
suz,suz,Digital Humanities,,,,2026-05-11 08:48:09,,,,,,
stu,stu,Digital Humanities,,,,2026-05-11 08:48:09,,,,,,
ppl,ppl,Digital Humanities,,,,2026-05-11 08:48:09,,,,,,
mww,mww,Digital Humanities,,,,2026-05-11 08:48:09,,,,,,
mhn,mhn,Digital Humanities,,,,2026-05-11 08:48:09,,,,,,
mfv,mfv,Digital Humanities,,,,2026-05-11 08:48:09,,,,,,
id,Indonesian,Digital Humanities,Digital Humaniora,,,2026-04-19 16:24:50,,,,,,Austronesian languages
hu,Hungarian,Digital Humanities,Digitális Bölcsészet,,,2026-04-19 16:24:50,,,,,,Uralic languages
oka,Okanagan,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,North American Indian languages
he,Hebrew (modern),Digital Humanities,מדעי הרוח הדיגיטליים,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
chr,Cherokee,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,North American Indian languages
tet,Tetum,Digital Humanities,,,,2026-04-19 16:24:50,False,Umanidade Dijitál,True,,True,Austronesian languages
bhi,Bhilali,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
ig,Igbo,Digital Humanities,Digital Humanities,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
ain,Ainu,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Language isolate
te,Telugu,Digital Humanities,డిజిటల్ హ్యుమానిటీస్,,,2026-04-19 16:24:50,,,,,,Dravidian languages
lki,Laki,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
sw,Swahili,Digital Humanities,Binadamu Dijiti,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
nb,Norwegian Bokmål,Digital Humanities,,,,2026-04-19 16:24:50,False,Digital humaniora,True,,True,Indo-European languages
bss,Akoose,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
wal,Wolaytta,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Afro-Asiatic languages
kpe,Kpelle,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
ss,Swati,Digital Humanities,,,,2026-04-19 16:24:50,False,Tifundvo Tebantfu Tedijithali,False,Imibono Lemayelana Nendzawo Tabantfu,True,Niger-Kordofanian languages
gbm,Garhwali,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Indo-European languages
bra,Braj,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
kri,Krio,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Creoles and pidgins
naq,Nama,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Khoisan languages
brx,Boro,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Indo-European languages
eu,Basque,Digital Humanities,Humanitate Digitalak,,,2026-04-19 16:24:50,,,,,,Basque (family)
blt,Tai Dam,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Tai languages
chy,Cheyenne,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,North American Indian languages
fro,Old French,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
io,Ido,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Artificial languages
ku,Kurdish,Digital Humanities,Humanities dîjîtal,,,2026-04-19 16:24:50,,,,,,Indo-European languages
jv,Javanese,Digital Humanities,Kamanungsan Digital,,,2026-04-19 16:24:50,,,,,,Austronesian languages
gan,Gan Chinese,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Sino-Tibetan languages
fiu-vro,Võro,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Uralic languages
st,Southern Sotho,Digital Humanities,Digital Humanities,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
xh,Xhosa,Digital Humanities,Ubuntu beDijithali,,,2026-04-19 16:24:50,,,,,,Niger-Kordofanian languages
gv,Manx,Digital Humanities,,,,2026-04-19 16:24:50,False,Dooinney Digitagh,False,Aghtyn mair-chlaa,True,Indo-European languages
jbo,Lojban,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Artificial languages
fur,Friulian,Digital Humanities,,,,2026-04-19 16:24:50,False,Lis siencis umanis digjitâls,True,,True,Indo-European languages
kv,Komi,Digital Humanities,,,,2026-04-19 16:24:50,False,Цифрӧвӧй гуманитарнӧй наукаяс,True,,True,Uralic languages
kfy,Kumaoni,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Indo-European languages
bpy,Bishnupriya Manipuri,Digital Humanities,,,,2026-04-19 16:24:50,True,,True,,True,Indo-European languages
tsg,Tausug,Digital Humanities,,,,2026-04-19 16:24:50,,,,,,Austronesian languages
