language_code,wikipedia_translated_term,term_source,coding_dh_date,family_name
ar,إنسانيات رقمية,Digital Humanities,2026-04-18 19:13:11,Afro-Asiatic languages
az,Rəqəmsal humanitar elmlər,Digital Humanities,2026-04-18 19:13:11,Altaic languages
ca,Humanitats digitals,Digital Humanities,2026-04-18 19:13:11,Indo-European languages
cs,Digitální humanitní vědy,Digital Humanities,2026-04-18 19:13:11,Indo-European languages
cy,Dyniaethau digidol,Digital Humanities,2026-04-18 19:13:11,Indo-European languages
de,Digital Humanities,Digital Humanities,2026-04-18 19:13:11,Indo-European languages
el,Ψηφιακές Ανθρωπιστικές Επιστήμες,Digital Humanities,2026-04-18 19:13:11,Indo-European languages
es,Humanidades digitales,Digital Humanities,2026-04-18 19:13:11,Indo-European languages
et,Digihumanitaaria,Digital Humanities,2026-04-18 19:13:11,Uralic languages
eu,Humanitate digitalak,Digital Humanities,2026-04-18 19:13:11,Basque (family)
fa,علوم انسانی دیجیتال,Digital Humanities,2026-04-18 19:13:11,Indo-European languages
fi,Digitaaliset ihmistieteet,Digital Humanities,2026-04-18 19:13:11,Uralic languages
fr,Humanités numériques,Digital Humanities,2026-04-18 19:13:11,Indo-European languages
he,מדעי הרוח הדיגיטליים,Digital Humanities,2026-04-18 19:13:11,Afro-Asiatic languages
hi,अभिकलनात्मक मानविकी,Digital Humanities,2026-04-18 19:13:11,Indo-European languages
hu,Digitális bölcsészet,Digital Humanities,2026-04-18 19:13:11,Uralic languages
hy,Թվային հումանիտար գիտություններ,Digital Humanities,2026-04-18 19:13:11,Indo-European languages
id,Humaniora digital,Digital Humanities,2026-04-18 19:13:11,Austronesian languages
it,Informatica umanistica,Digital Humanities,2026-04-18 19:13:11,Indo-European languages
ja,デジタル・ヒューマニティーズ,Digital Humanities,2026-04-18 19:13:11,Japanese (family)
ko,디지털 인문학,Digital Humanities,2026-04-18 19:13:11,Language isolate
la,Humanitates digitales,Digital Humanities,2026-04-18 19:13:11,Indo-European languages
lmo,Informatega umanistega,Digital Humanities,2026-04-18 19:13:11,Indo-European languages
nl,Digitale geesteswetenschappen,Digital Humanities,2026-04-18 19:13:11,Indo-European languages
pl,Humanistyka cyfrowa,Digital Humanities,2026-04-18 19:13:11,Indo-European languages
pt,Humanidades digitais,Digital Humanities,2026-04-18 19:13:11,Indo-European languages
ru,Цифровые гуманитарные науки,Digital Humanities,2026-04-18 19:13:11,Indo-European languages
sh,Digitalne humanističke nauke,Digital Humanities,2026-04-18 19:13:11,Indo-European languages
sl,Digitalna humanistika,Digital Humanities,2026-04-18 19:13:11,Indo-European languages
sr,Дигитална хуманистика,Digital Humanities,2026-04-18 19:13:11,Indo-European languages
sv,Digital humaniora,Digital Humanities,2026-04-18 19:13:11,Indo-European languages
ta,எண்ணிம மனிதவியல்,Digital Humanities,2026-04-18 19:13:11,Dravidian languages
th,มนุษยศาสตร์ดิจิทัล,Digital Humanities,2026-04-18 19:13:11,Tai languages
tr,Dijital beşeri bilimler,Digital Humanities,2026-04-18 19:13:11,Altaic languages
uk,Цифрові гуманітарні науки,Digital Humanities,2026-04-18 19:13:11,Indo-European languages
vi,Nhân văn số,Digital Humanities,2026-04-18 19:13:11,Austro-Asiatic languages
zh,數位人文,Digital Humanities,2026-04-18 19:13:11,Sino-Tibetan languages
yue,數碼人文學,Digital Humanities,2026-04-18 19:13:11,Sino-Tibetan languages
zu,Ezezibhangqiwe zoLuntu,Digital Humanities,2026-04-18 19:13:11,Niger-Kordofanian languages
en,digital humanities,Digital Humanities,2026-04-18 19:13:11,Indo-European languages
