language_code,language_name,term_source,directionality,wikipedia_historic_term,google_translate_historic_output,all_available_sources,n_sources_present,n_distinct_translations,sources_agree,all_source_convergence,difference_summary,difference_details
ru,Russian,Digital Humanities,ltr,Цифровые гуманитарные науки,Цифровые гуманитарные науки,Wikipedia-derived historic term; Historic Google Translate output,2,1,True,all available outputs agree,all_identical,{'summary': 'all_identical'}
fr,French,Digital Humanities,ltr,Humanités numériques,Humanités numériques,Wikipedia-derived historic term; Historic Google Translate output,2,1,True,all available outputs agree,all_identical,{'summary': 'all_identical'}
la,Latin,Digital Humanities,ltr,Humanitates digitales,Digital Humanities,Wikipedia-derived historic term; Historic Google Translate output,2,2,False,outputs diverge,content,"{'Wikipedia-derived historic term_vs_Historic Google Translate output': 'content', 'summary': 'content'}"
ta,Tamil,Digital Humanities,ltr,எண்ணிம மனிதவியல்,டிஜிட்டல் மனிதநேயம்,Wikipedia-derived historic term; Historic Google Translate output,2,2,False,outputs diverge,content,"{'Wikipedia-derived historic term_vs_Historic Google Translate output': 'content', 'summary': 'content'}"
ca,Catalan; Valencian,Digital Humanities,ltr,Humanitats digitals,Humanitats digitals,Wikipedia-derived historic term; Historic Google Translate output,2,1,True,all available outputs agree,all_identical,{'summary': 'all_identical'}
en,English,Digital Humanities,ltr,Digital Humanities,Digital Humanities,Wikipedia-derived historic term; Historic Google Translate output,2,1,True,all available outputs agree,all_identical,{'summary': 'all_identical'}
de,German,Digital Humanities,ltr,Digital Humanities,Digitale Geisteswissenschaften,Wikipedia-derived historic term; Historic Google Translate output,2,2,False,outputs diverge,content,"{'Wikipedia-derived historic term_vs_Historic Google Translate output': 'content', 'summary': 'content'}"
ko,Korean,Digital Humanities,ltr,디지털 인문학,디지털 인문학,Wikipedia-derived historic term; Historic Google Translate output,2,1,True,all available outputs agree,all_identical,{'summary': 'all_identical'}
it,Italian,Digital Humanities,ltr,Informatica umanistica,Scienze umanistiche digitali,Wikipedia-derived historic term; Historic Google Translate output,2,2,False,outputs diverge,content,"{'Wikipedia-derived historic term_vs_Historic Google Translate output': 'content', 'summary': 'content'}"
sh,Serbo-Crotian,Digital Humanities,ltr,Дигиталне хуманистичке науке,Дигиталне хуманистичке науке,Wikipedia-derived historic term; Historic Google Translate output,2,1,True,all available outputs agree,all_identical,{'summary': 'all_identical'}
