masking,class,rank,term,weight,cv_f1_mean,cv_f1_std
NONE,claude,1,follows,5.952867781025644,0.9423094913268732,0.0025719815029895086
NONE,claude,2,terminology,5.689312933829454,0.9423094913268732,0.0025719815029895086
NONE,claude,3,academic,4.739349679277598,0.9423094913268732,0.0025719815029895086
NONE,claude,4,alternative,4.207751726457919,0.9423094913268732,0.0025719815029895086
NONE,claude,5,human,4.15552844187559,0.9423094913268732,0.0025719815029895086
NONE,claude,6,sciences,4.032445402369284,0.9423094913268732,0.0025719815029895086
NONE,claude,7,patterns,3.8402966786707213,0.9423094913268732,0.0025719815029895086
NONE,claude,8,academic terminology,3.7560356882874655,0.9423094913268732,0.0025719815029895086
NONE,claude,9,knowledge,3.7367034053060477,0.9423094913268732,0.0025719815029895086
NONE,claude,10,github,3.3299314261487245,0.9423094913268732,0.0025719815029895086
NONE,claude,11,technical,3.2406575355869363,0.9423094913268732,0.0025719815029895086
NONE,claude,12,academic contexts,2.820874951458893,0.9423094913268732,0.0025719815029895086
NONE,claude,13,established,2.819070962673013,0.9423094913268732,0.0025719815029895086
NONE,claude,14,typically,2.6244350176416473,0.9423094913268732,0.0025719815029895086
NONE,claude,15,standard,2.5187828214286467,0.9423094913268732,0.0025719815029895086
NONE,claude,16,learning,2.518608369841004,0.9423094913268732,0.0025719815029895086
NONE,claude,17,proper,2.4441996482210127,0.9423094913268732,0.0025719815029895086
NONE,claude,18,conventions,2.4264540304796056,0.9423094913268732,0.0025719815029895086
NONE,claude,19,speakers,2.3941113863946986,0.9423094913268732,0.0025719815029895086
NONE,claude,20,borrowed,2.3769063576145544,0.9423094913268732,0.0025719815029895086
NONE,openai,1,standard,4.474679679265126,0.9423094913268732,0.0025719815029895086
NONE,openai,2,reflecting,4.102913725806472,0.9423094913268732,0.0025719815029895086
NONE,openai,3,academic,3.340140969849809,0.9423094913268732,0.0025719815029895086
NONE,openai,4,field,3.245462137839749,0.9423094913268732,0.0025719815029895086
NONE,openai,5,humanities commonly,3.2274762604744027,0.9423094913268732,0.0025719815029895086
NONE,openai,6,adapted,3.1999045256203913,0.9423094913268732,0.0025719815029895086
NONE,openai,7,uses,3.1181667360279053,0.9423094913268732,0.0025719815029895086
NONE,openai,8,interdisciplinary,3.0507188996632393,0.9423094913268732,0.0025719815029895086
NONE,openai,9,nonsensical,2.9689538338598673,0.9423094913268732,0.0025719815029895086
NONE,openai,10,evaluating proposed,2.965424230087769,0.9423094913268732,0.0025719815029895086
NONE,openai,11,unrelated,2.9051311202909695,0.9423094913268732,0.0025719815029895086
