search_term,natural_language,counts,directionality,search_term_source,category,keep_term
डिजिटल मानविकी,"anp, awa, bap, bfy, bgc, bh, bhb, bhi, bho, bjj, bra, brx, dcc, doi, dty, gbm, gjk, gju, gom, gon, gvr, hi, hif, hne, hoc, hoj, jml, kdt, kfo, kfy, khn, kho, kok, kru, kvx, kxp, lif, lmn, mag, mai, mdf, mgp, mr, mrd, mtr, mwr, ne, new, noe, nwc, raj, ria, rjs, rkt, rmt, sa, saz, sck, srx, swv, taj, tdg, tdh, thl, thq, thr, tkt, unr, unx, wbq, wbr, wtm, xnr, xsr",74,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
डिजिटल मानवीयता,"awa, bgc, bh, bhb, bho, doi, gbm, gu, gvr, hi, hnd, hne, kfy, kok, ks, lif, mai, mgp, mr, mrd, mwr, ne, new, pa, raj, sd, srx, swv, taj, tdg, te, thl, thr, wtm",34,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
humaniora digital,"ace, aoz, ban, bbc, bew, bjn, bug, gay, gor, id, jv, kge, kvr, lbw, ljp, mad, mak, map-bms, min, mwv, nij, rej, sas, sly, su, sxn",26,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE",True
humanités numériques,"akz, bm, buc, en, fan, fon, fr, frc, frm, fro, gcr, khq, ln, mg, nrm, pcd, see, twq, wa, wls",20,ltr,Digital Humanities,"COMPLETE_CONSENSUS, PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
цифровые гуманитарные науки,"ady, av, ckt, cu, dar, evn, gld, kbd, kca, koi, kpy, kum, lbe, mns, myv, ru, sel, tkr, ude, udm",20,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, TRANSMOGRIFICATION",True
диджитал хумантизм,"ba, bft, bss, bua, bxr, cjs, cv, evn, kca, kjh, krc, kxv, mnw, pko, sel, xal, yav, yrk",18,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
humanidades digitales,"an, arn, aro, ast, bvb, es, ext, guc, lad, mwl, nhe, pap, srb, tbw, yua, zap",16,ltr,Digital Humanities,"COMPLETE_CONSENSUS, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
डिजिटल ह्यूमनाइटीज़,"bfy, bhb, bho, bjj, bra, doi, gbm, hif, hne, kvx, mdr, srx, thl, thq, tkt, wtm",16,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
humanidades digitais,"ch, ext, gl, gub, kao, kea, kgp, mgh, mwl, pt, rng, ter, tet, umb, vmw, yrl",16,ltr,Digital Humanities,"COMPLETE_CONSENSUS, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
ڈیجیٹل انسانیات,"bal, bft, brh, dcc, gju, hnd, hno, khw, ks, lah, mvy, rmt, skr, trw, ur",15,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
digital humaniora,"da, gay, id, kge, ljp, mak, map-bms, nb, nij, nn, no, sas, sly, su, sv",15,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE",True
digitale humaniora,"af, da, fy, gos, jut, nb, nds-nl, nl, nn, no, pdt, sei, srn, vls, zea",15,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
humanitas digital,"ace, bbc, bew, bjn, bug, gay, gor, id, jv, mak, map-bms, ms, nia, zmi",14,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE",True
ڈیجیٹل ہیومینٹیز,"bft, brh, btv, dcc, gju, hnd, hno, khw, ks, lah, mvy, skr, trw, ur",14,rtl,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
الإنسانية الدقيقة,"aeb, apc, ar, arq, ars, arz, bej, dar, jrb, rif, rmt, shi, shu, twq",14,rtl,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
teknologi digital manusia,"ace, ban, bug, dtp, gor, iba, kaw, ken, ljp, min, nij, rej, sly",13,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
العلوم الإنسانية الرقمية,"aeb, apc, ar, arq, ars, ary, arz, bej, fvr, jrb, mls, shu",12,rtl,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
kemanusiaan digital,"ace, bbc, iba, ljp, mad, mdr, mfa, ms, nij, rob, sly, zmi",12,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ilmu kemanusiaan digital,"ace, bew, cja, cjm, gay, kge, kvr, mfa, rej, sas, zmi",11,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
umanità digitale,"co, fur, it, lmo, nap, pms, sc, scn, sdc, vec, xum",11,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
kebudayaan digital,"bew, bjn, id, jv, mak, map-bms, mfa, ms, sas, su",10,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE",True
digitale humanities,"btv, gur, lfn, nds, nov, rm, taj, tdg, tsj, xnr",10,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
数字人文,"dng, gan, hmd, hsn, ii, nxq, wuu, za, zh",9,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
ubinadamu wa kidijitali,"afh, asa, bez, jmc, kde, ksb, swb, wni, zdj",9,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
ڊجيٽل انسانيات,"gjk, hnd, hno, kfr, kvx, sd, skr, trw",8,rtl,Digital Humanities,TRANSMOGRIFICATION,True
数字人文学,"cdo, gan, hsn, ii, mdr, nxq, za, zh",8,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
sayansi ya kidijitali ya binadamu,"asa, dav, jmc, ksb, rof, sbp, vun, wni",8,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
डिजिटल मानवीकी,"bgc, bhb, bhi, gon, kvx, srx, swv, wtm",8,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
數位人文學,"hak, lzh, nan, trv, wuu, yue, zh-classical, zh-tw",8,ltr,Digital Humanities,"MEASUREMENT_ARTEFACT, PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
ດິຈິຕອນມະນຸດສາດ,"blt, kdt, khb, kjg, kxm, lcp, lo, lwl",8,ltr,Digital Humanities,"STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
digitalna humanistika,"bs, cnr, crn, hr, sh, sl, sr",7,ltr,Digital Humanities,"PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
數位人文,"hak, lzh, nan, zh, zh-classical, zh-min-nan, zh-tw",7,ltr,Digital Humanities,"MEASUREMENT_ARTEFACT, PRODUCTIVE_DISAGREEMENT, STRUCTURAL_ABSENCE, TRANSMOGRIFICATION",True
