language_code,language_name,term_source,enmt_translated_term,wikipedia_translated_term,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,coding_dh_date
aa,Afar,Humanities Data Science,,,,,,2025-05-31 21:15:56
ab,Abkhaz,Humanities Data Science,,,,,,2025-05-31 21:15:56
ae,Avestan,Humanities Data Science,,,,,,2025-05-31 21:15:56
af,Afrikaans,Humanities Data Science,Menslike datawetenskap,,,,,2025-05-31 21:15:56
ak,Akan,Humanities Data Science,,,,,,2025-05-31 21:15:56
am,Amharic,Humanities Data Science,,,,,,2025-05-31 21:15:56
an,Aragonese,Humanities Data Science,,,,,,2025-05-31 21:15:56
ar,Arabic,Humanities Data Science,العلوم,,,,,2025-05-31 21:15:56
as,Assamese,Humanities Data Science,,,,,,2025-05-31 21:15:56
av,Avaric,Humanities Data Science,,,,,,2025-05-31 21:15:56
ay,Aymara,Humanities Data Science,,,,,,2025-05-31 21:15:56
az,Azerbaijani,Humanities Data Science,İnsan Mütəxəssisləri,,,,,2025-05-31 21:15:56
ba,Bashkir,Humanities Data Science,,,,,,2025-05-31 21:15:56
be,Belarusian,Humanities Data Science,,,,,,2025-05-31 21:15:56
bg,Bulgarian,Humanities Data Science,Наука,,,,,2025-05-31 21:15:56
bh,Bihari,Humanities Data Science,,,,,,2025-05-31 21:15:56
bi,Bislama,Humanities Data Science,Ol Defren Kaen Sayens Blong Man,,,,,2025-05-31 21:15:56
bm,Bambara,Humanities Data Science,,,,,,2025-05-31 21:15:56
bn,Bengali,Humanities Data Science,,,,,,2025-05-31 21:15:56
bo,Tibetan,Humanities Data Science,,,,,,2025-05-31 21:15:56
br,Breton,Humanities Data Science,,,,,,2025-05-31 21:15:56
bs,Bosnian,Humanities Data Science,,,,,,2025-05-31 21:15:56
ca,Catalan; Valencian,Humanities Data Science,Ciència de dades humanes,,,,,2025-05-31 21:15:56
ce,Chechen,Humanities Data Science,,,,,,2025-05-31 21:15:56
ch,Chamorro,Humanities Data Science,,,,,,2025-05-31 21:15:56
co,Corsican,Humanities Data Science,,,,,,2025-05-31 21:15:56
cr,Cree,Humanities Data Science,,,,,,2025-05-31 21:15:56
cs,Czech,Humanities Data Science,Věda o údajích o humanitních vědách,,,,,2025-05-31 21:15:56
cu,Old Church Slavonic,Humanities Data Science,,,,,,2025-05-31 21:15:56
cv,Chuvash,Humanities Data Science,,,,,,2025-05-31 21:15:56
cy,Welsh,Humanities Data Science,"GwyddonolCity name (optional, probably does not need a translation)",,,,,2025-05-31 21:15:56
da,Danish,Humanities Data Science,Humaniora Data Science,,,,,2025-05-31 21:15:56
de,German,Humanities Data Science,Geisteswissenschaftliche Datenwissenschaft,,,,,2025-05-31 21:15:56
dv,Divehi; Maldivian;,Humanities Data Science,,,,,,2025-05-31 21:15:56
dz,Dzongkha,Humanities Data Science,,,,,,2025-05-31 21:15:56
ee,Ewe,Humanities Data Science,Nusiwo Ðo Kpe Dzɔdzɔmeŋutinunya Dzi,,,,,2025-05-31 21:15:56
el,"Greek, Modern",Humanities Data Science,Ανθρωπιστικές Επιστήμες Δεδομένων,,,,,2025-05-31 21:15:56
en,English,Humanities Data Science,,,,,,2025-05-31 21:15:56
eo,Esperanto,Humanities Data Science,Comment,,,,,2025-05-31 21:15:56
es,Spanish; Castilian,Humanities Data Science,Ciencias de los Datos de Humanidades,,,,,2025-05-31 21:15:56
et,Estonian,Humanities Data Science,Humanitaarteadus Andmeteadus,,,,,2025-05-31 21:15:56
eu,Basque,Humanities Data Science,Gizadien datuen zientzia,,,,,2025-05-31 21:15:56
fa,Persian,Humanities Data Science,,,,,,2025-05-31 21:15:56
ff,Fula,Humanities Data Science,,,,,,2025-05-31 21:15:56
fi,Finnish,Humanities Data Science,Humanistiset tieteet Data Science,,,,,2025-05-31 21:15:56
fj,Fijian,Humanities Data Science,iTovo Vakavanua e Vakavuna na Veika Vakasaenisi,,,,,2025-05-31 21:15:56
fo,Faroese,Humanities Data Science,,,,,,2025-05-31 21:15:56
fr,French,Humanities Data Science,Sciences des données humaines,,,,,2025-05-31 21:15:56
fy,Western Frisian,Humanities Data Science,,,,,,2025-05-31 21:15:56
ga,Irish,Humanities Data Science,Eolaíocht na nDaonnachtaí Sonraí,,,,,2025-05-31 21:15:56
gd,Scottish Gaelic,Humanities Data Science,,,,,,2025-05-31 21:15:56
gl,Galician,Humanities Data Science,Ciencias de datos,,,,,2025-05-31 21:15:56
gn,Guaraní,Humanities Data Science,,,,,,2025-05-31 21:15:56
gu,Gujarati,Humanities Data Science,,,,,,2025-05-31 21:15:56
gv,Manx,Humanities Data Science,Fysseree persoonagh,,,,,2025-05-31 21:15:56
ha,Hausa,Humanities Data Science,Abubuwan da Ke Shafan'Yan Adam,,,,,2025-05-31 21:15:56
he,Hebrew (modern),Humanities Data Science,מדעי מדעי מדעי הרוח,,,,,2025-05-31 21:15:56
hi,Hindi,Humanities Data Science,मानव क्षमता डाटा विज्ञान,,,,,2025-05-31 21:15:56
ho,Hiri Motu,Humanities Data Science,Saiens Taudia Edia Gaukara Idauidau,,,,,2025-05-31 21:15:56
hr,Croatian,Humanities Data Science,,,,,,2025-05-31 21:15:56
ht,Haitian,Humanities Data Science,Bagay syantifik yo anseye sou lèzòm,,,,,2025-05-31 21:15:56
hu,Hungarian,Humanities Data Science,Humanities Data Science,,,,,2025-05-31 21:15:56
hy,Armenian,Humanities Data Science,Մարդկությունը ՝ Դամասկոսի գիտությունը,,,,,2025-05-31 21:15:56
hz,Herero,Humanities Data Science,,,,,,2025-05-31 21:15:56
ia,Interlingua,Humanities Data Science,,,,,,2025-05-31 21:15:56
id,Indonesian,Humanities Data Science,Humanities Data Science,,,,,2025-05-31 21:15:56
ie,Interlingue,Humanities Data Science,,,,,,2025-05-31 21:15:56
ig,Igbo,Humanities Data Science,Ihe Ndị Sayensị Na - akụzi,,,,,2025-05-31 21:15:56
ii,Nuosu,Humanities Data Science,,,,,,2025-05-31 21:15:56
ik,Inupiaq,Humanities Data Science,,,,,,2025-05-31 21:15:56
io,Ido,Humanities Data Science,,,,,,2025-05-31 21:15:56
is,Icelandic,Humanities Data Science,Mannkynsgagnavísindi,,,,,2025-05-31 21:15:56
it,Italian,Humanities Data Science,Scienza dei dati sulle scienze umane,,,,,2025-05-31 21:15:56
iu,Inuktitut,Humanities Data Science,,,,,,2025-05-31 21:15:56
ja,Japanese,Humanities Data Science,,,,,,2025-05-31 21:15:56
jv,Javanese,Humanities Data Science,,,,,,2025-05-31 21:15:56
ka,Georgian,Humanities Data Science,,,,,,2025-05-31 21:15:56
kg,Kongo,Humanities Data Science,Ntalu ya Bantu ya siansi Kevandaka na Yo,,,,,2025-05-31 21:15:56
ki,"Kikuyu, Gikuyu",Humanities Data Science,,,,,,2025-05-31 21:15:56
