language_code,language_name,term_source,enmt_translated_term,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt
af,Afrikaans,Digital Humanities,Digitale Menslikhede,,,2026-04-03 16:31:15,,,
sk,Slovak,Digital Humanities,Digitálne humanitné vedy,,,2026-04-03 16:31:15,,,
ru,Russian,Digital Humanities,Цифровые гуманитарные науки,,,2026-04-03 16:31:15,,,
rw,Kinyarwanda,Digital Humanities,Ubwoko bw'Abantu,,,2026-04-03 16:31:15,,,
sa,Sanskrit (Saṁskṛta),Digital Humanities,,,,2026-04-03 16:31:15,,,
sc,Sardinian,Digital Humanities,,,,2026-04-03 16:31:15,,,
sd,Sindhi,Digital Humanities,,,,2026-04-03 16:31:15,,,
se,Northern Sami,Digital Humanities,,,,2026-04-03 16:31:15,,,
sg,Sango,Digital Humanities,Gi ti duti na aye mingi ape na yâ ti fini ti mo,,,2026-04-03 16:31:15,,,
sh,Serbo-Crotian,Digital Humanities,,,,2026-04-03 16:31:15,,,
si,"Sinhala, Sinhalese",Digital Humanities,,,,2026-04-03 16:31:15,,,
sl,Slovene,Digital Humanities,,,,2026-04-03 16:31:15,,,
na,Nauru,Digital Humanities,,,,2026-04-03 16:31:15,,,
sm,Samoan,Digital Humanities,Digital Man's,,,2026-04-03 16:31:15,,,
sn,Shona,Digital Humanities,Vanhu Vanogutsikana,,,2026-04-03 16:31:15,,,
so,Somali,Digital Humanities,,,,2026-04-03 16:31:15,,,
sq,Albanian,Digital Humanities,Humanitetet Dixhitale,,,2026-04-03 16:31:15,,,
sr,Serbian,Digital Humanities,,,,2026-04-03 16:31:15,,,
ss,Swati,Digital Humanities,Imibono Lemayelana Nendzawo Tabantfu,,,2026-04-03 16:31:15,,,
st,Southern Sotho,Digital Humanities,Lik'hemik'hale Tseo Batho ba li Hlokang,,,2026-04-03 16:31:15,,,
su,Sundanese,Digital Humanities,,,,2026-04-03 16:31:15,,,
sv,Swedish,Digital Humanities,Digital humaniora,,,2026-04-03 16:31:15,,,
ro,"Romanian, Moldavan",Digital Humanities,Umanități digitale,,,2026-04-03 16:31:15,,,
rn,Kirundi,Digital Humanities,Abantu b’intagondwa,,,2026-04-03 16:31:15,,,
rm,Romansh,Digital Humanities,,,,2026-04-03 16:31:15,,,
qu,Quechua,Digital Humanities,,,,2026-04-03 16:31:15,,,
nd,North Ndebele,Digital Humanities,,,,2026-04-03 16:31:15,,,
ne,Nepali,Digital Humanities,,,,2026-04-03 16:31:15,,,
ng,Ndonga,Digital Humanities,Omithikampango dhaantu odha li hadhi ningitha aantu ya kale ye na ekwatathano ewanawa,,,2026-04-03 16:31:15,,,
nl,Dutch,Digital Humanities,Digitale geesteswetenschappen,,,2026-04-03 16:31:15,,,
nn,Norwegian Nynorsk,Digital Humanities,,,,2026-04-03 16:31:15,,,
no,Norwegian,Digital Humanities,,,,2026-04-03 16:31:15,,,
nr,South Ndebele,Digital Humanities,,,,2026-04-03 16:31:15,,,
nv,"Navajo, Navaho",Digital Humanities,,,,2026-04-03 16:31:15,,,
ny,Chichewa; Chewa; Nyanja,Digital Humanities,Digital Humans,,,2026-04-03 16:31:15,,,
oc,Occitan,Digital Humanities,,,,2026-04-03 16:31:15,,,
oj,"Ojibwe, Ojibwa",Digital Humanities,,,,2026-04-03 16:31:15,,,
om,Oromo,Digital Humanities,WANTA IRRATTI HUNDAAʼE,,,2026-04-03 16:31:15,,,
or,Oriya,Digital Humanities,,,,2026-04-03 16:31:15,,,
os,"Ossetian, Ossetic",Digital Humanities,,,,2026-04-03 16:31:15,,,
pa,"Panjabi, Punjabi",Digital Humanities,,,,2026-04-03 16:31:15,,,
pi,Pāli,Digital Humanities,,,,2026-04-03 16:31:15,,,
pl,Polish,Digital Humanities,,,,2026-04-03 16:31:15,,,
ps,"Pashto, Pushto",Digital Humanities,,,,2026-04-03 16:31:15,,,
pt,Portuguese,Digital Humanities,,,,2026-04-03 16:31:15,,,
sw,Swahili,Digital Humanities,Viasili vya Kielektroni,,,2026-04-03 16:31:15,,,
ta,Tamil,Digital Humanities,,,,2026-04-03 16:31:15,,,
te,Telugu,Digital Humanities,,,,2026-04-03 16:31:15,,,
yi,Yiddish,Digital Humanities,,,,2026-04-03 16:31:15,,,
za,"Zhuang, Chuang",Digital Humanities,,,,2026-04-03 16:31:15,,,
zh,Chinese,Digital Humanities,数字人文,,,2026-04-03 16:31:15,,,
zu,Zulu,Digital Humanities,,,,2026-04-03 16:31:15,,,
aa,Afar,Digital Humanities,,,,2026-04-03 16:31:15,False,Xiyitaal Sehdaytiino,True
ab,Abkhaz,Digital Humanities,,,,2026-04-03 16:31:15,False,Ацифратә гуманитартә ҵарақәа,True
ae,Avestan,Digital Humanities,,,,2026-04-03 16:31:15,True,,True
ak,Akan,Digital Humanities,,,,2026-04-03 16:31:15,False,Digitals Nnipa Ho Adesua,True
am,Amharic,Digital Humanities,,,,2026-04-03 16:31:15,False,ዲጂታል ሂውማኒቲስ,True
an,Aragonese,Digital Humanities,,,,2026-04-03 16:31:15,True,,True
as,Assamese,Digital Humanities,,,,2026-04-03 16:31:15,False,ডিজিটেল মানৱীয় বিজ্ঞান,True
av,Avaric,Digital Humanities,,,,2026-04-03 16:31:15,False,Цифралъулал гуманитариялин абулел,True
ay,Aymara,Digital Humanities,,,,2026-04-03 16:31:15,False,Humanidades Digitales uka tuqit yatxataña,True
ba,Bashkir,Digital Humanities,,,,2026-04-03 16:31:15,False,Һанлы гуманитар фәндәр,True
be,Belarusian,Digital Humanities,,,,2026-04-03 16:31:15,False,Лічбавыя гуманітарныя навукі,True
bh,Bihari,Digital Humanities,,,,2026-04-03 16:31:15,False,डिजिटल मानविकी के बारे में बतावल गइल बा,True
bm,Bambara,Digital Humanities,,,,2026-04-03 16:31:15,False,Hadamadenw ka dɔnniya nimɔrɔma,True
bn,Bengali,Digital Humanities,,,,2026-04-03 16:31:15,False,ডিজিটাল মানববিদ্যা,True
bo,Tibetan,Digital Humanities,,,,2026-04-03 16:31:15,False,གྲངས་འཛིན་མི་ཆོས་རིག་པ།,True
br,Breton,Digital Humanities,,,,2026-04-03 16:31:15,False,Skiantoù mab-den niverel,True
yo,Yoruba,Digital Humanities,,,,2026-04-03 16:31:15,,,
xh,Xhosa,Digital Humanities,Ubuntu bamanani,,,2026-04-03 16:31:15,,,
tg,Tajik,Digital Humanities,,,,2026-04-03 16:31:15,,,
wo,Wolof,Digital Humanities,,,,2026-04-03 16:31:15,,,
th,Thai,Digital Humanities,,,,2026-04-03 16:31:15,,,
ti,Tigrinya,Digital Humanities,ሰብኣዊ ባህርያት,,,2026-04-03 16:31:15,,,
tk,Turkmen,Digital Humanities,,,,2026-04-03 16:31:15,,,
tl,Tagalog,Digital Humanities,Digital na mga Tao,,,2026-04-03 16:31:15,,,
tn,Tswana,Digital Humanities,Batho ba ba Itshekileng,,,2026-04-03 16:31:15,,,
to,Tonga,Digital Humanities,"Ngaahi Anga'itangata "" o e Fa'ahinga "" o e Tangatá",,,2026-04-03 16:31:15,,,
tr,Turkish,Digital Humanities,,,,2026-04-03 16:31:15,,,
ts,Tsonga,Digital Humanities,Vutivi Bya Vanhu,,,2026-04-03 16:31:15,,,
tt,Tatar,Digital Humanities,,,,2026-04-03 16:31:15,,,
tw,Twi,Digital Humanities,Nneɛma a Ɛyɛ Hu,,,2026-04-03 16:31:15,,,
ty,Tahitian,Digital Humanities,Digital Te mau mea ora o te taata,,,2026-04-03 16:31:15,,,
ug,"Uighur, Uyghur",Digital Humanities,,,,2026-04-03 16:31:15,,,
uk,Ukrainian,Digital Humanities,Цифрові гуманітарні дані,,,2026-04-03 16:31:15,,,
ur,Urdu,Digital Humanities,انسانی کمزوریوں کی وجہ سے,,,2026-04-03 16:31:15,,,
uz,Uzbek,Digital Humanities,,,,2026-04-03 16:31:15,,,
ve,Venda,Digital Humanities,,,,2026-04-03 16:31:15,,,
vi,Vietnamese,Digital Humanities,Hệ bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình bình đẳng,,,2026-04-03 16:31:15,,,
vo,Volapük,Digital Humanities,,,,2026-04-03 16:31:15,,,
wa,Walloon,Digital Humanities,,,,2026-04-03 16:31:15,,,
nb,Norwegian Bokmål,Digital Humanities,,,,2026-04-03 16:31:15,,,
