language_code,language_name,term_source,gt_translated_term,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate
aa,Afar,Digital Humanities,Xiyitaal Sehdaytiino,,,2026-04-03 16:31:15,
pi,Pāli,Digital Humanities,,,,2026-04-03 16:31:15,
nr,South Ndebele,Digital Humanities,I-Digital Humanities,,,2026-04-03 16:31:15,
nv,"Navajo, Navaho",Digital Humanities,,,,2026-04-03 16:31:15,
ny,Chichewa; Chewa; Nyanja,Digital Humanities,Zaumunthu Za digito,,,2026-04-03 16:31:15,
oc,Occitan,Digital Humanities,Umanitats numericas,,,2026-04-03 16:31:15,
oj,"Ojibwe, Ojibwa",Digital Humanities,,,,2026-04-03 16:31:15,
om,Oromo,Digital Humanities,Saayinsii Namoomaa Dijiitaalaa,,,2026-04-03 16:31:15,
or,Oriya,Digital Humanities,ଡିଜିଟାଲ୍ ମାନବିକତା,,,2026-04-03 16:31:15,
os,"Ossetian, Ossetic",Digital Humanities,Нымæцон гуманитарон зонæдтæ,,,2026-04-03 16:31:15,
pa,"Panjabi, Punjabi",Digital Humanities,ਡਿਜੀਟਲ ਹਿਊਮੈਨਿਟੀਜ਼,,,2026-04-03 16:31:15,
pl,Polish,Digital Humanities,Humanistyka cyfrowa,,,2026-04-03 16:31:15,
lg,Luganda,Digital Humanities,Eby’obuntubulamu ebya Digital,,,2026-04-03 16:31:15,
ps,"Pashto, Pushto",Digital Humanities,ډیجیټل انسانیتونه,,,2026-04-03 16:31:15,
pt,Portuguese,Digital Humanities,Humanidades Digitais,,,2026-04-03 16:31:15,
qu,Quechua,Digital Humanities,Humanidades Digitales nisqa,,,2026-04-03 16:31:15,
rm,Romansh,Digital Humanities,,,,2026-04-03 16:31:15,
rn,Kirundi,Digital Humanities,Ubumuntu bwa digitale,,,2026-04-03 16:31:15,
ro,"Romanian, Moldavan",Digital Humanities,Științe Umaniste Digitale,,,2026-04-03 16:31:15,
ru,Russian,Digital Humanities,Цифровые гуманитарные науки,,,2026-04-03 16:31:15,
rw,Kinyarwanda,Digital Humanities,Ubuhanga mu by&#39;Ikoranabuhanga,,,2026-04-03 16:31:15,
sa,Sanskrit (Saṁskṛta),Digital Humanities,डिजिटल मानविकी,,,2026-04-03 16:31:15,
no,Norwegian,Digital Humanities,Digital humaniora,,,2026-04-03 16:31:15,
nn,Norwegian Nynorsk,Digital Humanities,,,,2026-04-03 16:31:15,
nl,Dutch,Digital Humanities,Digitale Geesteswetenschappen,,,2026-04-03 16:31:15,
ng,Ndonga,Digital Humanities,,,,2026-04-03 16:31:15,
ln,Lingala,Digital Humanities,Humanités numériques,,,2026-04-03 16:31:15,
lo,Lao,Digital Humanities,ມະນຸດສາດດິຈິຕອນ,,,2026-04-03 16:31:15,
lt,Lithuanian,Digital Humanities,Skaitmeniniai humanitariniai mokslai,,,2026-04-03 16:31:15,
lu,Luba-Katanga,Digital Humanities,,,,2026-04-03 16:31:15,
lv,Latvian,Digital Humanities,Digitālās humanitārās zinātnes,,,2026-04-03 16:31:15,
mg,Malagasy,Digital Humanities,Siansa momba ny maha-olona nomerika,,,2026-04-03 16:31:15,
mh,Marshallese,Digital Humanities,Digital Humanities,,,2026-04-03 16:31:15,
mi,Māori,Digital Humanities,Ngā Tikanga Mamati,,,2026-04-03 16:31:15,
mk,Macedonian,Digital Humanities,Дигитални хуманистички науки,,,2026-04-03 16:31:15,
ml,Malayalam,Digital Humanities,ഡിജിറ്റൽ മാനവികത,,,2026-04-03 16:31:15,
mn,Mongolian,Digital Humanities,Дижитал хүмүүнлэгийн ухаан,,,2026-04-03 16:31:15,
mr,Marathi (Marāṭhī),Digital Humanities,डिजिटल मानविकी,,,2026-04-03 16:31:15,
ms,Malay,Digital Humanities,Kemanusiaan Digital,,,2026-04-03 16:31:15,
mt,Maltese,Digital Humanities,Umanistika Diġitali,,,2026-04-03 16:31:15,
my,Burmese,Digital Humanities,ဒစ်ဂျစ်တယ် လူသားပညာ,,,2026-04-03 16:31:15,
na,Nauru,Digital Humanities,,,,2026-04-03 16:31:15,
nb,Norwegian Bokmål,Digital Humanities,Digital humaniora,,,2026-04-03 16:31:15,
nd,North Ndebele,Digital Humanities,,,,2026-04-03 16:31:15,
ne,Nepali,Digital Humanities,डिजिटल मानविकी,,,2026-04-03 16:31:15,
sc,Sardinian,Digital Humanities,,,,2026-04-03 16:31:15,
sd,Sindhi,Digital Humanities,ڊجيٽل هيومنٽيز,,,2026-04-03 16:31:15,
se,Northern Sami,Digital Humanities,Digitála humanisttalaš dieđat,,,2026-04-03 16:31:15,
tn,Tswana,Digital Humanities,Dithuto tsa Botho tsa Dijithale,,,2026-04-03 16:31:15,
tr,Turkish,Digital Humanities,Dijital Beşeri Bilimler,,,2026-04-03 16:31:15,
ts,Tsonga,Digital Humanities,Vutivi bya Vanhu bya Dijitali,,,2026-04-03 16:31:15,
tt,Tatar,Digital Humanities,Цифрлы гуманитар фәннәр,,,2026-04-03 16:31:15,
tw,Twi,Digital Humanities,Digitals Nnipa Ho Adesua,,,2026-04-03 16:31:15,
ty,Tahitian,Digital Humanities,Te mau taata mamati,,,2026-04-03 16:31:15,
ug,"Uighur, Uyghur",Digital Humanities,رەقەملىك ئىنسانىيەت,,,2026-04-03 16:31:15,
uk,Ukrainian,Digital Humanities,Цифрові гуманітарні науки,,,2026-04-03 16:31:15,
ur,Urdu,Digital Humanities,ڈیجیٹل ہیومینٹیز,,,2026-04-03 16:31:15,
uz,Uzbek,Digital Humanities,Raqamli gumanitar fanlar,,,2026-04-03 16:31:15,
ve,Venda,Digital Humanities,Vhuthu ha Didzhithala,,,2026-04-03 16:31:15,
vi,Vietnamese,Digital Humanities,Nhân văn kỹ thuật số,,,2026-04-03 16:31:15,
vo,Volapük,Digital Humanities,,,,2026-04-03 16:31:15,
wa,Walloon,Digital Humanities,,,,2026-04-03 16:31:15,
wo,Wolof,Digital Humanities,Humanité numérique,,,2026-04-03 16:31:15,
xh,Xhosa,Digital Humanities,Uluntu lweDijithali,,,2026-04-03 16:31:15,
yi,Yiddish,Digital Humanities,דיגיטאַלע הומאַניטיעס,,,2026-04-03 16:31:15,
yo,Yoruba,Digital Humanities,Àwọn Ènìyàn Oní-nọ́ńbà,,,2026-04-03 16:31:15,
za,"Zhuang, Chuang",Digital Humanities,,,,2026-04-03 16:31:15,
zh,Chinese,Digital Humanities,数字人文,,,2026-04-03 16:31:15,
to,Tonga,Digital Humanities,Ngaahi Ngaue Fakaetangata Fakakomipiuta,,,2026-04-03 16:31:15,
tl,Tagalog,Digital Humanities,Digital Humanities,,,2026-04-03 16:31:15,
sg,Sango,Digital Humanities,Humanité numérique,,,2026-04-03 16:31:15,
tk,Turkmen,Digital Humanities,Sanly ynsanperwerlik,,,2026-04-03 16:31:15,
sh,Serbo-Crotian,Digital Humanities,Дигиталне хуманистичке науке,,,2026-04-03 16:31:15,
si,"Sinhala, Sinhalese",Digital Humanities,ඩිජිටල් මානව ශාස්ත්‍ර,,,2026-04-03 16:31:15,
sk,Slovak,Digital Humanities,Digitálne humanitné vedy,,,2026-04-03 16:31:15,
sl,Slovene,Digital Humanities,Digitalna humanistika,,,2026-04-03 16:31:15,
sm,Samoan,Digital Humanities,Mataupu Fa&#39;atekinolosi Fa&#39;atekinolosi,,,2026-04-03 16:31:15,
sn,Shona,Digital Humanities,Hunhu hweDigital,,,2026-04-03 16:31:15,
so,Somali,Digital Humanities,Bani&#39;aadamnimada Dijital ah,,,2026-04-03 16:31:15,
sq,Albanian,Digital Humanities,Shkencat Humane Dixhitale,,,2026-04-03 16:31:15,
sr,Serbian,Digital Humanities,Дигиталне хуманистичке науке,,,2026-04-03 16:31:15,
ss,Swati,Digital Humanities,Tifundvo Tebantfu Tedijithali,,,2026-04-03 16:31:15,
