language_code,language_name,term_source,lingvanex_translated_term,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex
aa,Afar,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
oj,"Ojibwe, Ojibwa",Digital Humanities,,,,2026-04-03 16:31:15,,,,,
rn,Kirundi,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
ro,"Romanian, Moldavan",Digital Humanities,Științe umaniste digitale,,,2026-04-03 16:31:15,,,,,
ru,Russian,Digital Humanities,Цифровые гуманитарные науки,,,2026-04-03 16:31:15,,,,,
rw,Kinyarwanda,Digital Humanities,Ubumuntu bwa Digital,,,2026-04-03 16:31:15,,,,,
sa,Sanskrit (Saṁskṛta),Digital Humanities,,,,2026-04-03 16:31:15,,,,,
nr,South Ndebele,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
nv,"Navajo, Navaho",Digital Humanities,,,,2026-04-03 16:31:15,,,,,
ny,Chichewa; Chewa; Nyanja,Digital Humanities,Digital Humanities,,,2026-04-03 16:31:15,,,,,
oc,Occitan,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
pl,Polish,Digital Humanities,Humanistyka cyfrowa,,,2026-04-03 16:31:15,,,,,
om,Oromo,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
or,Oriya,Digital Humanities,ଡିଜିଟାଲ୍ ମାନବିକତା,,,2026-04-03 16:31:15,,,,,
os,"Ossetian, Ossetic",Digital Humanities,,,,2026-04-03 16:31:15,,,,,
pa,"Panjabi, Punjabi",Digital Humanities,ਡਿਜੀਟਲ ਮਨੁੱਖਤਾ,,,2026-04-03 16:31:15,,,,,
pi,Pāli,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
lg,Luganda,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
ps,"Pashto, Pushto",Digital Humanities,ډیجیټل انسانیتونه,,,2026-04-03 16:31:15,,,,,
pt,Portuguese,Digital Humanities,Humanidades Digitais,,,2026-04-03 16:31:15,,,,,
qu,Quechua,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
rm,Romansh,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
no,Norwegian,Digital Humanities,Digital Humanities,,,2026-04-03 16:31:15,,,,,
nn,Norwegian Nynorsk,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
nl,Dutch,Digital Humanities,Digital Humanities,,,2026-04-03 16:31:15,,,,,
my,Burmese,Digital Humanities,ဒစ်ဂျစ်တယ်လူ့ပညာ,,,2026-04-03 16:31:15,,,,,
na,Nauru,Digital Humanities,,,,2026-04-03 16:31:15,,,,,
