language_code,wikipedia_translated_term,term_source,coding_dh_date
ar,إنسانيات رقمية,Digital Humanities,2026-04-03 15:57:45
az,Rəqəmsal humanitar elmlər,Digital Humanities,2026-04-03 15:57:45
ca,Humanitats digitals,Digital Humanities,2026-04-03 15:57:45
cs,Digitální humanitní vědy,Digital Humanities,2026-04-03 15:57:45
cy,Dyniaethau digidol,Digital Humanities,2026-04-03 15:57:45
de,Digital Humanities,Digital Humanities,2026-04-03 15:57:45
el,Ψηφιακές Ανθρωπιστικές Επιστήμες,Digital Humanities,2026-04-03 15:57:45
es,Humanidades digitales,Digital Humanities,2026-04-03 15:57:45
et,Digihumanitaaria,Digital Humanities,2026-04-03 15:57:45
eu,Humanitate digitalak,Digital Humanities,2026-04-03 15:57:45
fa,علوم انسانی دیجیتال,Digital Humanities,2026-04-03 15:57:45
fi,Digitaaliset ihmistieteet,Digital Humanities,2026-04-03 15:57:45
fr,Humanités numériques,Digital Humanities,2026-04-03 15:57:45
he,מדעי הרוח הדיגיטליים,Digital Humanities,2026-04-03 15:57:45
hi,अभिकलनात्मक मानविकी,Digital Humanities,2026-04-03 15:57:45
hu,Digitális bölcsészet,Digital Humanities,2026-04-03 15:57:45
hy,Թվային հումանիտար գիտություններ,Digital Humanities,2026-04-03 15:57:45
id,Humaniora digital,Digital Humanities,2026-04-03 15:57:45
it,Informatica umanistica,Digital Humanities,2026-04-03 15:57:45
ja,デジタル・ヒューマニティーズ,Digital Humanities,2026-04-03 15:57:45
ko,디지털 인문학,Digital Humanities,2026-04-03 15:57:45
la,Humanitates digitales,Digital Humanities,2026-04-03 15:57:45
lmo,Informatega umanistega,Digital Humanities,2026-04-03 15:57:45
nl,Digitale geesteswetenschappen,Digital Humanities,2026-04-03 15:57:45
pl,Humanistyka cyfrowa,Digital Humanities,2026-04-03 15:57:45
pt,Humanidades digitais,Digital Humanities,2026-04-03 15:57:45
ru,Цифровые гуманитарные науки,Digital Humanities,2026-04-03 15:57:45
sh,Digitalne humanističke nauke,Digital Humanities,2026-04-03 15:57:45
sl,Digitalna humanistika,Digital Humanities,2026-04-03 15:57:45
sr,Дигитална хуманистика,Digital Humanities,2026-04-03 15:57:45
sv,Digital humaniora,Digital Humanities,2026-04-03 15:57:45
ta,எண்ணிம மனிதவியல்,Digital Humanities,2026-04-03 15:57:45
th,มนุษยศาสตร์ดิจิทัล,Digital Humanities,2026-04-03 15:57:45
tr,Dijital beşeri bilimler,Digital Humanities,2026-04-03 15:57:45
uk,Цифрові гуманітарні науки,Digital Humanities,2026-04-03 15:57:45
vi,Nhân văn số,Digital Humanities,2026-04-03 15:57:45
zh,數位人文,Digital Humanities,2026-04-03 15:57:45
yue,數碼人文學,Digital Humanities,2026-04-03 15:57:45
zu,Ezezibhangqiwe zoLuntu,Digital Humanities,2026-04-03 15:57:45
en,digital humanities,Digital Humanities,2026-04-03 15:57:45
