n_variants_present,n_agree,agreement_rate,best_candidate,variant_translations,above_threshold,term_source,language_code,language_name,language_family,service,is_baseline
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,zh-yue,Cantonese,Sino-Tibetan,Wikipedia,True
5,5,1.0,數碼人文,"{'minimal': '數碼人文', 'comparative': '數碼人文', 'expert_persona': '數碼人文', 'contextual': '數碼人文', 'native_rationale': '數碼人文'}",True,Digital Humanities,zh-yue,Cantonese,Sino-Tibetan,Google Translate,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,zh-yue,Cantonese,Sino-Tibetan,EasyNMT,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,zh-yue,Cantonese,Sino-Tibetan,Lingvanex,True
5,3,0.6,數碼人文學,"{'minimal': '數碼人文學', 'comparative': '數碼人文', 'expert_persona': '數碼人文學', 'contextual': '數碼人文學', 'native_rationale': '數碼人文學科'}",False,Digital Humanities,zh-yue,Cantonese,Sino-Tibetan,OpenAI,False
5,3,0.6,數碼人文,"{'minimal': '數碼人文', 'comparative': '數碼人文', 'expert_persona': '數碼人文學', 'contextual': '數碼人文學', 'native_rationale': '數碼人文'}",False,Digital Humanities,zh-yue,Cantonese,Sino-Tibetan,Claude,False
5,4,0.8,數碼人文學,"{'minimal': '數碼人文', 'comparative': '數碼人文學', 'expert_persona': '數碼人文學', 'contextual': '數碼人文學', 'native_rationale': '數碼人文學'}",True,Digital Humanities,zh-yue,Cantonese,Sino-Tibetan,Gemini,False
1,1,1.0,數位學術,{'comparative': '數位學術'},True,Digital Humanities,zh-yue,Cantonese,Sino-Tibetan,First Ollama,False
5,1,0.2,햘常俊给,"{'minimal': '햘常俊给', 'comparative': '數位學術', 'expert_persona': 'dai jing wén fó gung', 'contextual': 'dak bit gai', 'native_rationale': 'digitahlai fonghok'}",False,Digital Humanities,zh-yue,Cantonese,Sino-Tibetan,Second Ollama,False
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,zh-tw,Traditional Chinese,Sino-Tibetan,Wikipedia,True
5,5,1.0,數位人文,"{'minimal': '數位人文', 'comparative': '數位人文', 'expert_persona': '數位人文', 'contextual': '數位人文', 'native_rationale': '數位人文'}",True,Digital Humanities,zh-tw,Traditional Chinese,Sino-Tibetan,Google Translate,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,zh-tw,Traditional Chinese,Sino-Tibetan,EasyNMT,True
5,5,1.0,數位人文,"{'minimal': '數位人文', 'comparative': '數位人文', 'expert_persona': '數位人文', 'contextual': '數位人文', 'native_rationale': '數位人文'}",True,Digital Humanities,zh-tw,Traditional Chinese,Sino-Tibetan,Lingvanex,True
5,5,1.0,數位人文,"{'minimal': '數位人文', 'comparative': '數位人文', 'expert_persona': '數位人文', 'contextual': '數位人文', 'native_rationale': '數位人文'}",True,Digital Humanities,zh-tw,Traditional Chinese,Sino-Tibetan,OpenAI,False
5,5,1.0,數位人文,"{'minimal': '數位人文', 'comparative': '數位人文', 'expert_persona': '數位人文', 'contextual': '數位人文', 'native_rationale': '數位人文'}",True,Digital Humanities,zh-tw,Traditional Chinese,Sino-Tibetan,Claude,False
5,3,0.6,數位人文,"{'minimal': '數位人文', 'comparative': '數位人文學', 'expert_persona': '數位人文', 'contextual': '數位人文學', 'native_rationale': '數位人文'}",False,Digital Humanities,zh-tw,Traditional Chinese,Sino-Tibetan,Gemini,False
1,1,1.0,數位人文學,{'comparative': '數位人文學'},True,Digital Humanities,zh-tw,Traditional Chinese,Sino-Tibetan,First Ollama,False
2,1,0.5,国海关学,"{'minimal': '国海关学', 'comparative': '數位人文學'}",False,Digital Humanities,zh-tw,Traditional Chinese,Sino-Tibetan,Second Ollama,False
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,zh-min-nan,Minnan,Sino-Tibetan,Wikipedia,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,zh-min-nan,Minnan,Sino-Tibetan,Google Translate,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,zh-min-nan,Minnan,Sino-Tibetan,EasyNMT,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,zh-min-nan,Minnan,Sino-Tibetan,Lingvanex,True
5,3,0.6,數位人文,"{'minimal': '數位人文', 'comparative': '數位人文', 'expert_persona': '數位人文學', 'contextual': '數位人文', 'native_rationale': '数字人文'}",False,Digital Humanities,zh-min-nan,Minnan,Sino-Tibetan,OpenAI,False
5,5,1.0,數位人文,"{'minimal': '數位人文', 'comparative': '數位人文', 'expert_persona': '數位人文', 'contextual': '數位人文', 'native_rationale': '數位人文'}",True,Digital Humanities,zh-min-nan,Minnan,Sino-Tibetan,Claude,False
5,4,0.8,數位人文,"{'minimal': '數位人文', 'comparative': '數位人文 (sò͘-ūi jîn-bûn)', 'expert_persona': '數位人文', 'contextual': '數位人文', 'native_rationale': '數位人文'}",True,Digital Humanities,zh-min-nan,Minnan,Sino-Tibetan,Gemini,False
1,1,1.0,"\(
\)\( \) (déng-jī xué-shū)",{'comparative': '\\(\n\\)\\( \\) (déng-jī xué-shū)'},True,Digital Humanities,zh-min-nan,Minnan,Sino-Tibetan,First Ollama,False
5,1,0.2,\(\mathbb{E}\)\(\mathbb{H}\)\(\mathbb{R}\),"{'minimal': '\\(\\mathbb{E}\\)\\(\\mathbb{H}\\)\\(\\mathbb{R}\\)', 'comparative': '\\(\n\\)\\( \\) (déng-jī xué-shū)', 'expert_persona': 'Chhiú-khì-tô͘-kài', 'contextual': '\\[chûi-sèk-tâi kŭan-hòa̍k\\]', 'native_rationale': 'kúi-chhì kài-hoà'}",False,Digital Humanities,zh-min-nan,Minnan,Sino-Tibetan,Second Ollama,False
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,zh-classical,Classical Chinese,Sino-Tibetan,Wikipedia,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,zh-classical,Classical Chinese,Sino-Tibetan,Google Translate,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,zh-classical,Classical Chinese,Sino-Tibetan,EasyNMT,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,zh-classical,Classical Chinese,Sino-Tibetan,Lingvanex,True
3,2,0.6667,數字人文,"{'minimal': '數字人文', 'comparative': '數位人文', 'expert_persona': '數字人文'}",False,Digital Humanities,zh-classical,Classical Chinese,Sino-Tibetan,OpenAI,False
5,4,0.8,數位人文,"{'minimal': '數位人文', 'comparative': '數字人文', 'expert_persona': '數位人文', 'contextual': '數位人文', 'native_rationale': '數位人文'}",True,Digital Humanities,zh-classical,Classical Chinese,Sino-Tibetan,Claude,False
5,3,0.6,數字人文,"{'minimal': '數字人文', 'comparative': '數碼人文', 'expert_persona': '數字人文', 'contextual': '數字人文', 'native_rationale': '數碼人文'}",False,Digital Humanities,zh-classical,Classical Chinese,Sino-Tibetan,Gemini,False
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,zh-classical,Classical Chinese,Sino-Tibetan,First Ollama,False
1,1,1.0,笔层三元,{'comparative': '笔层三元'},True,Digital Humanities,zh-classical,Classical Chinese,Sino-Tibetan,Second Ollama,False
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,xmf,Megrelian,Caucasian / Isolate,Wikipedia,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,xmf,Megrelian,Caucasian / Isolate,Google Translate,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,xmf,Megrelian,Caucasian / Isolate,EasyNMT,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,xmf,Megrelian,Caucasian / Isolate,Lingvanex,True
5,2,0.4,ციფრული ჰუმანიტარული მეცნიერებები,"{'minimal': 'ციფრული ჰუმანიტარული მეცნიერებები', 'comparative': 'ციფრული ჰუმანიტარია', 'expert_persona': 'დიჯითალური გენაცვალობა', 'contextual': 'ციფრული ჰუმანიტარული მეცნიერებები', 'native_rationale': 'ციფრული ჰუმანიტარიკა'}",False,Digital Humanities,xmf,Megrelian,Caucasian / Isolate,OpenAI,False
5,5,1.0,ციფრული ჰუმანიტარული მეცნიერებეფი,"{'minimal': 'ციფრული ჰუმანიტარული მეცნიერებეფი', 'comparative': 'ციფრული ჰუმანიტარული მეცნიერებეფი', 'expert_persona': 'ციფრული ჰუმანიტარული მეცნიერებეფი', 'contextual': 'ციფრული ჰუმანიტარული მეცნიერებეფი', 'native_rationale': 'ციფრული ჰუმანიტარული მეცნიერებეფი'}",True,Digital Humanities,xmf,Megrelian,Caucasian / Isolate,Claude,False
5,4,0.8,ციფრული ჰუმანიტარია,"{'minimal': 'ციფრული ჰუმანიტარია', 'comparative': 'ციფრული ჰუმანიტარული დარგეფი', 'expert_persona': 'ციფრული ჰუმანიტარია', 'contextual': 'ციფრული ჰუმანიტარია', 'native_rationale': 'ციფრული ჰუმანიტარია'}",True,Digital Humanities,xmf,Megrelian,Caucasian / Isolate,Gemini,False
1,1,1.0,დიჯიტალური ხელოვნება,{'comparative': 'დიჯიტალური ხელოვნება'},True,Digital Humanities,xmf,Megrelian,Caucasian / Isolate,First Ollama,False
4,2,0.5,დიჯიტალური ხელოვნება,"{'minimal': 'დიჯიტალური ხელოვნება', 'comparative': 'დიჯიტალური ხელოვნება', 'expert_persona': 'საინფორმაციო ხელოვნება', 'contextual': ""Txaltek'itxa digitali""}",False,Digital Humanities,xmf,Megrelian,Caucasian / Isolate,Second Ollama,False
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,xal,Kalmyk,Mongolic,Wikipedia,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,xal,Kalmyk,Mongolic,Google Translate,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,xal,Kalmyk,Mongolic,EasyNMT,True
0,0,,,"{'minimal': None, 'comparative': None, 'expert_persona': None, 'contextual': None, 'native_rationale': None}",False,Digital Humanities,xal,Kalmyk,Mongolic,Lingvanex,True
5,1,0.2,Цахим Энэрстийн Ажиялан,"{'minimal': 'Цахим Энэрстийн Ажиялан', 'comparative': 'Цахилгаан Хүмүүнлиг', 'expert_persona': 'Дижитал Һуҗар', 'contextual': 'Цахим гуманитар', 'native_rationale': 'Цахилгаан хүмүүжилт'}",False,Digital Humanities,xal,Kalmyk,Mongolic,OpenAI,False
5,1,0.2,Дигитальн Хүмүнә Ухан,"{'minimal': 'Дигитальн Хүмүнә Ухан', 'comparative': 'Санал Хүмүнлгә', 'expert_persona': 'Дигитальн хүмүнлгин шинҗлвр', 'contextual': 'Дигитальн хүмүнлгин эрдм', 'native_rationale': 'Дигитал хүмүнлг'}",False,Digital Humanities,xal,Kalmyk,Mongolic,Claude,False
