language_code,language_name,term_source,gemini_translated_term,gemini_translation_rationale,gemini_model,gemini_created,term,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_translated_term,ollama_content,ollama_created_at,ollama_done_reason,ollama_eval_count,ollama_eval_duration,ollama_extracted_dictionaries,ollama_load_duration,ollama_model,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_total_duration,ollama_translation,ollama_translation_rationale,exclude_openai,openai_translated_term,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,openai_translation,exclude_claude,claude_translated_term,claude_output_tokens,claude_created,claude_stop_reason,claude_model,claude_input_tokens,claude_total_tokens,claude_translation_rationale,claude_translation,exclude_gemini
zh-yue,Cantonese,Digital Humanities,數碼人文學,"The translation '數碼人文學' (sou2 maa5 jan4 man4 hok6) is chosen to accurately reflect 'Digital Humanities' in an academic Cantonese context. 

*   **數碼 (sou2 maa5):** This is the standard and widely accepted translation for 'digital' in Cantonese, used across various technical and academic fields (e.g., 數碼科技 - digital technology, 數碼化 - digitalization). It clearly conveys the technological aspect.
*   **人文 (jan4 man4):** This is the direct and precise translation for 'humanities'. It encompasses the study of human culture, society, history, and arts, aligning perfectly with the 'Humanities' component of the field. It is commonly used in academic contexts (e.g., 人文學科 - humanities subjects).
*   **學 (hok6):** This suffix denotes 'studies' or 'ology', indicating an academic discipline or field of study (e.g., 歷史學 - history, 社會學 - sociology). Its inclusion firmly establishes 'Digital Humanities' as a recognized academic discipline.

Combining these elements, '數碼人文學' clearly communicates 'Digital Humanities' as an academic field that integrates digital methods and tools with the study of the humanities, maintaining both technical precision and disciplinary significance in Cantonese.",gemini-2.5-flash,2026-04-07T08:43:41.882104,,,2026-04-07 08:43:41,False,數碼人文,True,,True,,False,dak bit gai,"{
  ""translated_term"": ""dak bit gai"" ,
  ""translation_rationale"": ""In Cantonese, \u3000'dak' (\u5316) means digital, and \u3000'bit gai' (\u5e73\u79c1) refers to humanities. This translation preserves the technical precision of Digital Humanities by using \u3000'dak' to convey its digital aspect, while using \u3000'gai' (\u79c1) to refer to humanistic studies.""
}",2026-04-07T07:24:08.283653Z,stop,113.0,3907188747.0,[],78601666.0,llama3.1,134.0,367147542.0,4384306958.0,,"In Cantonese, 　'dak' (化) means digital, and 　'bit gai' (平私) refers to humanities. This translation preserves the technical precision of Digital Humanities by using 　'dak' to convey its digital aspect, while using 　'gai' (私) to refer to humanistic studies.",False,數碼人文學,96.0,1775546916.0,stop,gpt-4o-2024-08-06,130.0,226.0,"The translation ""數碼人文學"" directly translates to ""Digital Humanities"" in an academic context. ""數碼"" means ""digital,"" representing the technology aspect, while ""人文學"" stands for ""humanities,"" signifying the scholarly and cultural dimension of the field. This translation preserves the technical precision and disciplinary significance of the term in the academic landscape.",,False,數碼人文學,172.0,2026-04-07T08:39:20.561981,end_turn,claude-sonnet-4-5-20250929,149.0,321.0,"This translation uses '數碼' (digital) which is the standard Cantonese term for digital technology, combined with '人文學' (humanities), which refers to the academic humanities disciplines. This compound accurately conveys the interdisciplinary nature of the field. Alternative translations like '數字人文' (using Mandarin-influenced '數字') or '電子人文' are less common in Hong Kong Cantonese academic contexts. The term '數碼人文學' maintains technical precision while being immediately recognizable to Cantonese-speaking academics as referring to the intersection of computing/digital methods and traditional humanities scholarship.",,False
zh-tw,Traditional Chinese,Digital Humanities,數位人文學,「數位人文學」的翻譯是基於對該領域核心概念的理解。 「數位」 (Digital) 精確地傳達了該領域對數位技術和方法的依賴。 「人文學」 (Humanities) 則明確指出了其學科歸屬，即傳統的人文學科。 結合起來，「數位人文學」既保留了其技術層面，又強調了其學術根源，在學術語境中具有高度的精確性和可接受性。 此外，此譯法在華語學術界已廣泛使用並被普遍接受，具有很高的辨識度。,gemini-2.5-flash,2026-04-07T08:43:38.772784,,,2026-04-07 08:43:38,False,數位人文,True,,False,數位人文,True,,,,,,,,,,,,,,,False,數位人文,103.0,1775546913.0,stop,gpt-4o-2024-08-06,130.0,233.0,"The term ""數位人文"" combines ""數位"" which means digital, and ""人文"" which stands for humanities. This translation is widely used in academic circles to represent the interdisciplinary field that merges the use of digital tools and methodologies with the study of humanities. The phrase maintains the technical precision by directly translating the component parts of the original term, and it is well-established in Taiwanese academic discourse.",,False,數位人文,267.0,2026-04-07T08:39:13.649154,end_turn,claude-sonnet-4-5-20250929,144.0,411.0,"「數位人文」是 Digital Humanities 在台灣學術界最廣泛使用且已建制化的標準譯名。此譯法精確對應原文概念:「數位」對應 Digital,指涉數位科技、運算方法與數位媒介;「人文」對應 Humanities,涵蓋人文學科的各個領域。此譯名已被台灣各大學相關系所、研究中心(如台灣大學數位人文研究中心)、學術期刊及教育部正式採用,具有學術權威性與專業認可度。相較於「數字人文」(中國大陸用法)或「電腦人文」等其他譯法,「數位人文」更符合台灣學術慣例與 ISO 639 zh-tw 語境。",,False
zh-min-nan,Minnan,Digital Humanities,數位人文,"The translation '數位人文' (sò͘-ūi jîn-bûn) is a direct and widely accepted rendering of 'Digital Humanities' in academic contexts within the Chinese-speaking world, including those where Minnan is spoken. 

*   **數位 (sò͘-ūi):** This directly translates to 'digital'. It is the standard term used for 'digital' in technology and academic discourse.
*   **人文 (jîn-bûn):** This translates to 'humanities'. It is the established term for the academic discipline of humanities. 

Combining these two terms creates a precise and recognizable equivalent that accurately reflects the interdisciplinary nature of the field, combining digital methodologies with traditional humanities scholarship. This term is consistent with translations used in Mandarin Chinese, which often serve as a reference point for academic terminology in Minnan, especially for newer concepts.",gemini-2.5-flash,2026-04-07T08:43:36.233581,,,2026-04-07 08:43:36,True,,True,,True,,False,\[chûi-sèk-tâi kŭan-hòa̍k\],"{
  ""translated_term"": ""\[chûi-sèk-tâi kŭan-hòa̍k\]"",
  ""translation_rationale"": ""I translated 'Digital Humanities' into Minnan by breaking down the term into its constituent parts. 'Chûi-sèk-tâi' means 'digital', derived from Chinese \u5e73\u53d1, which is commonly used in Taiwanese to refer to digital technologies. 'Kŭan-hòa̍k' means 'humanities', combining the word for 'humanity' (\u4ec0\u6c17) with the suffix '-hòa̍k', indicating a field of study or academic discipline.""
}",2026-04-07T07:24:01.873555Z,stop,152.0,5392196460.0,[],75292542.0,llama3.1,135.0,385719833.0,5901487625.0,,"I translated 'Digital Humanities' into Minnan by breaking down the term into its constituent parts. 'Chûi-sèk-tâi' means 'digital', derived from Chinese 平发, which is commonly used in Taiwanese to refer to digital technologies. 'Kŭan-hòa̍k' means 'humanities', combining the word for 'humanity' (什気) with the suffix '-hòa̍k', indicating a field of study or academic discipline.",False,數位人文,94.0,1775546910.0,stop,gpt-4o-2024-08-06,131.0,225.0,"The term ""數位人文"" is an appropriate translation for ""Digital Humanities"" in Minnan. ""數位"" translates to ""digital,"" capturing the technological aspect of the field. ""人文"" translates to ""humanities,"" referring to the study of human culture. Together, they convey the interdisciplinary nature of combining digital technology with the study of humanities.",,False,數位人文,181.0,2026-04-07T08:39:02.885655,end_turn,claude-sonnet-4-5-20250929,148.0,329.0,"The term '數位人文' (sò͘-ūi jîn-bûn) is the standard academic translation for Digital Humanities in Minnan/Taiwanese Hokkien. '數位' (sò͘-ūi) means 'digital' and '人文' (jîn-bûn) means 'humanities'. This translation follows the same semantic structure as Mandarin Chinese '數位人文' or '數字人文', and is widely recognized in Taiwanese academic contexts where Minnan is used. The term maintains technical precision while being comprehensible to Minnan-speaking scholars familiar with modern academic terminology.",,False
zh-classical,Classical Chinese,Digital Humanities,數字人文,"「數字人文」 (shùzì rénwén) is chosen for its direct and accurate conveyance of the modern academic field. 

*   **數字 (shùzì):** This term directly translates to 'digital' or 'numeric'. In Classical Chinese, while the concept of 'digital' as we understand it with computers didn't exist, '數' (shù) referred to numbers, calculations, and methods. Adding '字' (zì) creates a compound that effectively captures the modern sense of 'digital' in a technical context. It is a common and accepted modern translation for 'digital' in Chinese academic discourse.
*   **人文 (rénwén):** This term is a well-established Classical Chinese compound meaning 'humanities', 'culture', 'human affairs', or 'humanistic studies'. It encompasses literature, history, philosophy, and arts, perfectly aligning with the 'Humanities' part of 'Digital Humanities'. It has a long history of use in Chinese intellectual tradition to denote the study of human culture and civilization.

Together, 「數字人文」 accurately and concisely represents 'Digital Humanities' as an academic discipline that applies digital methods to humanistic inquiry, maintaining both technical precision and disciplinary significance within a Chinese academic framework.",gemini-2.5-flash,2026-04-07T08:43:33.516123,,,2026-04-07 08:43:33,True,,True,,True,,True,,,,,,,,,,,,,,,False,,,,,,,,,,False,數位人文,176.0,2026-04-07T08:38:55.299452,end_turn,claude-sonnet-4-5-20250929,144.0,320.0,"The term '數位人文' is the standard translation used in Taiwan and increasingly recognized across Chinese-speaking academia. '數位' (digital) accurately conveys the technological aspect, while '人文' (humanities) encompasses the traditional humanistic disciplines including literature, history, philosophy, and arts. An alternative '數字人文' uses '數字' (digital/numerical) and is more common in Mainland China, but both translations preserve the field's dual nature of combining computational methods with humanistic inquiry. The term maintains technical precision while being concise in Classical Chinese style, and it has been widely adopted in academic institutions, conferences, and scholarly publications throughout the Chinese-speaking world.",,False
xmf,Megrelian,Digital Humanities,ციფრული ჰუმანიტარია,"The translation 'ციფრული ჰუმანიტარია' (tsipruli humanitaria) directly translates 'Digital Humanities' into Megrelian. 

*   **ციფრული (tsipruli):** This is the standard Megrelian (and Georgian) word for 'digital'. It is widely understood and used in technical and academic contexts.
*   **ჰუმანიტარია (humanitaria):** This is the standard Megrelian (and Georgian) word for 'humanities'. It accurately conveys the disciplinary aspect of the term.

This translation maintains both the technical precision ('digital') and the disciplinary significance ('humanities') of the original English term, making it suitable for an academic context in Megrelian. It is also consistent with how similar terms are translated into Georgian, which shares a close linguistic and academic relationship with Megrelian.",gemini-2.5-flash,2026-04-07T08:43:29.676417,,,2026-04-07 08:43:29,True,,True,,True,,False,Txaltek'itxa digitali,"{
  ""translated_term"": ""Txaltek'itxa digitali"",
  ""translation_rationale"": ""I used the Georgian suffix '-txa' to form a plural noun from 'txaltek'i', which is derived from the Megrelian word for 'humanities'. Adding 'digitali' indicates that it's related to technology and computing.""
}",2026-04-07T07:23:53.950888Z,stop,75.0,1705283119.0,[],69972375.0,llama3.1,135.0,373378334.0,2169468375.0,,"I used the Georgian suffix '-txa' to form a plural noun from 'txaltek'i', which is derived from the Megrelian word for 'humanities'. Adding 'digitali' indicates that it's related to technology and computing.",False,ციფრული ჰუმანიტარული მეცნიერებები,100.0,1775546904.0,stop,gpt-4o-2024-08-06,131.0,231.0,"The term ""ციფრული"" means ""digital"" and captures the technological aspect of the field. ""ჰუმანიტარული მეცნიერებები"" translates to ""humanities"" and conveys the scholarly and academic disciplines involved. The translation ensures that both components of the original term are accurately represented in Megrelian, maintaining the term’s technical precision and its academic context.",,False,ციფრული ჰუმანიტარული მეცნიერებეფი,213.0,2026-04-07T08:38:48.102286,end_turn,claude-sonnet-4-5-20250929,148.0,361.0,"This translation adapts the established Georgian academic term for Megrelian linguistic structure. 'ციფრული' (ts'ipruli) means 'digital', borrowed from Georgian/international terminology. 'ჰუმანიტარული' (humanitaruli) refers to 'humanitarian/humanities', and 'მეცნიერებეფი' (mets'nierephi) is the Megrelian plural form of 'science/scholarly discipline'. This maintains academic precision while following Megrelian morphological patterns, particularly the plural marker '-ეფი' (-ephi) which is characteristic of Megrelian as distinct from Georgian's '-ები' (-ebi).",,False
xal,Kalmyk,Digital Humanities,Цахим Хүмүүнлэгийн Ухаан,"The translation 'Цахим Хүмүүнлэгийн Ухаан' aims to capture the essence of 'Digital Humanities' in Kalmyk, suitable for an academic context.

*   **Цахим (Tsaakhim):** This word directly translates to 'digital' or 'electronic'. It is widely used in Kalmyk for modern technological concepts (e.g., цахим ном - e-book, цахим шуудан - e-mail). It accurately conveys the 'digital' aspect of the field.

*   **Хүмүүнлэгийн (Khümüünlegiin):** This is the genitive form of 'хүмүүнлэг' (khümüünleg), which means 'humanitarian' or 'humanities'. It refers to the academic disciplines concerned with human culture, such as literature, history, philosophy, and art. This precisely covers the 'Humanities' part of the term.

*   **Ухаан (Ukhaan):** This word means 'science', 'knowledge', 'discipline', or 'field of study'. Adding 'Ухаан' at the end helps to solidify the concept as an academic discipline or a field of scholarly inquiry, rather than just a general description. It is common in Kalmyk to form names of academic fields this way (e.g., Түүхийн ухаан - History, Хэл шинжлэлийн ухаан - Linguistics).

Together, 'Цахим Хүмүүнлэгийн Ухаан' literally translates to 'Digital Humanities Science/Discipline', which accurately reflects the interdisciplinary nature and academic standing of Digital Humanities.",gemini-2.5-flash,2026-04-07T08:43:27.144876,,,2026-04-07 08:43:27,True,,True,,True,,False,Khölömii khöltüül,"{
  ""translated_term"": ""Khölömii khöltüül"",
  ""translation_rationale"": 
    ""The term 'Digital Humanities' is translated as 'Khölömii khöltüül'. 'Khölömii' means digital or electronic, and 'khöltüül' refers to the study of humanities. This translation aims to convey the technical precision of the original term while preserving its disciplinary significance in an academic context.""
}",2026-04-07T07:23:49.76472Z,stop,96.0,3104695962.0,[],82077250.0,llama3.1,135.0,389439000.0,3603097833.0,,"The term 'Digital Humanities' is translated as 'Khölömii khöltüül'. 'Khölömii' means digital or electronic, and 'khöltüül' refers to the study of humanities. This translation aims to convey the technical precision of the original term while preserving its disciplinary significance in an academic context.",False,Цахим гуманитар,94.0,1775546901.0,stop,gpt-4o-2024-08-06,130.0,224.0,"The term ""Digital Humanities"" refers to the application of digital tools and methods to the humanities. In Kalmyk, ""Цахим"" means ""digital,"" reflecting the use of technology, and ""гуманитар"" refers to the humanities. This translation maintains the technical and disciplinary significance by directly correspodning to each part of the original term.",,False,Дигитальн хүмүнлгин эрдм,166.0,2026-04-07T08:38:40.718858,end_turn,claude-sonnet-4-5-20250929,147.0,313.0,"This translation combines 'дигитальн' (digital, a widely adopted loanword in Kalmyk for digital technology), 'хүмүнлгин' (humanities, from 'хүмүн' meaning human/person), and 'эрдм' (knowledge/science/scholarship). This formulation follows Kalmyk academic terminology patterns and accurately conveys the interdisciplinary field that applies computational methods to humanities research. The term maintains technical precision while being comprehensible to Kalmyk-speaking academics.",,False
war,Waray / Samar-Leyte Visayan,Digital Humanities,Digital nga Humanidades,"The translation 'Digital nga Humanidades' is a direct and literal rendering of 'Digital Humanities' into Waray. 

*   **'Digital'** is borrowed directly as 'Digital' (or sometimes 'Didyital' in more colloquial contexts, but 'Digital' is preferred for academic precision) because there isn't a widely recognized native Waray term that fully encapsulates the modern technological meaning of 'digital' in an academic context. Borrowing is common for technical terms in many Philippine languages.
*   **'nga'** is the linker particle, equivalent to 'which is' or 'that is', connecting 'Digital' to 'Humanidades'.
*   **'Humanidades'** is the plural form of 'Humanidad' (humanity/humanities), which is a direct borrowing from Spanish 'Humanidades', a term already integrated into academic discourse in many Philippine languages, including Waray, to refer to the humanities as an academic field. 

This translation maintains the technical precision and disciplinary significance of the original term, making it understandable to Waray-speaking academics and scholars.",gemini-2.5-flash,2026-04-07T08:43:23.356008,,,2026-04-07 08:43:23,False,Digital nga Katawhan,True,,True,,False,Humanidades Digital,"{
  ""translated_term"": ""Humanidades Digital"",
  ""translation_rationale"": ""The term 'Digital Humanities' is translated to 'Humanidades Digital' by adapting the Waray phrase for 'humanities' (humanidades) and adding the adjective 'digital' as a direct borrowing from English, given its technical specificity in an academic context. This approach ensures both the accuracy of the translation and the preservation of the term's disciplinary significance.""
}",2026-04-07T07:23:44.137242Z,stop,91.0,2983630372.0,[],83378333.0,llama3.1,148.0,359669625.0,3453227250.0,,"The term 'Digital Humanities' is translated to 'Humanidades Digital' by adapting the Waray phrase for 'humanities' (humanidades) and adding the adjective 'digital' as a direct borrowing from English, given its technical specificity in an academic context. This approach ensures both the accuracy of the translation and the preservation of the term's disciplinary significance.",False,Diyital nga Humanidades,105.0,1775546898.0,stop,gpt-4o-2024-08-06,144.0,249.0,"The term ""Digital Humanities"" combines the digital or technological aspect with the study of human culture and society. In Waray, ""Diyital"" is a direct transliteration for ""Digital,"" capturing the technological aspect relevant in an academic context. ""Humanidades"" translates to ""Humanities,"" referring to the broad study of human culture, which is a direct translation from English and aligns well with academic discussions.",,False,Digital nga Katawohan-Siyensya,225.0,2026-04-07T08:38:32.184286,end_turn,claude-sonnet-4-5-20250929,166.0,391.0,"This translation combines 'Digital' (retained as a loanword commonly used in Waray for digital technology) with 'Katawohan-Siyensya' (humanities). 'Katawohan' derives from 'tawo' (person/human) and relates to human culture and society, while 'Siyensya' means science or scholarly discipline. The construction 'Digital nga Katawohan-Siyensya' follows Waray grammatical patterns using 'nga' as a linker, accurately conveying the academic field that applies computational methods to humanities scholarship. Alternative considerations included 'Digitalanon nga Humanidades' (using Spanish-derived 'Humanidades'), but the chosen translation better represents the field's meaning using more indigenous Waray linguistic elements while maintaining academic precision.",,False
vls,West Flemish,Digital Humanities,Digitale Humaniora,"De term 'Digital Humanities' wordt in het West-Vlaams, net als in veel andere Germaanse talen (bv. Nederlands, Duits), het best vertaald door de letterlijke componenten te behalen. 'Digital' wordt 'Digitale' (adjectiefvorm) en 'Humanities' wordt 'Humaniora'. 'Humaniora' is een gevestigde term in het West-Vlaams en het Nederlands om de geesteswetenschappen aan te duiden, vaak gebruikt in academische en onderwijscontexten (bv. 'Latijn-Grieks Humaniora'). Deze vertaling is direct, accuraat en behoudt de academische connotatie van het originele Engelse begrip.",gemini-2.5-flash,2026-04-07T08:43:20.528645,,,2026-04-07 08:43:20,True,,True,,True,,False,Digitale Geesteswetenschappen,"{
  ""translated_term"": ""Digitale Geesteswetenschappen"",
  ""translation_rationale"": ""I have translated the term 'Digital Humanities' literally, keeping the English words for precision and accuracy in an academic context. In West Flemish (vls), 'digitale' is used to translate 'digital', and 'geesteswetenschappen' covers the meaning of 'humanities'. This translation maintains the technical precision and disciplinary significance required for an academic field or scholarly concept.""
}",2026-04-07T07:23:38.661881Z,stop,105.0,3741295831.0,[],81004375.0,llama3.1,135.0,394732333.0,4248229500.0,,"I have translated the term 'Digital Humanities' literally, keeping the English words for precision and accuracy in an academic context. In West Flemish (vls), 'digitale' is used to translate 'digital', and 'geesteswetenschappen' covers the meaning of 'humanities'. This translation maintains the technical precision and disciplinary significance required for an academic field or scholarly concept.",False,Digitale Geesteswetenschappen,104.0,1775546895.0,stop,gpt-4o-2024-08-06,131.0,235.0,"The term 'Digitale Geesteswetenschappen' is a direct translation, where 'Digitale' means 'Digital' and 'Geesteswetenschappen' refers to the 'Humanities' in an academic context. This preserves the technical precision and disciplinary significance by using standard Flemish academic terminology for both 'digital' and 'humanities', ensuring that the translation is understandable and relevant within the academic field.",,False,Digitale Humaniorawetenschappn,154.0,2026-04-07T08:38:21.455104,end_turn,claude-sonnet-4-5-20250929,147.0,301.0,"In West Flemish, 'Digitale' is the direct equivalent of 'Digital'. For 'Humanities', I use 'Humaniorawetenschappn' (humanities sciences), which follows the West Flemish pattern of forming compound nouns with '-wetenschappn' (sciences) in the plural form typical of academic disciplines. This maintains the academic register and technical precision while respecting West Flemish morphology and vocabulary conventions. The term clearly conveys the interdisciplinary field combining digital technology with humanities scholarship.",,False
vec,Venetian,Digital Humanities,Umanità Digitałi,"The translation 'Umanità Digitałi' aims to capture the essence of 'Digital Humanities' in Venetian while maintaining academic precision. 

*   **Umanità:** This directly translates 'Humanities' and is a common term in academic discourse in Romance languages to refer to the 'humanities' as a field of study. It encompasses the various disciplines within the humanities.
*   **Digitałi:** This is the Venetian equivalent of 'Digital'. The use of the plural form matches 'Umanità' (plural) and correctly modifies it. The 'ł' (l-slash) is characteristic of Venetian orthography.

This translation is concise, accurate, and reflects the interdisciplinary nature of the field, making it suitable for an academic context in Venetian.",gemini-2.5-flash,2026-04-07T08:43:17.959962,,,2026-04-07 08:43:17,False,Siense umane digitałi,True,,True,,False,Umanità Digitali,"{
  ""translated_term"": ""Umanità Digitali"",
  ""translation_rationale"": ""I've used the Venetian equivalent of 'umanità' (humanities) and added 'digitali' to reflect the digital aspect, as in Italian. This translation aims to preserve the technical precision and disciplinary significance of the original term.""
}",2026-04-07T07:23:32.382407Z,stop,71.0,1171688625.0,[],71479083.0,llama3.1,134.0,373996542.0,1636389083.0,,"I've used the Venetian equivalent of 'umanità' (humanities) and added 'digitali' to reflect the digital aspect, as in Italian. This translation aims to preserve the technical precision and disciplinary significance of the original term.",False,Scienze Umane Digitali,101.0,1775546891.0,stop,gpt-4o-2024-08-06,126.0,227.0,"The term ""Digital Humanities"" refers to the intersection of digital technologies and the humanities. ""Scienze Umane"" is a common translation for ""Humanities"" in Italian, and more specifically in Venetian, it captures the academic aspect of the humanities. The adjective ""Digitali"" modifies it to reflect the inclusion of digital tools and methodologies, accurately conveying the academic field’s scope in Venetian.",,False,Umanisteghe Digitałi,181.0,2026-04-07T08:38:15.611243,end_turn,claude-sonnet-4-5-20250929,144.0,325.0,"In Venetian, 'Umanisteghe' is the plural form of 'umanistega' (humanities), derived from 'umanìstego' (humanistic), maintaining the academic register. 'Digitałi' is the Venetian rendering of 'digital', using the characteristic Venetian grapheme 'ł' for the lateral approximant. This translation preserves the structure of the English term while adapting it to Venetian morphology and orthographic conventions. The adjective 'digitałi' follows the noun and agrees in number (plural), which is standard in Venetian syntax for technical academic terminology.",,False
uz_AF,Uzbeki Afghanistan,Digital Humanities,Raqamli Gumanitar Fanlar,"The term 'Digital Humanities' is a compound of 'Digital' and 'Humanities'.

*   For 'Digital', the most direct and widely understood equivalent in Uzbek is 'Raqamli'. This term is commonly used in academic and technical contexts to refer to anything related to digital technology, data, or processes.

*   For 'Humanities', the most appropriate and academically recognized translation is 'Gumanitar Fanlar'. 'Gumanitar' means humanitarian or humanistic, and 'Fanlar' means sciences or disciplines. Together, 'Gumanitar Fanlar' accurately represents the academic field of humanities.

Combining these, 'Raqamli Gumanitar Fanlar' directly translates to 'Digital Humanitarian Sciences' or 'Digital Humanities', which accurately conveys the meaning of the academic field in an Uzbek academic context. This translation maintains both the technical precision of 'digital' and the disciplinary significance of 'humanities'.",gemini-2.5-flash,2026-04-07T08:43:15.249429,,,2026-04-07 08:43:15,True,,True,,True,,False,Digital Ilm-fan,"{
  ""translated_term"": ""Digital Ilm-fan"",
  ""translation_rationale"": ""In Uzbeki Afghanistan, I have used \""Ilm-fan\"", which is a direct loanword from Persian (ilm-e fan) and is widely accepted in academic and scholarly contexts to refer to the study of humanities. Adding the prefix \""Digital\"" to it makes it clear that this field of study focuses on digital methods and tools. This translation preserves the technical precision and disciplinary significance of the original term, making it suitable for academic use.""
}",2026-04-07T07:23:28.731204Z,stop,110.0,3768881292.0,[],68702125.0,llama3.1,135.0,362387458.0,4232542584.0,,"In Uzbeki Afghanistan, I have used ""Ilm-fan"", which is a direct loanword from Persian (ilm-e fan) and is widely accepted in academic and scholarly contexts to refer to the study of humanities. Adding the prefix ""Digital"" to it makes it clear that this field of study focuses on digital methods and tools. This translation preserves the technical precision and disciplinary significance of the original term, making it suitable for academic use.",False,Raqamli Gumanitar Fanlar,109.0,1775546889.0,stop,gpt-4o-2024-08-06,131.0,240.0,"The term ""Raqamli Gumanitar Fanlar"" captures the essence of ""Digital Humanities,"" with ""Raqamli"" meaning digital, which relates to the digital and technological aspect. ""Gumanitar Fanlar"" refers to humanities disciplines, covering a wide range of academic fields studying human culture. This translation maintains the technical precision of the original term while emphasizing its interdisciplinary nature in an academic context.",,False,علوم انسانی دیجیتالی,165.0,2026-04-07T08:38:06.753830,end_turn,claude-sonnet-4-5-20250929,148.0,313.0,This translation uses the Persian-Arabic script standard for Uzbek in Afghanistan. 'علوم انسانی' (ulum-e insani) means 'humanities' or 'human sciences' and is the established academic term in the Afghan context. 'دیجیتالی' (dijitali) is the direct transliteration of 'digital' that has been adopted in contemporary Afghan Persian/Dari academic discourse. This compound term maintains technical precision while being immediately recognizable to Afghan Uzbek scholars who operate in a predominantly Persian academic environment.,,False
