language_code,term_source,enmt_translated_term,language_name,coding_dh_date
aa,Public History,,Afar,2025-05-31 21:15:56
ab,Public History,,Abkhaz,2025-05-31 21:15:56
ae,Public History,,Avestan,2025-05-31 21:15:56
af,Public History,Openbare geskiedenis,Afrikaans,2025-05-31 21:15:56
ak,Public History,,Akan,2025-05-31 21:15:56
am,Public History,,Amharic,2025-05-31 21:15:56
an,Public History,,Aragonese,2025-05-31 21:15:56
ar,Public History,التاريخ العام,Arabic,2025-05-31 21:15:56
as,Public History,,Assamese,2025-05-31 21:15:56
av,Public History,,Avaric,2025-05-31 21:15:56
ay,Public History,,Aymara,2025-05-31 21:15:56
az,Public History,Keçmiş,Azerbaijani,2025-05-31 21:15:56
ba,Public History,,Bashkir,2025-05-31 21:15:56
be,Public History,,Belarusian,2025-05-31 21:15:56
bg,Public History,История,Bulgarian,2025-05-31 21:15:56
bh,Public History,,Bihari,2025-05-31 21:15:56
bi,Public History,Pablik Histri,Bislama,2025-05-31 21:15:56
bm,Public History,,Bambara,2025-05-31 21:15:56
bn,Public History,,Bengali,2025-05-31 21:15:56
bo,Public History,,Tibetan,2025-05-31 21:15:56
br,Public History,,Breton,2025-05-31 21:15:56
bs,Public History,,Bosnian,2025-05-31 21:15:56
ca,Public History,Historial públic,Catalan; Valencian,2025-05-31 21:15:56
ce,Public History,,Chechen,2025-05-31 21:15:56
ch,Public History,,Chamorro,2025-05-31 21:15:56
co,Public History,,Corsican,2025-05-31 21:15:56
cr,Public History,,Cree,2025-05-31 21:15:56
cs,Public History,Veřejná historie,Czech,2025-05-31 21:15:56
cu,Public History,,Old Church Slavonic,2025-05-31 21:15:56
cv,Public History,,Chuvash,2025-05-31 21:15:56
cy,Public History,Hanes Cyhoeddus,Welsh,2025-05-31 21:15:56
da,Public History,Offentlig historie,Danish,2025-05-31 21:15:56
de,Public History,Öffentliche Geschichte,German,2025-05-31 21:15:56
dv,Public History,,Divehi; Maldivian;,2025-05-31 21:15:56
dz,Public History,,Dzongkha,2025-05-31 21:15:56
ee,Public History,Public History,Ewe,2025-05-31 21:15:56
el,Public History,Δημόσια ιστορία,"Greek, Modern",2025-05-31 21:15:56
en,Public History,,English,2025-05-31 21:15:56
eo,Public History,Publika Historio,Esperanto,2025-05-31 21:15:56
es,Public History,Historia pública,Spanish; Castilian,2025-05-31 21:15:56
et,Public History,Avalik ajalugu,Estonian,2025-05-31 21:15:56
eu,Public History,Historia publikoa,Basque,2025-05-31 21:15:56
fa,Public History,,Persian,2025-05-31 21:15:56
ff,Public History,,Fula,2025-05-31 21:15:56
fi,Public History,Julkinen historia,Finnish,2025-05-31 21:15:56
fj,Public History,iTukutuku Lavotaki,Fijian,2025-05-31 21:15:56
fo,Public History,,Faroese,2025-05-31 21:15:56
fr,Public History,Histoire publique,French,2025-05-31 21:15:56
fy,Public History,,Western Frisian,2025-05-31 21:15:56
ga,Public History,Stair Phoiblí,Irish,2025-05-31 21:15:56
gd,Public History,,Scottish Gaelic,2025-05-31 21:15:56
gl,Public History,Historial público,Galician,2025-05-31 21:15:56
gn,Public History,,Guaraní,2025-05-31 21:15:56
gu,Public History,,Gujarati,2025-05-31 21:15:56
gv,Public History,Shennaghys erash,Manx,2025-05-31 21:15:56
ha,Public History,@ item Spelling dictionary,Hausa,2025-05-31 21:15:56
he,Public History,היסטוריה ציבורית,Hebrew (modern),2025-05-31 21:15:56
hi,Public History,सार्वजनिक इतिहास,Hindi,2025-05-31 21:15:56
ho,Public History,Taunimanima Edia Histori,Hiri Motu,2025-05-31 21:15:56
hr,Public History,,Croatian,2025-05-31 21:15:56
ht,Public History,Listwa,Haitian,2025-05-31 21:15:56
hu,Public History,"Public HistoryCity name (optional, probably does not need a translation)",Hungarian,2025-05-31 21:15:56
hy,Public History,Հանրային պատմություն,Armenian,2025-05-31 21:15:56
hz,Public History,,Herero,2025-05-31 21:15:56
ia,Public History,,Interlingua,2025-05-31 21:15:56
id,Public History,Sejarah Publik,Indonesian,2025-05-31 21:15:56
ie,Public History,,Interlingue,2025-05-31 21:15:56
ig,Public History,Akụkọ Ihe Mere Eme Ọha na Eze,Igbo,2025-05-31 21:15:56
ii,Public History,,Nuosu,2025-05-31 21:15:56
ik,Public History,,Inupiaq,2025-05-31 21:15:56
io,Public History,,Ido,2025-05-31 21:15:56
is,Public History,"Public HistoryCity name (optional, probably does not need a translation)",Icelandic,2025-05-31 21:15:56
it,Public History,Storia pubblica,Italian,2025-05-31 21:15:56
iu,Public History,,Inuktitut,2025-05-31 21:15:56
ja,Public History,,Japanese,2025-05-31 21:15:56
jv,Public History,,Javanese,2025-05-31 21:15:56
ka,Public History,,Georgian,2025-05-31 21:15:56
kg,Public History,Disolo ya Bantu Yonso,Kongo,2025-05-31 21:15:56
ki,Public History,,"Kikuyu, Gikuyu",2025-05-31 21:15:56
kj,Public History,Ondjokonona yonghalamwenyo,"Kwanyama, Kuanyama",2025-05-31 21:15:56
kk,Public History,,Kazakh,2025-05-31 21:15:56
kl,Public History,,Kalaallisut,2025-05-31 21:15:56
km,Public History,,Khmer,2025-05-31 21:15:56
kn,Public History,,Kannada,2025-05-31 21:15:56
ko,Public History,,Korean,2025-05-31 21:15:56
kr,Public History,,Kanuri,2025-05-31 21:15:56
ks,Public History,,Kashmiri,2025-05-31 21:15:56
ku,Public History,,Kurdish,2025-05-31 21:15:56
kv,Public History,,Komi,2025-05-31 21:15:56
kw,Public History,,Cornish,2025-05-31 21:15:56
ky,Public History,,"Kirghiz, Kyrgyz",2025-05-31 21:15:56
la,Public History,,Latin,2025-05-31 21:15:56
lb,Public History,,Luxembourgish,2025-05-31 21:15:56
lg,Public History,History,Luganda,2025-05-31 21:15:56
li,Public History,,Limburgish,2025-05-31 21:15:56
ln,Public History,Lisolo ya bato nyonso,Lingala,2025-05-31 21:15:56
lo,Public History,,Lao,2025-05-31 21:15:56
lt,Public History,,Lithuanian,2025-05-31 21:15:56
lu,Public History,Mānga ya Bantu,Luba-Katanga,2025-05-31 21:15:56
lv,Public History,,Latvian,2025-05-31 21:15:56
mg,Public History,Tantara ho an'ny daholobe,Malagasy,2025-05-31 21:15:56
mh,Public History,Bwebwenato ko an Bwebwenato,Marshallese,2025-05-31 21:15:56
mi,Public History,,Māori,2025-05-31 21:15:56
mk,Public History,Јавна историја,Macedonian,2025-05-31 21:15:56
ml,Public History,പൊതുചരിത്രം,Malayalam,2025-05-31 21:15:56
mn,Public History,,Mongolian,2025-05-31 21:15:56
mr,Public History,इतिहास,Marathi (Marāṭhī),2025-05-31 21:15:56
ms,Public History,,Malay,2025-05-31 21:15:56
mt,Public History,Storja Pubblika,Maltese,2025-05-31 21:15:56
my,Public History,,Burmese,2025-05-31 21:15:56
na,Public History,,Nauru,2025-05-31 21:15:56
